model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
a2_basic52_s0,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.31896363512867804,378.32515911335986,0.10182967254817632,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.3333333333333333,0.18518518518518517,0.18518518518518517,0.3333333333333333,0.48148148148148145,0.37037037037037035,0.37037037037037035,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666
a2_basic52_s0,layer1.0.conv1,1,64,64,9,576,64,160000,277.77777777777777,0.2625149670347058,51.90225878816735,0.4068447018225777,0.171875,0.265625,0.421875,0.328125,0.203125,0.375,0.625,0.4375,0.34375,0.640625,1.0,0.6875,0.5625,0.90625,1.0,0.921875
a2_basic52_s0,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.40959791729572664,20.06501564310987,0.8715350198043849,0.203125,0.390625,0.90625,0.421875,0.265625,0.546875,1.0,0.5625,0.453125,0.8125,1.0,0.828125,0.734375,0.96875,1.0,0.984375
a2_basic52_s0,layer1.1.conv1,3,64,64,9,576,64,160000,277.77777777777777,0.43043791742408805,18.921666300845988,0.9123646288751533,0.21875,0.390625,0.90625,0.453125,0.296875,0.546875,1.0,0.59375,0.46875,0.8125,1.0,0.84375,0.765625,0.96875,1.0,0.984375
a2_basic52_s0,layer1.1.conv2,4,64,64,9,576,64,160000,277.77777777777777,0.5504091562731536,12.156995375847904,1.0,0.25,0.5,1.0,0.515625,0.34375,0.65625,1.0,0.671875,0.578125,0.875,1.0,0.90625,0.859375,0.984375,1.0,1.0
a2_basic52_s0,layer1.2.conv1,5,64,64,9,576,64,160000,277.77777777777777,0.47322920813522634,13.669514684030919,1.0,0.234375,0.453125,1.0,0.5,0.3125,0.609375,1.0,0.625,0.53125,0.84375,1.0,0.875,0.8125,0.984375,1.0,0.984375
a2_basic52_s0,layer1.2.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.531893577652047,13.130455470733802,1.0,0.25,0.515625,1.0,0.53125,0.34375,0.65625,1.0,0.6875,0.59375,0.875,1.0,0.90625,0.875,0.984375,1.0,1.0
a2_basic52_s0,layer1.3.conv1,7,64,64,9,576,64,160000,277.77777777777777,0.49622650931438694,12.545339501445977,1.0,0.21875,0.484375,1.0,0.5,0.3125,0.625,1.0,0.640625,0.53125,0.875,1.0,0.890625,0.828125,0.984375,1.0,0.984375
a2_basic52_s0,layer1.3.conv2,8,64,64,9,576,64,160000,277.77777777777777,0.5525423638866862,12.020949777711818,1.0,0.265625,0.53125,1.0,0.546875,0.359375,0.671875,1.0,0.71875,0.625,0.875,1.0,0.921875,0.890625,0.984375,1.0,1.0
a2_basic52_s0,layer1.4.conv1,9,64,64,9,576,64,160000,277.77777777777777,0.4708968617214012,16.75863562239521,1.0,0.1875,0.4375,1.0,0.5,0.28125,0.59375,1.0,0.65625,0.484375,0.84375,1.0,0.890625,0.8125,0.984375,1.0,1.0
a2_basic52_s0,layer1.4.conv2,10,64,64,9,576,64,160000,277.77777777777777,0.5112267890497838,18.024737692894316,1.0,0.296875,0.484375,1.0,0.59375,0.390625,0.609375,1.0,0.734375,0.640625,0.8125,1.0,0.921875,0.875,0.96875,1.0,1.0
a2_basic52_s0,layer1.5.conv1,11,64,64,9,576,64,160000,277.77777777777777,0.43441254851619254,26.521641559754674,1.0,0.203125,0.421875,1.0,0.5625,0.296875,0.5625,1.0,0.71875,0.515625,0.796875,1.0,0.921875,0.8125,0.953125,1.0,1.0
a2_basic52_s0,layer1.5.conv2,12,64,64,9,576,64,160000,277.77777777777777,0.46324383337248265,16.221588943233513,1.0,0.234375,0.4375,1.0,0.59375,0.328125,0.578125,1.0,0.75,0.578125,0.828125,1.0,0.9375,0.859375,0.96875,1.0,1.0
a2_basic52_s0,layer2.0.conv1,13,64,128,9,576,128,160000,277.77777777777777,0.46651084097440154,12.873018862346656,1.0,0.1796875,0.4375,1.0,0.4921875,0.2578125,0.59375,1.0,0.65625,0.46875,0.8515625,1.0,0.8984375,0.796875,0.984375,1.0,0.9921875
a2_basic52_s0,layer2.0.conv2,14,128,128,9,1152,128,160000,138.88888888888889,0.6401481069078117,6.825703077319275,1.0,0.296875,0.59375,1.0,0.578125,0.4140625,0.7421875,1.0,0.734375,0.6953125,0.9296875,1.0,0.9296875,0.9375,0.9921875,1.0,0.9921875
a2_basic52_s0,layer2.0.downsample.0,15,64,128,1,64,64,160000,2500.0,0.48841262828417387,13.622192606641168,0.5940546319548576,0.234375,0.453125,0.59375,0.59375,0.328125,0.59375,0.75,0.75,0.546875,0.828125,0.9375,0.9375,0.84375,0.96875,1.0,1.0
a2_basic52_s0,layer2.1.conv1,16,128,128,9,1152,128,160000,138.88888888888889,0.5790527909583052,8.716310548483348,1.0,0.265625,0.5546875,1.0,0.5390625,0.375,0.703125,1.0,0.6953125,0.6328125,0.9140625,1.0,0.9140625,0.90625,0.9921875,1.0,0.9921875
a2_basic52_s0,layer2.1.conv2,17,128,128,9,1152,128,160000,138.88888888888889,0.6390740498242078,9.591172114054906,1.0,0.3046875,0.609375,1.0,0.6171875,0.4375,0.75,1.0,0.7734375,0.7421875,0.921875,1.0,0.9453125,0.953125,0.9921875,1.0,1.0
a2_basic52_s0,layer2.2.conv1,18,128,128,9,1152,128,160000,138.88888888888889,0.6038501719699593,9.699446301617558,1.0,0.2890625,0.5703125,1.0,0.5625,0.40625,0.71875,1.0,0.7265625,0.671875,0.9140625,1.0,0.9296875,0.921875,0.9921875,1.0,0.9921875
a2_basic52_s0,layer2.2.conv2,19,128,128,9,1152,128,160000,138.88888888888889,0.6445833646012339,11.43243760121273,1.0,0.3515625,0.6171875,1.0,0.671875,0.4921875,0.75,1.0,0.8125,0.78125,0.921875,1.0,0.9609375,0.9609375,0.9921875,1.0,1.0
a2_basic52_s0,layer2.3.conv1,20,128,128,9,1152,128,160000,138.88888888888889,0.6068805322886754,9.723209868460543,1.0,0.296875,0.578125,1.0,0.5859375,0.4140625,0.71875,1.0,0.7421875,0.6796875,0.9140625,1.0,0.9375,0.9296875,0.9921875,1.0,0.9921875
a2_basic52_s0,layer2.3.conv2,21,128,128,9,1152,128,160000,138.88888888888889,0.6130872834152018,13.017963609694663,1.0,0.2890625,0.59375,1.0,0.6328125,0.4296875,0.7265625,1.0,0.7890625,0.71875,0.9140625,1.0,0.953125,0.9453125,0.984375,1.0,1.0
a2_basic52_s0,layer2.4.conv1,22,128,128,9,1152,128,160000,138.88888888888889,0.5659360631866902,23.868537153998975,1.0,0.296875,0.546875,1.0,0.6015625,0.4140625,0.6875,1.0,0.7578125,0.6875,0.890625,1.0,0.9375,0.921875,0.984375,1.0,1.0
a2_basic52_s0,layer2.4.conv2,23,128,128,9,1152,128,160000,138.88888888888889,0.5773786514985453,11.745937775587883,1.0,0.2734375,0.5625,1.0,0.6171875,0.3984375,0.7109375,1.0,0.7734375,0.6953125,0.90625,1.0,0.9453125,0.9375,0.9921875,1.0,1.0
a2_basic52_s0,layer2.5.conv1,24,128,128,9,1152,128,160000,138.88888888888889,0.5544134946651023,15.126333263976125,1.0,0.2890625,0.546875,1.0,0.609375,0.40625,0.6875,1.0,0.765625,0.6796875,0.890625,1.0,0.9453125,0.921875,0.984375,1.0,1.0
a2_basic52_s0,layer2.5.conv2,25,128,128,9,1152,128,160000,138.88888888888889,0.5184389391902897,15.18124585802578,1.0,0.203125,0.53125,1.0,0.6015625,0.3203125,0.6796875,1.0,0.765625,0.6171875,0.890625,1.0,0.9453125,0.90625,0.984375,1.0,1.0
a2_basic52_s0,layer3.0.conv1,26,128,256,9,1152,256,160000,138.88888888888889,0.5338246325438513,9.592789003430335,1.0,0.1953125,0.5234375,1.0,0.55078125,0.28515625,0.6796875,1.0,0.72265625,0.56640625,0.90234375,1.0,0.9296875,0.890625,0.98828125,1.0,0.99609375
a2_basic52_s0,layer3.0.conv2,27,256,256,9,2304,256,160000,69.44444444444444,0.6887960994442828,5.48612117890859,1.0,0.30859375,0.64453125,1.0,0.5859375,0.4375,0.78125,1.0,0.74609375,0.73046875,0.9453125,1.0,0.9375,0.953125,0.99609375,1.0,0.99609375
a2_basic52_s0,layer3.0.downsample.0,28,128,256,1,128,128,160000,1250.0,0.5586307240041943,12.019673686559399,0.636101290672849,0.265625,0.5078125,0.65625,0.65625,0.375,0.640625,0.8046875,0.8046875,0.640625,0.8671875,0.953125,0.953125,0.90625,0.9765625,1.0,1.0
a2_basic52_s0,layer3.1.conv1,29,256,256,9,2304,256,160000,69.44444444444444,0.6529815261449531,106.72553117887274,1.0,0.2578125,0.62890625,1.0,0.546875,0.37890625,0.76953125,1.0,0.71875,0.68359375,0.9375,1.0,0.9296875,0.9375,0.9921875,1.0,0.9921875
a2_basic52_s0,layer3.1.conv2,30,256,256,9,2304,256,160000,69.44444444444444,0.6473298293035331,10.557277839007059,1.0,0.3046875,0.64453125,1.0,0.65625,0.45703125,0.78125,1.0,0.8046875,0.7734375,0.94140625,1.0,0.95703125,0.96484375,0.9921875,1.0,0.99609375
a2_basic52_s0,layer3.2.conv1,31,256,256,9,2304,256,160000,69.44444444444444,0.6733805732750858,7.771310417540569,1.0,0.31640625,0.640625,1.0,0.61328125,0.453125,0.77734375,1.0,0.7734375,0.7578125,0.9375,1.0,0.9453125,0.9609375,0.9921875,1.0,0.99609375
a2_basic52_s0,layer3.2.conv2,32,256,256,9,2304,256,160000,69.44444444444444,0.6180487729778276,13.469690311343676,1.0,0.3203125,0.6171875,1.0,0.671875,0.46875,0.76171875,1.0,0.8125,0.77734375,0.93359375,1.0,0.95703125,0.96484375,0.9921875,1.0,0.99609375
a2_basic52_s0,layer3.3.conv1,33,256,256,9,2304,256,160000,69.44444444444444,0.6363180290602095,8.213232416172469,1.0,0.31640625,0.62109375,1.0,0.64453125,0.45703125,0.76171875,1.0,0.796875,0.765625,0.93359375,1.0,0.953125,0.9609375,0.9921875,1.0,0.99609375
a2_basic52_s0,layer3.3.conv2,34,256,256,9,2304,256,160000,69.44444444444444,0.5195186628439005,15.278728172370577,1.0,0.24609375,0.5546875,1.0,0.62890625,0.375,0.70703125,1.0,0.78515625,0.6875,0.91015625,1.0,0.94921875,0.9375,0.98828125,1.0,0.99609375
a2_basic52_s0,layer3.4.conv1,35,256,256,9,2304,256,160000,69.44444444444444,0.5506529687047288,10.82020070483032,1.0,0.28125,0.56640625,1.0,0.64453125,0.4140625,0.71875,1.0,0.79296875,0.72265625,0.91796875,1.0,0.953125,0.94921875,0.9921875,1.0,0.99609375
a2_basic52_s0,layer3.4.conv2,36,256,256,9,2304,256,160000,69.44444444444444,0.39416304898863835,28.159641536151963,1.0,0.15625,0.4609375,1.0,0.54296875,0.2421875,0.62109375,1.0,0.71875,0.51953125,0.86328125,1.0,0.9296875,0.85546875,0.9765625,1.0,0.9921875
a2_basic52_s0,layer3.5.conv1,37,256,256,9,2304,256,160000,69.44444444444444,0.4470631417825367,18.235602319188043,1.0,0.1796875,0.47265625,1.0,0.59375,0.27734375,0.63671875,1.0,0.76171875,0.5703125,0.875,1.0,0.9453125,0.88671875,0.98046875,1.0,0.99609375
a2_basic52_s0,layer3.5.conv2,38,256,256,9,2304,256,160000,69.44444444444444,0.2483057543513916,53.78991106850631,0.9314549547672591,0.05859375,0.3359375,1.0,0.36328125,0.09765625,0.5,1.0,0.5390625,0.23828125,0.79296875,1.0,0.8515625,0.57421875,0.95703125,1.0,0.984375
a2_basic52_s0,layer4.0.conv1,39,256,512,9,2304,512,160000,69.44444444444444,0.25302938732858604,39.36618949584039,1.0,0.068359375,0.36328125,1.0,0.537109375,0.1171875,0.541015625,1.0,0.724609375,0.353515625,0.830078125,1.0,0.93359375,0.775390625,0.97265625,1.0,0.994140625
a2_basic52_s0,layer4.0.conv2,40,512,512,9,4608,512,160000,34.72222222222222,0.05982796819235835,129.82670094062212,0.6979949401554134,0.0234375,0.05859375,1.0,0.291015625,0.03515625,0.119140625,1.0,0.453125,0.078125,0.423828125,1.0,0.79296875,0.25390625,0.83984375,1.0,0.97265625
a2_basic52_s0,layer4.0.downsample.0,41,256,512,1,256,256,160000,625.0,0.10182482025046745,88.1847035669875,0.6210065919546237,0.05078125,0.09765625,0.6875,0.6875,0.08203125,0.18359375,0.82421875,0.82421875,0.23828125,0.515625,0.9609375,0.9609375,0.62890625,0.86328125,0.99609375,0.99609375
a2_basic52_s0,layer4.1.conv1,42,512,512,9,4608,512,160000,34.72222222222222,0.0764209760718693,350.45638810901534,0.11978441574464892,0.03515625,0.064453125,0.111328125,0.087890625,0.041015625,0.1015625,0.25390625,0.1484375,0.06640625,0.275390625,1.0,0.400390625,0.1171875,0.685546875,1.0,0.798828125
a2_basic52_s0,layer4.1.conv2,43,512,512,9,4608,512,160000,34.72222222222222,0.04717221490868786,361.4179129804764,0.14826990515680408,0.01953125,0.041015625,0.138671875,0.099609375,0.02734375,0.064453125,0.298828125,0.15625,0.048828125,0.197265625,1.0,0.4140625,0.09765625,0.587890625,1.0,0.822265625
a2_basic52_s0,layer4.2.conv1,44,512,512,9,4608,512,160000,34.72222222222222,0.0677501087642213,408.36986236267984,0.10202416747054793,0.033203125,0.056640625,0.087890625,0.076171875,0.041015625,0.087890625,0.17578125,0.1171875,0.060546875,0.23828125,0.859375,0.34375,0.103515625,0.626953125,1.0,0.748046875
a2_basic52_s0,layer4.2.conv2,45,512,512,9,4608,512,160000,34.72222222222222,0.04412968953389351,379.0272171349901,0.13081968450502368,0.01953125,0.037109375,0.12109375,0.08984375,0.025390625,0.05859375,0.23828125,0.140625,0.046875,0.17578125,1.0,0.373046875,0.087890625,0.552734375,1.0,0.787109375
a2_basic52_s0,layer4.3.conv1,46,512,512,9,4608,512,160000,34.72222222222222,0.05884932343871181,703.5513341218904,0.09462973354291952,0.029296875,0.048828125,0.080078125,0.0703125,0.037109375,0.076171875,0.14453125,0.10546875,0.052734375,0.205078125,0.705078125,0.30859375,0.08984375,0.572265625,1.0,0.712890625
a2_basic52_s0,layer4.3.conv2,47,512,512,9,4608,512,160000,34.72222222222222,0.03858547975751899,504.3800103934691,0.10730131749707268,0.017578125,0.03125,0.09765625,0.078125,0.01953125,0.052734375,0.177734375,0.12109375,0.0390625,0.14453125,0.775390625,0.314453125,0.07421875,0.486328125,1.0,0.71875
a2_basic52_s0,layer4.4.conv1,48,512,512,9,4608,512,160000,34.72222222222222,0.052988225822329316,649.0774860790109,0.0890690240764818,0.025390625,0.044921875,0.07421875,0.06640625,0.03125,0.068359375,0.126953125,0.09765625,0.046875,0.181640625,0.60546875,0.28515625,0.083984375,0.521484375,1.0,0.685546875
a2_basic52_s0,layer4.4.conv2,49,512,512,9,4608,512,160000,34.72222222222222,0.03588882043560333,985.5671111410064,0.09494803217137533,0.017578125,0.029296875,0.0859375,0.072265625,0.01953125,0.046875,0.15234375,0.109375,0.033203125,0.126953125,0.6015625,0.279296875,0.06640625,0.431640625,1.0,0.666015625
a2_basic52_s0,layer4.5.conv1,50,512,512,9,4608,512,160000,34.72222222222222,0.03750656021729027,1103.4875352404765,0.0853479176717258,0.01953125,0.033203125,0.0703125,0.064453125,0.0234375,0.052734375,0.115234375,0.09375,0.0390625,0.146484375,0.541015625,0.265625,0.072265625,0.453125,1.0,0.66015625
a2_basic52_s0,layer4.5.conv2,51,512,512,9,4608,512,160000,34.72222222222222,0.03069962377060308,1077.6192829213112,0.08097099114644302,0.017578125,0.021484375,0.076171875,0.064453125,0.017578125,0.037109375,0.13671875,0.1015625,0.0234375,0.099609375,0.44921875,0.248046875,0.056640625,0.35546875,1.0,0.5859375
