model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a2_basic52_s1,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.307867872709599,331.8574533742458,0.10182967191100227,27,0,331.8574533742458,True,1.0,True,0.037037037037037035,True,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2222222222222222,0.2962962962962963,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.4074074074074074,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.7387057387057387,0.7264957264957265
a2_basic52_s1,layer1.0.conv1,1,64,64,9,576,64,160000,277.77777777777777,0.2800300801914065,42.74160157381829,0.38268350242851906,64,0,42.74160157381829,True,1.0,True,0.015625,True,0.171875,0.28125,0.40625,0.328125,1.0,True,0.015625,True,0.21875,0.390625,0.59375,0.4375,1.0,True,0.015625,True,0.359375,0.640625,1.0,0.703125,1.0,True,0.046875,True,0.5625,0.90625,1.0,0.9375,0.9065934065934066,0.9621474415994963
a2_basic52_s1,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.4230913013031493,17.775986600782534,0.9421040896649643,64,0,17.775986600782534,True,1.0,True,0.015625,True,0.21875,0.40625,1.0,0.4375,1.0,True,0.015625,True,0.28125,0.5625,1.0,0.578125,1.0,True,0.046875,True,0.46875,0.8125,1.0,0.84375,1.0,True,0.265625,True,0.765625,0.96875,1.0,0.984375,0.9443681318681317,0.9837427473438326
a2_basic52_s1,layer1.1.conv1,3,64,64,9,576,64,160000,277.77777777777777,0.42614968221550814,16.46536632929489,0.9133326971921298,64,0,16.46536632929489,True,1.0,True,0.015625,True,0.21875,0.40625,0.921875,0.4375,1.0,True,0.015625,True,0.296875,0.546875,1.0,0.578125,1.0,True,0.0625,True,0.46875,0.8125,1.0,0.859375,1.0,True,0.3125,True,0.765625,0.96875,1.0,0.984375,0.9318681318681318,0.9808718885791073
a2_basic52_s1,layer1.1.conv2,4,64,64,9,576,64,160000,277.77777777777777,0.557420662214296,10.238979651116479,1.0,64,0,10.238979651116479,True,1.0,True,0.03125,True,0.25,0.515625,1.0,0.53125,1.0,True,0.046875,True,0.34375,0.65625,1.0,0.6875,1.0,True,0.140625,True,0.59375,0.875,1.0,0.90625,1.0,True,0.53125,True,0.875,0.984375,1.0,1.0,0.9562728937728937,0.9812144274483211
a2_basic52_s1,layer1.2.conv1,5,64,64,9,576,64,160000,277.77777777777777,0.4738612181882341,15.464125782993566,1.0,64,0,15.464125782993566,True,1.0,True,0.015625,True,0.203125,0.453125,1.0,0.484375,1.0,True,0.015625,True,0.296875,0.59375,1.0,0.625,1.0,True,0.0625,True,0.515625,0.84375,1.0,0.875,1.0,True,0.34375,True,0.8125,0.96875,1.0,0.984375,0.9325091575091573,0.9779823173335344
a2_basic52_s1,layer1.2.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.5172686574853692,18.89267063246779,1.0,64,0,18.89267063246779,True,1.0,True,0.015625,True,0.234375,0.5,1.0,0.53125,1.0,True,0.015625,True,0.328125,0.640625,1.0,0.6875,1.0,True,0.046875,True,0.578125,0.84375,1.0,0.921875,1.0,True,0.265625,True,0.859375,0.96875,1.0,1.0,0.8408424908424909,0.9786888076758848
a2_basic52_s1,layer1.3.conv1,7,64,64,9,576,64,160000,277.77777777777777,0.4026937373725356,19.183732917669083,1.0,64,0,19.183732917669083,True,1.0,True,0.015625,True,0.15625,0.40625,1.0,0.46875,1.0,True,0.015625,True,0.21875,0.546875,1.0,0.625,1.0,True,0.046875,True,0.4375,0.8125,1.0,0.875,1.0,True,0.234375,True,0.75,0.96875,1.0,0.984375,0.9575091575091573,0.9718841835581343
a2_basic52_s1,layer1.3.conv2,8,64,64,9,576,64,160000,277.77777777777777,0.5252266754667732,14.195833899418899,1.0,64,0,14.195833899418899,True,1.0,True,0.015625,True,0.28125,0.5,1.0,0.546875,1.0,True,0.015625,True,0.390625,0.640625,1.0,0.703125,1.0,True,0.078125,True,0.640625,0.84375,1.0,0.921875,1.0,True,0.40625,True,0.890625,0.984375,1.0,1.0,0.8374999999999999,0.9766144224248362
a2_basic52_s1,layer1.4.conv1,9,64,64,9,576,64,160000,277.77777777777777,0.48473255249927283,11.812838426943205,1.0,64,0,11.812838426943205,True,1.0,True,0.015625,True,0.25,0.46875,1.0,0.546875,1.0,True,0.03125,True,0.328125,0.625,1.0,0.703125,1.0,True,0.109375,True,0.578125,0.859375,1.0,0.921875,1.0,True,0.5,True,0.875,0.984375,1.0,1.0,0.9104395604395604,0.9739505312335168
