model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
a2_bottleneck_s0,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.29973186175835204,275.03752955812166,0.10118731370597223,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.2962962962962963,0.18518518518518517,0.18518518518518517,0.2962962962962963,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.37037037037037035,0.5925925925925926,0.6666666666666666,0.6666666666666666
a2_bottleneck_s0,layer1.0.conv1,1,64,64,1,64,64,160000,2500.0,0.17788877609812656,8455.786207043293,0.17235214346250327,0.09375,0.140625,0.140625,0.140625,0.125,0.1875,0.1875,0.1875,0.171875,0.34375,0.3125,0.3125,0.21875,0.578125,0.609375,0.609375
a2_bottleneck_s0,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.2706297224690786,40.235076674869774,0.6593997713306768,0.15625,0.25,0.625,0.375,0.21875,0.375,1.0,0.484375,0.359375,0.671875,1.0,0.765625,0.578125,0.921875,1.0,0.96875
a2_bottleneck_s0,layer1.0.conv3,3,64,256,1,64,64,160000,2500.0,0.31134678895144535,28.48689692973918,0.2877077156474283,0.125,0.28125,0.265625,0.265625,0.15625,0.375,0.40625,0.40625,0.234375,0.6875,0.734375,0.734375,0.4375,0.9375,0.953125,0.953125
a2_bottleneck_s0,layer1.0.downsample.0,4,64,256,1,64,64,160000,2500.0,0.2098508999926076,165.91222047818727,0.17235112296111135,0.109375,0.15625,0.140625,0.140625,0.125,0.203125,0.1875,0.1875,0.15625,0.390625,0.3125,0.3125,0.21875,0.703125,0.609375,0.609375
a2_bottleneck_s0,layer1.1.conv1,5,256,64,1,256,64,160000,625.0,0.26675786567393905,59.308872007662714,0.44869047797194844,0.109375,0.25,0.4375,0.3125,0.15625,0.359375,0.703125,0.4375,0.265625,0.640625,1.0,0.71875,0.484375,0.890625,1.0,0.953125
a2_bottleneck_s0,layer1.1.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.3534966672640691,18.624404573732917,0.9447743070393061,0.171875,0.34375,1.0,0.4375,0.234375,0.484375,1.0,0.59375,0.421875,0.78125,1.0,0.859375,0.71875,0.96875,1.0,0.984375
a2_bottleneck_s0,layer1.1.conv3,7,64,256,1,64,64,160000,2500.0,0.34937910181329185,19.46836574824684,0.3793050645534089,0.125,0.296875,0.375,0.375,0.171875,0.421875,0.53125,0.53125,0.3125,0.71875,0.8125,0.8125,0.5625,0.953125,0.96875,0.96875
a2_bottleneck_s0,layer1.2.conv1,8,256,64,1,256,64,160000,625.0,0.22814530691803267,91.09868053387015,0.56070813740416,0.09375,0.203125,0.578125,0.359375,0.125,0.3125,0.9375,0.5,0.234375,0.609375,1.0,0.796875,0.484375,0.859375,1.0,0.96875
a2_bottleneck_s0,layer1.2.conv2,9,64,64,9,576,64,160000,277.77777777777777,0.37040554421614186,31.821606862773567,0.8252761900917587,0.140625,0.34375,1.0,0.359375,0.1875,0.46875,1.0,0.53125,0.296875,0.75,1.0,0.828125,0.59375,0.9375,1.0,0.984375
a2_bottleneck_s0,layer1.2.conv3,10,64,256,1,64,64,160000,2500.0,0.30429686747945867,54.49497909260211,0.42529785947102994,0.1875,0.28125,0.40625,0.40625,0.25,0.390625,0.546875,0.546875,0.390625,0.640625,0.796875,0.796875,0.59375,0.890625,0.953125,0.953125
a2_bottleneck_s0,layer2.0.conv1,11,256,128,1,256,128,160000,625.0,0.16925448293522471,129.68182890702514,0.3800438015988692,0.0703125,0.15625,0.3984375,0.296875,0.1015625,0.2265625,0.6328125,0.4375,0.1796875,0.4453125,1.0,0.7421875,0.328125,0.7734375,1.0,0.9609375
a2_bottleneck_s0,layer2.0.conv2,12,128,128,9,1152,128,160000,138.88888888888889,0.3065284408387687,31.34046275699631,0.5828692718811659,0.1171875,0.28125,0.8984375,0.359375,0.1484375,0.4140625,1.0,0.515625,0.296875,0.7109375,1.0,0.8203125,0.5703125,0.9375,1.0,0.9765625
a2_bottleneck_s0,layer2.0.conv3,13,128,512,1,128,128,160000,1250.0,0.3172913860977742,33.62471400609582,0.2928346327725622,0.1015625,0.28125,0.3203125,0.3203125,0.1328125,0.40625,0.4765625,0.4765625,0.2421875,0.6953125,0.765625,0.765625,0.4921875,0.9296875,0.953125,0.953125
a2_bottleneck_s0,layer2.0.downsample.0,14,256,512,1,256,256,160000,625.0,0.17366518858528293,111.95096982018623,0.18695083782378255,0.0546875,0.16015625,0.1953125,0.1953125,0.07421875,0.24609375,0.30859375,0.30859375,0.1328125,0.5078125,0.64453125,0.64453125,0.265625,0.828125,0.91796875,0.91796875
a2_bottleneck_s0,layer2.1.conv1,15,512,128,1,512,128,160000,312.5,0.19000153384591578,64.31292704945412,0.39321810478935293,0.078125,0.1875,0.4609375,0.2578125,0.109375,0.28125,0.828125,0.390625,0.1796875,0.578125,1.0,0.7109375,0.359375,0.890625,1.0,0.953125
a2_bottleneck_s0,layer2.1.conv2,16,128,128,9,1152,128,160000,138.88888888888889,0.3200285464352823,22.30843401078307,0.7155745343582803,0.15625,0.328125,1.0,0.4140625,0.21875,0.4765625,1.0,0.5703125,0.3984375,0.7734375,1.0,0.8515625,0.7109375,0.9609375,1.0,0.984375
a2_bottleneck_s0,layer2.1.conv3,17,128,512,1,128,128,160000,1250.0,0.36565824699525995,20.389546023646712,0.3987400906795341,0.125,0.34375,0.4375,0.4375,0.1640625,0.484375,0.609375,0.609375,0.3359375,0.78125,0.875,0.875,0.6484375,0.9609375,0.984375,0.984375
a2_bottleneck_s0,layer2.2.conv1,18,512,128,1,512,128,160000,312.5,0.2949489753084521,28.59832124108424,0.5882167270956506,0.1171875,0.2890625,0.7109375,0.3515625,0.15625,0.421875,1.0,0.5,0.2890625,0.7265625,1.0,0.8046875,0.5546875,0.9453125,1.0,0.9765625
a2_bottleneck_s0,layer2.2.conv2,19,128,128,9,1152,128,160000,138.88888888888889,0.4930465343235739,15.14675665063862,1.0,0.2265625,0.4765625,1.0,0.5078125,0.3203125,0.6328125,1.0,0.671875,0.5625,0.875,1.0,0.90625,0.859375,0.984375,1.0,0.9921875
a2_bottleneck_s0,layer2.2.conv3,20,128,512,1,128,128,160000,1250.0,0.466817472900144,19.415528241863996,0.543010258992212,0.1953125,0.4375,0.578125,0.578125,0.2734375,0.59375,0.734375,0.734375,0.5234375,0.8515625,0.921875,0.921875,0.8359375,0.9765625,0.9921875,0.9921875
a2_bottleneck_s0,layer2.3.conv1,21,512,128,1,512,128,160000,312.5,0.33854131435279206,31.020955166490285,0.7827443561878553,0.1484375,0.328125,1.0,0.4140625,0.1953125,0.46875,1.0,0.578125,0.3515625,0.7578125,1.0,0.859375,0.65625,0.953125,1.0,0.984375
a2_bottleneck_s0,layer2.3.conv2,22,128,128,9,1152,128,160000,138.88888888888889,0.5110340087809473,12.365915738390925,1.0,0.2265625,0.484375,1.0,0.5390625,0.3203125,0.640625,1.0,0.703125,0.578125,0.8671875,1.0,0.921875,0.8671875,0.984375,1.0,0.9921875
a2_bottleneck_s0,layer2.3.conv3,23,128,512,1,128,128,160000,1250.0,0.4268899794782096,17.31240027806056,0.5173933928961777,0.1875,0.40625,0.5546875,0.5546875,0.265625,0.5625,0.703125,0.703125,0.5,0.8203125,0.90625,0.90625,0.796875,0.96875,0.9921875,0.9921875
a2_bottleneck_s0,layer3.0.conv1,24,512,256,1,512,256,160000,312.5,0.27310763947560074,51.38728819949861,0.480231033356057,0.10546875,0.24609375,0.62890625,0.375,0.140625,0.36328125,0.98828125,0.5546875,0.24609375,0.65234375,1.0,0.85546875,0.515625,0.90625,1.0,0.984375
a2_bottleneck_s0,layer3.0.conv2,25,256,256,9,2304,256,160000,69.44444444444444,0.43154664939445025,12.536444929903054,1.0,0.15625,0.43359375,1.0,0.484375,0.2265625,0.6015625,1.0,0.65234375,0.45703125,0.8671875,1.0,0.89453125,0.8046875,0.984375,1.0,0.98828125
a2_bottleneck_s0,layer3.0.conv3,26,256,1024,1,256,256,160000,625.0,0.3818876595938762,19.241745086127292,0.3666870652040032,0.1171875,0.3671875,0.4453125,0.4453125,0.16015625,0.53125,0.6328125,0.6328125,0.33203125,0.8203125,0.88671875,0.88671875,0.703125,0.97265625,0.984375,0.984375
a2_bottleneck_s0,layer3.0.downsample.0,27,512,1024,1,512,512,160000,312.5,0.2349271318727472,50.70722799917802,0.23884833685726306,0.060546875,0.23828125,0.3125,0.3125,0.08203125,0.37109375,0.494140625,0.494140625,0.171875,0.669921875,0.814453125,0.814453125,0.421875,0.916015625,0.96875,0.96875
a2_bottleneck_s0,layer3.1.conv1,28,1024,256,1,1024,256,160000,156.25,0.22706267184635956,39.64987477989412,0.38898274080667783,0.07421875,0.21875,0.56640625,0.23828125,0.09765625,0.34765625,1.0,0.3828125,0.1640625,0.6796875,1.0,0.7421875,0.36328125,0.93359375,1.0,0.96484375
a2_bottleneck_s0,layer3.1.conv2,29,256,256,9,2304,256,160000,69.44444444444444,0.44264008111211267,15.00451009187622,1.0,0.1640625,0.453125,1.0,0.47265625,0.2421875,0.61328125,1.0,0.63671875,0.47265625,0.8671875,1.0,0.8828125,0.80078125,0.98046875,1.0,0.98828125
