model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a2_mobilenetv2_s2,features.0.0,0,3,32,9,27,27,160000,5925.925925925926,0.2662209653714663,26204.743013509324,0.10137631188558271,27,0,26204.743013509324,True,1.0,True,0.037037037037037035,True,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.18518518518518517,0.2962962962962963,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.4444444444444444,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.6019536019536019,0.6446886446886446
a2_mobilenetv2_s2,features.1.conv.1,1,32,16,1,32,16,160000,5000.0,0.5241395358731035,78.60227518641943,0.692545547287085,16,0,78.60227518641943,True,1.0,True,0.0625,True,0.3125,0.4375,0.625,0.5625,1.0,True,0.0625,True,0.4375,0.5,0.8125,0.6875,1.0,True,0.0625,True,0.5625,0.625,1.0,0.9375,1.0,True,0.0625,True,0.625,0.75,1.0,1.0,0.9441176470588234,0.9508771929824561
a2_mobilenetv2_s2,features.2.conv.0.0,2,16,96,1,16,16,160000,10000.0,0.5003907209770212,35.56404258360418,0.4338664114352187,16,0,35.56404258360418,True,0.75,True,0.0625,True,0.3125,0.4375,0.375,0.375,0.8125,True,0.0625,True,0.375,0.5,0.4375,0.4375,0.9375,True,0.0625,True,0.5,0.625,0.5625,0.5625,1.0,True,0.125,True,0.5625,0.8125,0.625,0.625,0.9705882352941176,0.9352941176470588
a2_mobilenetv2_s2,features.2.conv.2,3,96,24,1,96,24,160000,1666.6666666666667,0.6876084293546211,11.729446124737837,1.0,24,0,11.729446124737837,True,1.0,True,0.041666666666666664,True,0.4166666666666667,0.5833333333333334,1.0,0.625,1.0,True,0.041666666666666664,True,0.5,0.6666666666666666,1.0,0.75,1.0,True,0.16666666666666666,True,0.7083333333333334,0.8333333333333334,1.0,0.9583333333333334,1.0,True,0.5833333333333334,True,0.875,0.9583333333333334,1.0,1.0,0.8313043478260868,0.9264265735026829
a2_mobilenetv2_s2,features.3.conv.0.0,4,24,144,1,24,24,160000,6666.666666666667,0.5363328619999803,24.646338615874278,0.47748470699513085,24,0,24.646338615874278,True,0.9583333333333334,True,0.041666666666666664,True,0.2916666666666667,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.9583333333333334,True,0.041666666666666664,True,0.3333333333333333,0.5833333333333334,0.5416666666666666,0.5416666666666666,1.0,True,0.041666666666666664,True,0.5,0.75,0.7083333333333334,0.7083333333333334,1.0,True,0.20833333333333334,True,0.6666666666666666,0.9166666666666666,0.875,0.875,0.9739130434782608,0.9904347826086956
a2_mobilenetv2_s2,features.3.conv.2,5,144,24,1,144,24,160000,1111.111111111111,0.4831095772633425,17.57530185098126,1.0,24,0,17.57530185098126,True,1.0,True,0.041666666666666664,True,0.3333333333333333,0.4166666666666667,1.0,0.6666666666666666,1.0,True,0.041666666666666664,True,0.4583333333333333,0.5416666666666666,1.0,0.7916666666666666,1.0,True,0.08333333333333333,True,0.6666666666666666,0.75,1.0,0.9583333333333334,1.0,True,0.4166666666666667,True,0.875,0.9583333333333334,1.0,1.0,-0.11652173913043477,0.8611079075846692
a2_mobilenetv2_s2,features.4.conv.0.0,6,24,144,1,24,24,160000,6666.666666666667,0.6664619493777407,12.485995490617793,0.5881612462510756,24,0,12.485995490617793,True,1.0,True,0.041666666666666664,True,0.375,0.5833333333333334,0.5416666666666666,0.5416666666666666,1.0,True,0.041666666666666664,True,0.4583333333333333,0.6666666666666666,0.625,0.625,1.0,True,0.125,True,0.625,0.7916666666666666,0.7916666666666666,0.7916666666666666,1.0,True,0.4583333333333333,True,0.75,0.9583333333333334,1.0,1.0,0.946086956521739,0.9556521739130434
a2_mobilenetv2_s2,features.4.conv.2,7,144,32,1,144,32,160000,1111.111111111111,0.5820308038170718,22.94256307341899,0.934141763704243,32,0,22.94256307341899,True,1.0,True,0.03125,True,0.28125,0.5,1.0,0.53125,1.0,True,0.03125,True,0.375,0.5625,1.0,0.6875,1.0,True,0.03125,True,0.53125,0.71875,1.0,0.90625,1.0,True,0.1875,True,0.75,0.90625,1.0,1.0,0.8801319648093842,0.8841696039809247
a2_mobilenetv2_s2,features.5.conv.0.0,8,32,192,1,32,32,160000,5000.0,0.4176232699205454,41.43141309380992,0.33857808332064987,32,0,41.43141309380992,True,0.9375,True,0.03125,True,0.1875,0.375,0.28125,0.28125,0.96875,True,0.03125,True,0.25,0.46875,0.375,0.375,1.0,True,0.03125,True,0.34375,0.59375,0.5625,0.5625,1.0,True,0.0625,True,0.5,0.84375,0.75,0.75,0.9908357771260996,0.9886363636363635
a2_mobilenetv2_s2,features.5.conv.2,9,192,32,1,192,32,160000,833.3333333333334,0.6074412108962493,12.844579462020409,1.0,32,0,12.844579462020409,True,1.0,True,0.03125,True,0.4375,0.53125,1.0,0.71875,1.0,True,0.03125,True,0.53125,0.625,1.0,0.84375,1.0,True,0.15625,True,0.71875,0.8125,1.0,0.96875,1.0,True,0.65625,True,0.9375,0.96875,1.0,1.0,0.720307917888563,0.9357897230638788
