model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
a5_basic52_so_s0,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.6040913385709032,18.372144583012062,0.10182967254817632,0.18518518518518517,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.2222222222222222,0.5925925925925926,0.18518518518518517,0.18518518518518517,0.37037037037037035,0.7407407407407407,0.37037037037037035,0.37037037037037035,0.5925925925925926,0.9259259259259259,0.6666666666666666,0.6666666666666666
a5_basic52_so_s0,layer1.0.conv1,1,64,64,9,576,64,160000,277.77777777777777,0.6131369647938566,7.758786320485988,0.3526126460540222,0.203125,0.5625,0.390625,0.28125,0.28125,0.6875,0.625,0.40625,0.46875,0.90625,1.0,0.671875,0.734375,1.0,1.0,0.921875
a5_basic52_so_s0,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.7498349708427189,4.410710825714733,0.8037709261803094,0.296875,0.671875,0.921875,0.421875,0.390625,0.796875,1.0,0.546875,0.640625,0.953125,1.0,0.828125,0.90625,1.0,1.0,0.984375
a5_basic52_so_s0,layer1.1.conv1,3,64,64,9,576,64,160000,277.77777777777777,0.745609150350354,5.02566921606352,0.8390499778752474,0.296875,0.671875,0.84375,0.4375,0.40625,0.796875,1.0,0.578125,0.65625,0.953125,1.0,0.84375,0.90625,1.0,1.0,0.984375
a5_basic52_so_s0,layer1.1.conv2,4,64,64,9,576,64,160000,277.77777777777777,0.8250614436235595,3.800502025470316,1.0,0.359375,0.734375,1.0,0.515625,0.484375,0.84375,1.0,0.671875,0.765625,0.96875,1.0,0.90625,0.953125,1.0,1.0,1.0
a5_basic52_so_s0,layer1.2.conv1,5,64,64,9,576,64,160000,277.77777777777777,0.7963235233012926,4.09542482141093,1.0,0.328125,0.703125,1.0,0.46875,0.4375,0.828125,1.0,0.625,0.703125,0.96875,1.0,0.875,0.9375,1.0,1.0,0.984375
a5_basic52_so_s0,layer1.2.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.844541833870292,3.289158225556557,1.0,0.390625,0.75,1.0,0.578125,0.546875,0.859375,1.0,0.734375,0.8125,0.96875,1.0,0.921875,0.96875,1.0,1.0,1.0
a5_basic52_so_s0,layer1.3.conv1,7,64,64,9,576,64,160000,277.77777777777777,0.8103172415170892,3.772568870224236,1.0,0.3125,0.71875,1.0,0.484375,0.4375,0.84375,1.0,0.625,0.703125,0.96875,1.0,0.890625,0.9375,1.0,1.0,1.0
a5_basic52_so_s0,layer1.3.conv2,8,64,64,9,576,64,160000,277.77777777777777,0.8496415481410465,3.291674371318581,1.0,0.4375,0.75,1.0,0.609375,0.578125,0.859375,1.0,0.765625,0.84375,0.96875,1.0,0.9375,0.984375,1.0,1.0,1.0
a5_basic52_so_s0,layer1.4.conv1,9,64,64,9,576,64,160000,277.77777777777777,0.8025805221411753,3.945942755160363,1.0,0.3125,0.71875,1.0,0.5,0.4375,0.828125,1.0,0.65625,0.71875,0.96875,1.0,0.90625,0.953125,1.0,1.0,1.0
a5_basic52_so_s0,layer1.4.conv2,10,64,64,9,576,64,160000,277.77777777777777,0.8250924113320125,3.5294314320652536,1.0,0.46875,0.75,1.0,0.625,0.609375,0.84375,1.0,0.78125,0.859375,0.96875,1.0,0.953125,0.984375,1.0,1.0,1.0
a5_basic52_so_s0,layer1.5.conv1,11,64,64,9,576,64,160000,277.77777777777777,0.8416552080030736,3.298245885981995,1.0,0.40625,0.75,1.0,0.578125,0.546875,0.859375,1.0,0.71875,0.8125,0.96875,1.0,0.921875,0.96875,1.0,1.0,1.0
a5_basic52_so_s0,layer1.5.conv2,12,64,64,9,576,64,160000,277.77777777777777,0.7996069540612963,3.9716154952136873,1.0,0.40625,0.71875,1.0,0.609375,0.5625,0.828125,1.0,0.765625,0.828125,0.953125,1.0,0.953125,0.96875,1.0,1.0,1.0
a5_basic52_so_s0,layer2.0.conv1,13,64,128,9,576,128,160000,277.77777777777777,0.7502320317601573,4.791539899193503,1.0,0.265625,0.671875,1.0,0.4765625,0.375,0.796875,1.0,0.6484375,0.65625,0.9453125,1.0,0.8984375,0.921875,1.0,1.0,0.9921875
a5_basic52_so_s0,layer2.0.conv2,14,128,128,9,1152,128,160000,138.88888888888889,0.8801326037318896,2.6957655471133224,1.0,0.4140625,0.7734375,1.0,0.5859375,0.5625,0.875,1.0,0.7421875,0.8359375,0.9765625,1.0,0.9375,0.9765625,1.0,1.0,0.9921875
a5_basic52_so_s0,layer2.0.downsample.0,15,64,128,1,64,64,160000,2500.0,0.7119465968340977,6.999000514244575,0.6228829717168711,0.34375,0.625,0.625,0.625,0.46875,0.75,0.765625,0.765625,0.734375,0.921875,0.9375,0.9375,0.9375,1.0,1.0,1.0
a5_basic52_so_s0,layer2.1.conv1,16,128,128,9,1152,128,160000,138.88888888888889,0.852588948984432,3.212213487667419,1.0,0.375,0.7578125,1.0,0.5390625,0.515625,0.859375,1.0,0.6953125,0.7890625,0.96875,1.0,0.9140625,0.96875,1.0,1.0,0.9921875
a5_basic52_so_s0,layer2.1.conv2,17,128,128,9,1152,128,160000,138.88888888888889,0.8877766925514701,3.0724124125976937,1.0,0.5,0.78125,1.0,0.6640625,0.6640625,0.8828125,1.0,0.8125,0.8984375,0.9765625,1.0,0.9609375,0.9921875,1.0,1.0,1.0
a5_basic52_so_s0,layer2.2.conv1,18,128,128,9,1152,128,160000,138.88888888888889,0.8698630755581307,2.9793850377712023,1.0,0.3984375,0.765625,1.0,0.5625,0.546875,0.8671875,1.0,0.71875,0.8203125,0.96875,1.0,0.9296875,0.9765625,1.0,1.0,0.9921875
a5_basic52_so_s0,layer2.2.conv2,19,128,128,9,1152,128,160000,138.88888888888889,0.8879002847500158,2.9149113013644268,1.0,0.515625,0.78125,1.0,0.6796875,0.6796875,0.8828125,1.0,0.8125,0.90625,0.9765625,1.0,0.9609375,0.9921875,1.0,1.0,1.0
a5_basic52_so_s0,layer2.3.conv1,20,128,128,9,1152,128,160000,138.88888888888889,0.8728407156436764,3.1157555445133496,1.0,0.4296875,0.765625,1.0,0.5859375,0.5703125,0.8671875,1.0,0.7421875,0.8359375,0.96875,1.0,0.9375,0.9765625,1.0,1.0,1.0
a5_basic52_so_s0,layer2.3.conv2,21,128,128,9,1152,128,160000,138.88888888888889,0.8760850079367378,3.2931026087181796,1.0,0.515625,0.7734375,1.0,0.6796875,0.671875,0.875,1.0,0.8203125,0.8984375,0.96875,1.0,0.9609375,0.9921875,1.0,1.0,1.0
a5_basic52_so_s0,layer2.4.conv1,22,128,128,9,1152,128,160000,138.88888888888889,0.8711019931816204,3.1359617042414327,1.0,0.4375,0.765625,1.0,0.6015625,0.5859375,0.8671875,1.0,0.7578125,0.8515625,0.96875,1.0,0.9453125,0.984375,1.0,1.0,1.0
a5_basic52_so_s0,layer2.4.conv2,23,128,128,9,1152,128,160000,138.88888888888889,0.8584573612762065,3.3790654193470635,1.0,0.5,0.7578125,1.0,0.6796875,0.65625,0.8671875,1.0,0.8203125,0.890625,0.96875,1.0,0.9609375,0.9921875,1.0,1.0,1.0
a5_basic52_so_s0,layer2.5.conv1,24,128,128,9,1152,128,160000,138.88888888888889,0.8605831595760067,3.5199309099935463,1.0,0.4375,0.7578125,1.0,0.6171875,0.5859375,0.859375,1.0,0.765625,0.8515625,0.96875,1.0,0.9453125,0.9765625,1.0,1.0,1.0
a5_basic52_so_s0,layer2.5.conv2,25,128,128,9,1152,128,160000,138.88888888888889,0.8283069955479572,3.9529618620082054,1.0,0.4453125,0.7421875,1.0,0.65625,0.6015625,0.8515625,1.0,0.8046875,0.859375,0.96875,1.0,0.953125,0.984375,1.0,1.0,1.0
a5_basic52_so_s0,layer3.0.conv1,26,128,256,9,1152,256,160000,138.88888888888889,0.8040057474090335,3.893884912960686,1.0,0.3046875,0.71875,1.0,0.54296875,0.4453125,0.83203125,1.0,0.71484375,0.7578125,0.95703125,1.0,0.9296875,0.9609375,0.99609375,1.0,0.9921875
a5_basic52_so_s0,layer3.0.conv2,27,256,256,9,2304,256,160000,69.44444444444444,0.9044462096576118,2.430364775993489,1.0,0.4375,0.796875,1.0,0.59765625,0.59765625,0.890625,1.0,0.7578125,0.8671875,0.9765625,1.0,0.94140625,0.984375,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.0.downsample.0,28,128,256,1,128,128,160000,1250.0,0.768037550974418,5.7533727688553675,0.6658934643023416,0.40625,0.6640625,0.6796875,0.6796875,0.546875,0.7734375,0.8203125,0.8203125,0.8046875,0.9296875,0.9609375,0.9609375,0.96875,0.9921875,1.0,1.0
a5_basic52_so_s0,layer3.1.conv1,29,256,256,9,2304,256,160000,69.44444444444444,0.8805205441660499,2.8608037097433807,1.0,0.375,0.78125,1.0,0.55078125,0.53125,0.87890625,1.0,0.71875,0.82421875,0.97265625,1.0,0.9296875,0.9765625,1.0,1.0,0.9921875
a5_basic52_so_s0,layer3.1.conv2,30,256,256,9,2304,256,160000,69.44444444444444,0.8999194176710608,3.1650107098186426,1.0,0.50390625,0.79296875,1.0,0.66796875,0.671875,0.88671875,1.0,0.8125,0.90625,0.9765625,1.0,0.9609375,0.98828125,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.2.conv1,31,256,256,9,2304,256,160000,69.44444444444444,0.8931173815412785,2.8363048910799717,1.0,0.421875,0.7890625,1.0,0.59375,0.5859375,0.8828125,1.0,0.7578125,0.86328125,0.9765625,1.0,0.94140625,0.984375,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.2.conv2,32,256,256,9,2304,256,160000,69.44444444444444,0.8902756503899636,3.3922194583102465,1.0,0.51953125,0.78515625,1.0,0.6875,0.68359375,0.87890625,1.0,0.82421875,0.91015625,0.97265625,1.0,0.9609375,0.9921875,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.3.conv1,33,256,256,9,2304,256,160000,69.44444444444444,0.8936244774424812,2.913646021869072,1.0,0.46484375,0.78515625,1.0,0.6328125,0.62890625,0.8828125,1.0,0.7890625,0.8828125,0.97265625,1.0,0.953125,0.98828125,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.3.conv2,34,256,256,9,2304,256,160000,69.44444444444444,0.8692308930476463,3.7536883783048394,1.0,0.4921875,0.7734375,1.0,0.68359375,0.66015625,0.87109375,1.0,0.8203125,0.8984375,0.97265625,1.0,0.9609375,0.98828125,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.4.conv1,35,256,256,9,2304,256,160000,69.44444444444444,0.8814029571595712,3.1553488965630963,1.0,0.46875,0.77734375,1.0,0.65234375,0.6328125,0.875,1.0,0.80078125,0.8828125,0.97265625,1.0,0.953125,0.98828125,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.4.conv2,36,256,256,9,2304,256,160000,69.44444444444444,0.8219579092118672,5.257843685017607,1.0,0.42578125,0.7421875,1.0,0.65234375,0.58984375,0.8515625,1.0,0.80078125,0.86328125,0.96484375,1.0,0.95703125,0.98046875,0.99609375,1.0,0.99609375
a5_basic52_so_s0,layer3.5.conv1,37,256,256,9,2304,256,160000,69.44444444444444,0.8529640139575597,3.8627682017324267,1.0,0.42578125,0.7578125,1.0,0.640625,0.58984375,0.86328125,1.0,0.79296875,0.86328125,0.96875,1.0,0.953125,0.984375,1.0,1.0,0.99609375
a5_basic52_so_s0,layer3.5.conv2,38,256,256,9,2304,256,160000,69.44444444444444,0.7190076635955155,6.781828062083948,1.0,0.27734375,0.69140625,1.0,0.5703125,0.421875,0.81640625,1.0,0.73828125,0.75,0.953125,1.0,0.9375,0.9609375,0.99609375,1.0,0.99609375
