model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a5_basic52_so_s2,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.6197238052588303,16.694325532856407,0.10182967191100227,27,0,16.694325532856407,True,0.7407407407407407,True,0.037037037037037035,True,0.18518518518518517,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.8148148148148148,True,0.037037037037037035,True,0.2222222222222222,0.6296296296296297,0.18518518518518517,0.18518518518518517,0.9259259259259259,True,0.037037037037037035,True,0.37037037037037035,0.7407407407407407,0.37037037037037035,0.37037037037037035,1.0,True,0.07407407407407407,True,0.5925925925925926,0.9259259259259259,0.6666666666666666,0.6666666666666666,0.5793650793650793,0.804029304029304
a5_basic52_so_s2,layer1.0.conv1,1,64,64,9,576,64,160000,277.77777777777777,0.602842773136287,8.79431813438739,0.3613762899688538,64,0,8.79431813438739,True,0.90625,True,0.015625,True,0.203125,0.546875,0.40625,0.296875,0.953125,True,0.015625,True,0.265625,0.6875,0.625,0.421875,0.984375,True,0.0625,True,0.46875,0.90625,1.0,0.6875,1.0,True,0.359375,True,0.734375,0.984375,1.0,0.9375,0.9143315018315018,0.9724552731057068
a5_basic52_so_s2,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.7379825130907213,5.146292521977918,0.8841587976993999,64,0,5.146292521977918,True,0.921875,True,0.046875,True,0.296875,0.65625,0.984375,0.4375,0.96875,True,0.09375,True,0.40625,0.78125,1.0,0.578125,1.0,True,0.28125,True,0.640625,0.9375,1.0,0.84375,1.0,True,0.703125,True,0.90625,1.0,1.0,0.984375,0.9169871794871794,0.98896616682993
a5_basic52_so_s2,layer1.1.conv1,3,64,64,9,576,64,160000,277.77777777777777,0.724176996477544,5.199775537833419,0.7965553437741018,64,0,5.199775537833419,True,0.921875,True,0.046875,True,0.28125,0.65625,0.796875,0.421875,0.953125,True,0.078125,True,0.375,0.78125,1.0,0.5625,1.0,True,0.28125,True,0.625,0.9375,1.0,0.828125,1.0,True,0.671875,True,0.890625,1.0,1.0,0.984375,0.9164377289377287,0.9902487252907344
a5_basic52_so_s2,layer1.1.conv2,4,64,64,9,576,64,160000,277.77777777777777,0.7993751294151445,4.375791687340387,1.0,64,0,4.375791687340387,True,0.9375,True,0.078125,True,0.328125,0.71875,1.0,0.515625,0.96875,True,0.140625,True,0.46875,0.828125,1.0,0.65625,1.0,True,0.390625,True,0.734375,0.953125,1.0,0.90625,1.0,True,0.828125,True,0.953125,1.0,1.0,1.0,0.9362637362637362,0.9848442719714667
a5_basic52_so_s2,layer1.2.conv1,5,64,64,9,576,64,160000,277.77777777777777,0.777209921324649,4.393076716038803,1.0,64,0,4.393076716038803,True,0.921875,True,0.078125,True,0.3125,0.6875,1.0,0.46875,0.953125,True,0.140625,True,0.421875,0.8125,1.0,0.625,1.0,True,0.359375,True,0.6875,0.953125,1.0,0.875,1.0,True,0.78125,True,0.921875,1.0,1.0,0.984375,0.9400641025641024,0.9873545073217294
a5_basic52_so_s2,layer1.2.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.83284572963516,3.557075237426091,1.0,64,0,3.557075237426091,True,0.9375,True,0.109375,True,0.390625,0.734375,1.0,0.5625,0.96875,True,0.203125,True,0.53125,0.84375,1.0,0.734375,1.0,True,0.53125,True,0.8125,0.96875,1.0,0.9375,1.0,True,0.90625,True,0.96875,1.0,1.0,1.0,0.9527472527472527,0.9820188757441038
a5_basic52_so_s2,layer1.3.conv1,7,64,64,9,576,64,160000,277.77777777777777,0.8034504305551966,4.651176383743325,1.0,64,0,4.651176383743325,True,0.9375,True,0.0625,True,0.328125,0.71875,1.0,0.5,0.96875,True,0.109375,True,0.453125,0.828125,1.0,0.640625,1.0,True,0.359375,True,0.71875,0.953125,1.0,0.890625,1.0,True,0.796875,True,0.9375,1.0,1.0,1.0,0.9414377289377288,0.986036847260945
a5_basic52_so_s2,layer1.3.conv2,8,64,64,9,576,64,160000,277.77777777777777,0.8380171990769482,3.717750638962297,1.0,64,0,3.717750638962297,True,0.953125,True,0.109375,True,0.421875,0.75,1.0,0.609375,0.984375,True,0.1875,True,0.578125,0.859375,1.0,0.75,1.0,True,0.546875,True,0.84375,0.96875,1.0,0.9375,1.0,True,0.921875,True,0.984375,1.0,1.0,1.0,0.8710164835164834,0.9492831487202674
a5_basic52_so_s2,layer1.4.conv1,9,64,64,9,576,64,160000,277.77777777777777,0.7862549652798337,4.232270187355505,1.0,64,0,4.232270187355505,True,0.9375,True,0.078125,True,0.3125,0.703125,1.0,0.5,0.96875,True,0.125,True,0.4375,0.828125,1.0,0.65625,1.0,True,0.40625,True,0.703125,0.953125,1.0,0.890625,1.0,True,0.828125,True,0.9375,1.0,1.0,1.0,0.9533882783882782,0.986415429633537
