model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a5_vgg16_bn_none_s2,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.4123037547215623,382.3229078756751,0.10174359988317173,27,0,382.3229078756751,True,1.0,True,0.037037037037037035,True,0.25925925925925924,0.37037037037037035,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.4074074074074074,0.5185185185185185,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.5555555555555556,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6642246642246642,0.6971916971916973
a5_vgg16_bn_none_s2,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.4913590896589786,12.89255013071653,0.7782830016842194,64,0,12.89255013071653,True,0.984375,True,0.015625,True,0.234375,0.4375,0.71875,0.4375,1.0,True,0.03125,True,0.3125,0.578125,1.0,0.5625,1.0,True,0.09375,True,0.484375,0.84375,1.0,0.828125,1.0,True,0.375,True,0.75,0.984375,1.0,0.984375,0.9637362637362636,0.9903919559655989
a5_vgg16_bn_none_s2,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.46294521900606617,13.476755923068824,0.9654560382869789,128,0,13.476755923068824,True,0.9921875,True,0.0078125,True,0.21875,0.4453125,1.0,0.4921875,1.0,True,0.0078125,True,0.3046875,0.59375,1.0,0.65625,1.0,True,0.0625,True,0.5234375,0.8515625,1.0,0.8984375,1.0,True,0.3828125,True,0.828125,0.9765625,1.0,0.9921875,0.9529218549716169,0.9867567126315526
a5_vgg16_bn_none_s2,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.6872312839494421,6.218358037621644,1.0,128,0,6.218358037621644,True,0.9765625,True,0.03125,True,0.28125,0.65625,1.0,0.5390625,0.9921875,True,0.0703125,True,0.40625,0.796875,1.0,0.703125,1.0,True,0.265625,True,0.6953125,0.953125,1.0,0.921875,1.0,True,0.765625,True,0.9453125,1.0,1.0,0.9921875,0.9775395989745467,0.9894462003577216
a5_vgg16_bn_none_s2,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.6350785955980346,7.636996427390649,1.0,256,0,7.636996427390649,True,0.98828125,True,0.015625,True,0.265625,0.59375,1.0,0.578125,0.99609375,True,0.03515625,True,0.38671875,0.734375,1.0,0.74609375,1.0,True,0.1875,True,0.68359375,0.921875,1.0,0.94140625,1.0,True,0.7265625,True,0.93359375,0.9921875,1.0,0.99609375,0.9763561455710686,0.9916343076485648
a5_vgg16_bn_none_s2,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.6885680371733657,7.436957770364889,1.0,256,0,7.436957770364889,True,0.9921875,True,0.01953125,True,0.30859375,0.6640625,1.0,0.609375,0.99609375,True,0.04296875,True,0.453125,0.80078125,1.0,0.7734375,1.0,True,0.2109375,True,0.76953125,0.94921875,1.0,0.94921875,1.0,True,0.765625,True,0.96484375,0.99609375,1.0,0.99609375,0.9806320096131835,0.9886714439087122
a5_vgg16_bn_none_s2,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.7451408744948597,5.646619098437626,1.0,256,0,5.646619098437626,True,0.984375,True,0.0390625,True,0.359375,0.69921875,1.0,0.6484375,0.9921875,True,0.0859375,True,0.51953125,0.82421875,1.0,0.80078125,1.0,True,0.3671875,True,0.8203125,0.95703125,1.0,0.953125,1.0,True,0.8671875,True,0.9765625,0.99609375,1.0,0.99609375,0.981894455252918,0.9896172388164202
a5_vgg16_bn_none_s2,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.4662215469506164,14.996682843563109,1.0,512,0,14.996682843563109,True,0.998046875,True,0.001953125,True,0.173828125,0.498046875,1.0,0.541015625,1.0,True,0.00390625,True,0.26953125,0.658203125,1.0,0.72265625,1.0,True,0.033203125,True,0.560546875,0.88671875,1.0,0.93359375,1.0,True,0.353515625,True,0.888671875,0.984375,1.0,0.994140625,0.975008064539202,0.985092949119464
a5_vgg16_bn_none_s2,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.305435800473952,29.468802643254534,1.0,512,0,29.468802643254534,True,1.0,True,0.001953125,True,0.091796875,0.37890625,1.0,0.37890625,1.0,True,0.001953125,True,0.140625,0.548828125,1.0,0.5703125,1.0,True,0.005859375,True,0.32421875,0.826171875,1.0,0.876953125,1.0,True,0.06640625,True,0.7109375,0.96875,1.0,0.986328125,0.9681144928531374,0.9786985759161446
a5_vgg16_bn_none_s2,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.21126202979478323,53.647178657664305,0.5270840472498655,512,0,53.647178657664305,True,1.0,True,0.001953125,True,0.076171875,0.3046875,0.86328125,0.240234375,1.0,True,0.001953125,True,0.109375,0.478515625,1.0,0.373046875,1.0,True,0.001953125,True,0.220703125,0.7890625,1.0,0.734375,1.0,True,0.015625,True,0.517578125,0.958984375,1.0,0.9609375,0.9622374822615899,0.9898689760972549
