model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a5_vgg16_bn_so_s0,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.6245968275268423,23.15549975496293,0.10174359988317173,27,0,23.15549975496293,True,0.8148148148148148,True,0.037037037037037035,True,0.2222222222222222,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.8518518518518519,True,0.037037037037037035,True,0.2962962962962963,0.5925925925925926,0.18518518518518517,0.18518518518518517,0.9629629629629629,True,0.037037037037037035,True,0.4444444444444444,0.7407407407407407,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.5925925925925926,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.29181929181929184,0.702075702075702
a5_vgg16_bn_so_s0,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.7978436181064718,3.9349737876028485,0.7735488536777075,64,0,3.9349737876028485,True,0.859375,True,0.09375,True,0.3125,0.71875,0.703125,0.4375,0.921875,True,0.15625,True,0.40625,0.828125,1.0,0.578125,0.984375,True,0.375,True,0.640625,0.96875,1.0,0.828125,1.0,True,0.765625,True,0.890625,1.0,1.0,0.96875,0.9558150183150182,0.9926505769008794
a5_vgg16_bn_so_s0,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.8008504063165698,3.9715903209618135,1.0,128,0,3.9715903209618135,True,0.9375,True,0.0625,True,0.328125,0.71875,1.0,0.515625,0.96875,True,0.125,True,0.4609375,0.828125,1.0,0.6796875,1.0,True,0.4296875,True,0.75,0.9609375,1.0,0.9140625,1.0,True,0.8671875,True,0.953125,1.0,1.0,0.9921875,0.965883080021974,0.9901124004722076
a5_vgg16_bn_so_s0,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.9068591165994638,2.62848548008264,1.0,128,0,2.62848548008264,True,0.890625,True,0.1640625,True,0.3984375,0.8046875,1.0,0.5546875,0.9453125,True,0.28125,True,0.5546875,0.8984375,1.0,0.71875,0.9921875,True,0.65625,True,0.84375,0.9765625,1.0,0.9296875,1.0,True,0.953125,True,0.984375,1.0,1.0,0.9921875,0.9755138710858815,0.9778930827147553
a5_vgg16_bn_so_s0,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.8631057854443186,3.406030690159465,1.0,256,0,3.406030690159465,True,0.9453125,True,0.0859375,True,0.37890625,0.7578125,1.0,0.58203125,0.97265625,True,0.1796875,True,0.54296875,0.86328125,1.0,0.75,0.99609375,True,0.5703125,True,0.83203125,0.96875,1.0,0.94140625,1.0,True,0.93359375,True,0.9765625,0.99609375,1.0,0.99609375,0.9806091210803386,0.9917170065799966
a5_vgg16_bn_so_s0,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.9116137859684487,2.9706512519983073,1.0,256,0,2.9706512519983073,True,0.9375,True,0.125,True,0.4453125,0.8046875,1.0,0.6171875,0.96875,True,0.25390625,True,0.62109375,0.89453125,1.0,0.77734375,0.99609375,True,0.66796875,True,0.8828125,0.9765625,1.0,0.94921875,1.0,True,0.95703125,True,0.98828125,1.0,1.0,0.99609375,0.9810411421377888,0.9861068199029277
a5_vgg16_bn_so_s0,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.9272291753504864,2.507025861191487,1.0,256,0,2.507025861191487,True,0.91796875,True,0.1875,True,0.48046875,0.81640625,1.0,0.62890625,0.9609375,True,0.34375,True,0.65234375,0.90234375,1.0,0.7890625,0.9921875,True,0.75390625,True,0.8984375,0.98046875,1.0,0.953125,1.0,True,0.96875,True,0.98828125,1.0,1.0,0.99609375,0.9831368734264131,0.9859446304829219
a5_vgg16_bn_so_s0,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.8348073015753171,3.7794052140280665,1.0,512,0,3.7794052140280665,True,0.953125,True,0.05859375,True,0.345703125,0.7421875,1.0,0.576171875,0.978515625,True,0.134765625,True,0.5078125,0.849609375,1.0,0.748046875,0.99609375,True,0.505859375,True,0.818359375,0.962890625,1.0,0.94140625,1.0,True,0.91796875,True,0.974609375,0.99609375,1.0,0.994140625,0.9775728025829414,0.9875441957486367
a5_vgg16_bn_so_s0,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.8474127608545822,3.9894222619389796,1.0,512,0,3.9894222619389796,True,0.951171875,True,0.048828125,True,0.31640625,0.765625,1.0,0.533203125,0.9765625,True,0.111328125,True,0.478515625,0.869140625,1.0,0.716796875,0.99609375,True,0.43359375,True,0.80859375,0.96875,1.0,0.931640625,1.0,True,0.89453125,True,0.974609375,0.998046875,1.0,0.994140625,0.9797490658724437,0.9807866001843001
a5_vgg16_bn_so_s0,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.7920219474968716,5.129954686314151,1.0,512,0,5.129954686314151,True,0.955078125,True,0.02734375,True,0.2578125,0.73828125,1.0,0.447265625,0.978515625,True,0.060546875,True,0.388671875,0.84765625,1.0,0.630859375,0.99609375,True,0.255859375,True,0.720703125,0.962890625,1.0,0.8984375,1.0,True,0.7734375,True,0.953125,0.99609375,1.0,0.990234375,0.9750757458715281,0.9831188768170066
a5_vgg16_bn_so_s0,features.34,10,512,512,9,4608,512,40000,8.680555555555555,0.36191360546375767,10.772579821090634,0.2511151627952146,512,0,10.772579821090634,True,0.931640625,True,0.001953125,True,0.064453125,0.5234375,0.556640625,0.083984375,0.966796875,True,0.00390625,True,0.072265625,0.71484375,1.0,0.169921875,0.994140625,True,0.021484375,True,0.1015625,0.9296875,1.0,0.56640625,1.0,True,0.08203125,True,0.40625,0.9921875,1.0,0.9296875,0.9550615622961512,0.9824388987802841
a5_vgg16_bn_so_s0,features.37,11,512,512,9,4608,512,40000,8.680555555555555,0.3044816555175428,11.30198595043074,0.10617697459541858,512,0,11.30198595043074,True,0.69921875,True,0.001953125,True,0.0625,0.51171875,0.078125,0.0703125,0.8203125,True,0.00390625,True,0.068359375,0.728515625,0.17578125,0.078125,0.955078125,True,0.021484375,True,0.078125,0.939453125,1.0,0.232421875,0.99609375,True,0.068359375,True,0.177734375,0.994140625,1.0,0.671875,0.9466634444272783,0.9710573378932653
a5_vgg16_bn_so_s0,features.40,12,512,512,9,4608,512,40000,8.680555555555555,0.33274331159361276,9.54833353444361,0.09601761921394512,512,0,9.54833353444361,True,0.423828125,True,0.001953125,True,0.06640625,0.46875,0.07421875,0.0703125,0.55859375,True,0.00390625,True,0.072265625,0.7109375,0.107421875,0.076171875,0.84375,True,0.029296875,True,0.078125,0.9375,0.47265625,0.1796875,0.98046875,True,0.072265625,True,0.1796875,0.994140625,1.0,0.45703125,0.9321180376740938,0.9536632170130511
