model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,out_0.9,kernel_0.9,data_0.9,ortho_0.9,out_0.95,kernel_0.95,data_0.95,ortho_0.95,out_0.99,kernel_0.99,data_0.99,ortho_0.99,out_0.999,kernel_0.999,data_0.999,ortho_0.999
a5_vgg16_bn_so_s2,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.6226490898898555,24.473966026994656,0.10174359656123068,0.2222222222222222,0.5185185185185185,0.14814814814814814,0.14814814814814814,0.2962962962962963,0.5555555555555556,0.18518518518518517,0.18518518518518517,0.4444444444444444,0.7037037037037037,0.37037037037037035,0.37037037037037035,0.5925925925925926,0.8888888888888888,0.6666666666666666,0.6666666666666666
a5_vgg16_bn_so_s2,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.7904514803024301,4.087057470205212,0.7759092106741972,0.3125,0.703125,0.703125,0.453125,0.421875,0.828125,1.0,0.5625,0.625,0.953125,1.0,0.828125,0.90625,1.0,1.0,0.984375
a5_vgg16_bn_so_s2,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.7953626170332482,3.962553565271261,1.0,0.3203125,0.7109375,1.0,0.5078125,0.453125,0.828125,1.0,0.6796875,0.7421875,0.9609375,1.0,0.90625,0.953125,1.0,1.0,0.9921875
a5_vgg16_bn_so_s2,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.9084218927329015,2.539125213874906,1.0,0.390625,0.8046875,1.0,0.5390625,0.546875,0.8984375,1.0,0.7109375,0.84375,0.9765625,1.0,0.921875,0.984375,1.0,1.0,0.9921875
a5_vgg16_bn_so_s2,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.8639158321190072,3.335802376157133,1.0,0.3828125,0.7578125,1.0,0.58203125,0.54296875,0.859375,1.0,0.75,0.83203125,0.96875,1.0,0.94140625,0.9765625,1.0,1.0,0.99609375
a5_vgg16_bn_so_s2,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.9113434955394631,2.9851298522833742,1.0,0.4453125,0.8046875,1.0,0.61328125,0.6171875,0.89453125,1.0,0.7734375,0.8828125,0.9765625,1.0,0.94921875,0.98828125,1.0,1.0,0.99609375
a5_vgg16_bn_so_s2,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.9278658460657799,2.4994994249479725,1.0,0.48046875,0.81640625,1.0,0.62890625,0.65234375,0.90234375,1.0,0.78515625,0.8984375,0.98046875,1.0,0.953125,0.98828125,1.0,1.0,0.99609375
a5_vgg16_bn_so_s2,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.8323794765076231,3.778708279244604,1.0,0.34765625,0.7421875,1.0,0.580078125,0.509765625,0.849609375,1.0,0.75390625,0.818359375,0.962890625,1.0,0.94140625,0.974609375,0.99609375,1.0,0.994140625
a5_vgg16_bn_so_s2,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.8442750282193787,4.3144713097960645,1.0,0.310546875,0.76171875,1.0,0.52734375,0.47265625,0.865234375,1.0,0.712890625,0.802734375,0.96875,1.0,0.9296875,0.97265625,0.99609375,1.0,0.994140625
a5_vgg16_bn_so_s2,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.7898962893511562,5.354075566523287,1.0,0.251953125,0.73828125,1.0,0.439453125,0.380859375,0.849609375,1.0,0.625,0.71484375,0.962890625,1.0,0.896484375,0.953125,0.99609375,1.0,0.98828125
a5_vgg16_bn_so_s2,features.34,10,512,512,9,4608,512,40000,8.680555555555555,0.36250178567321667,10.246225800850134,0.25038571954209865,0.064453125,0.521484375,0.541015625,0.083984375,0.072265625,0.712890625,1.0,0.166015625,0.099609375,0.9296875,1.0,0.5625,0.404296875,0.9921875,1.0,0.927734375
a5_vgg16_bn_so_s2,features.37,11,512,512,9,4608,512,40000,8.680555555555555,0.30904849116166005,11.135700828910824,0.10284170495732031,0.0625,0.509765625,0.076171875,0.0703125,0.068359375,0.7265625,0.154296875,0.078125,0.078125,0.939453125,1.0,0.22265625,0.17578125,0.994140625,1.0,0.650390625
a5_vgg16_bn_so_s2,features.40,12,512,512,9,4608,512,40000,8.680555555555555,0.33339604904665715,9.465292804267731,0.0969588767006902,0.06640625,0.46875,0.07421875,0.0703125,0.072265625,0.708984375,0.107421875,0.076171875,0.078125,0.935546875,0.47265625,0.181640625,0.181640625,0.994140625,1.0,0.462890625
