model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
a5_vgg16_bn_srip_s0,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.9987001503335391,1.0632002275939973,0.10174359988317173,27,0,1.0632002275939973,True,0.14814814814814814,True,0.14814814814814814,True,0.14814814814814814,0.9259259259259259,0.14814814814814814,0.14814814814814814,0.2222222222222222,True,0.18518518518518517,True,0.2222222222222222,0.9629629629629629,0.18518518518518517,0.18518518518518517,0.4074074074074074,True,0.37037037037037035,True,0.37037037037037035,1.0,0.37037037037037035,0.37037037037037035,0.6666666666666666,True,0.6296296296296297,True,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.04151404151404151,0.6568986568986569
a5_vgg16_bn_srip_s0,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.7645821312801925,2.6743834214904525,0.7757356409122351,64,0,2.6743834214904525,True,0.765625,True,0.15625,True,0.296875,0.75,0.703125,0.453125,0.859375,True,0.25,True,0.390625,0.875,1.0,0.578125,0.96875,True,0.515625,True,0.640625,0.984375,1.0,0.8125,1.0,True,0.859375,True,0.921875,1.0,1.0,0.984375,0.9369963369963369,0.9872772638423011
a5_vgg16_bn_srip_s0,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.6668610242976223,4.146541298920145,0.9965324647069163,128,0,4.146541298920145,True,0.9375,True,0.0546875,True,0.2734375,0.625,1.0,0.4921875,0.96875,True,0.109375,True,0.375,0.7890625,1.0,0.6640625,1.0,True,0.390625,True,0.65625,0.953125,1.0,0.90625,1.0,True,0.8515625,True,0.9375,1.0,1.0,0.9921875,0.9500434902032594,0.9897112124180545
a5_vgg16_bn_srip_s0,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.8772031978145253,2.09032407694935,1.0,128,0,2.09032407694935,True,0.8203125,True,0.2265625,True,0.3671875,0.8046875,1.0,0.53125,0.90625,True,0.3671875,True,0.515625,0.90625,1.0,0.6953125,0.984375,True,0.734375,True,0.8203125,0.984375,1.0,0.921875,1.0,True,0.96875,True,0.984375,1.0,1.0,0.9921875,0.9785867972898735,0.9768693302253103
a5_vgg16_bn_srip_s0,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.7413287848974585,3.846439930903456,1.0,256,0,3.846439930903456,True,0.953125,True,0.06640625,True,0.3125,0.66796875,1.0,0.578125,0.9765625,True,0.14453125,True,0.4453125,0.8125,1.0,0.74609375,0.99609375,True,0.5,True,0.7578125,0.95703125,1.0,0.9375,1.0,True,0.9140625,True,0.96484375,0.99609375,1.0,0.99609375,0.9816920347905697,0.9926204704281935
a5_vgg16_bn_srip_s0,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.8302570359589618,2.716975420447492,1.0,256,0,2.716975420447492,True,0.921875,True,0.15234375,True,0.37890625,0.76171875,1.0,0.60546875,0.9609375,True,0.2890625,True,0.54296875,0.875,1.0,0.76953125,0.9921875,True,0.69921875,True,0.84765625,0.9765625,1.0,0.9453125,1.0,True,0.9609375,True,0.984375,1.0,1.0,0.99609375,0.981408073929961,0.9872425647925668
a5_vgg16_bn_srip_s0,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.8706173576213623,2.352150292631115,1.0,256,0,2.352150292631115,True,0.90625,True,0.21484375,True,0.421875,0.80078125,1.0,0.62890625,0.953125,True,0.37890625,True,0.59375,0.8984375,1.0,0.78515625,0.9921875,True,0.7734375,True,0.8828125,0.98046875,1.0,0.953125,1.0,True,0.97265625,True,0.98828125,1.0,1.0,0.99609375,0.9811827649347674,0.9863048339287716
a5_vgg16_bn_srip_s0,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.5985380684438013,8.069026782948654,1.0,512,0,8.069026782948654,True,0.990234375,True,0.0078125,True,0.220703125,0.59765625,1.0,0.564453125,0.99609375,True,0.021484375,True,0.33984375,0.748046875,1.0,0.7421875,1.0,True,0.1484375,True,0.671875,0.9296875,1.0,0.939453125,1.0,True,0.6953125,True,0.939453125,0.9921875,1.0,0.994140625,0.974847846642863,0.9874639556173233
a5_vgg16_bn_srip_s0,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.4888703186689993,12.68021690008315,1.0,512,0,12.68021690008315,True,0.994140625,True,0.00390625,True,0.1484375,0.552734375,1.0,0.474609375,0.998046875,True,0.005859375,True,0.234375,0.71484375,1.0,0.66796875,1.0,True,0.044921875,True,0.5390625,0.9140625,1.0,0.9140625,1.0,True,0.37890625,True,0.890625,0.98828125,1.0,0.9921875,0.9675058078987422,0.9813513349651447
a5_vgg16_bn_srip_s0,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.3389805832567382,22.8849949400096,0.944549222465948,512,0,22.8849949400096,True,0.99609375,True,0.001953125,True,0.107421875,0.462890625,1.0,0.333984375,0.998046875,True,0.001953125,True,0.1640625,0.63671875,1.0,0.505859375,1.0,True,0.009765625,True,0.365234375,0.880859375,1.0,0.8359375,1.0,True,0.10546875,True,0.75390625,0.982421875,1.0,0.98046875,0.9650620379430311,0.9867395979273962
