model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
trajectory,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.38389845587270793,542.1343568902834,0.10174359988317173,27,0,542.1343568902834,True,1.0,True,0.037037037037037035,True,0.2222222222222222,0.37037037037037035,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.4074074074074074,0.5185185185185185,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.6782661782661782,0.6855921855921856
trajectory,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.49164238981423997,12.354047288131914,0.7416683821481784,64,0,12.354047288131914,True,0.984375,True,0.015625,True,0.234375,0.4375,0.671875,0.4375,1.0,True,0.03125,True,0.296875,0.578125,1.0,0.5625,1.0,True,0.09375,True,0.46875,0.84375,1.0,0.8125,1.0,True,0.375,True,0.734375,0.984375,1.0,0.96875,0.9640109890109889,0.9919990513927389
trajectory,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.46178980800405667,13.242174017857293,0.9469821083737214,128,0,13.242174017857293,True,0.9921875,True,0.0078125,True,0.21875,0.4453125,1.0,0.484375,1.0,True,0.0078125,True,0.296875,0.6015625,1.0,0.6484375,1.0,True,0.0625,True,0.5234375,0.859375,1.0,0.890625,1.0,True,0.3828125,True,0.828125,0.984375,1.0,0.9921875,0.9593023255813954,0.987565493682968
trajectory,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.6847521882074918,6.055764430028511,1.0,128,0,6.055764430028511,True,0.9765625,True,0.0390625,True,0.2734375,0.65625,1.0,0.53125,0.9921875,True,0.0703125,True,0.390625,0.7890625,1.0,0.703125,1.0,True,0.265625,True,0.6875,0.953125,1.0,0.921875,1.0,True,0.765625,True,0.9375,1.0,1.0,0.9921875,0.9737914301409999,0.9799075348082754
trajectory,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.6312194818072512,7.801595867930396,1.0,256,0,7.801595867930396,True,0.98828125,True,0.015625,True,0.26171875,0.58984375,1.0,0.578125,0.99609375,True,0.03515625,True,0.3828125,0.73046875,1.0,0.74609375,1.0,True,0.1796875,True,0.67578125,0.921875,1.0,0.9375,1.0,True,0.71484375,True,0.93359375,0.9921875,1.0,0.99609375,0.9834179732204165,0.9904233915277614
trajectory,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.6914172186074968,7.586736625446528,1.0,256,0,7.586736625446528,True,0.9921875,True,0.01953125,True,0.30859375,0.6640625,1.0,0.609375,0.99609375,True,0.0390625,True,0.453125,0.80078125,1.0,0.7734375,1.0,True,0.20703125,True,0.76953125,0.94921875,1.0,0.94921875,1.0,True,0.7578125,True,0.96484375,0.99609375,1.0,0.99609375,0.9827670805676354,0.9877322050225914
trajectory,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.7459347135763665,5.644785663668489,1.0,256,0,5.644785663668489,True,0.984375,True,0.04296875,True,0.359375,0.703125,1.0,0.64453125,0.9921875,True,0.0859375,True,0.51953125,0.828125,1.0,0.796875,1.0,True,0.36328125,True,0.82421875,0.9609375,1.0,0.953125,1.0,True,0.8671875,True,0.9765625,0.99609375,1.0,0.99609375,0.9843528267338063,0.9890026220946678
trajectory,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.473148685025436,13.910280771981547,1.0,512,0,13.910280771981547,True,0.99609375,True,0.001953125,True,0.177734375,0.5,1.0,0.541015625,0.998046875,True,0.00390625,True,0.271484375,0.66015625,1.0,0.72265625,1.0,True,0.0390625,True,0.564453125,0.88671875,1.0,0.931640625,1.0,True,0.390625,True,0.890625,0.984375,1.0,0.994140625,0.9716203322232522,0.9839820056536023
trajectory,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.30310242642134955,28.4268866151461,1.0,512,0,28.4268866151461,True,0.998046875,True,0.001953125,True,0.08984375,0.3828125,1.0,0.38671875,1.0,True,0.001953125,True,0.140625,0.552734375,1.0,0.58203125,1.0,True,0.005859375,True,0.33203125,0.828125,1.0,0.8828125,1.0,True,0.072265625,True,0.72265625,0.96875,1.0,0.986328125,0.9636287493848776,0.9790803818259792
trajectory,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.21622056777177112,65.40669136146042,0.5027504138744374,512,0,65.40669136146042,True,1.0,True,0.001953125,True,0.07421875,0.30859375,0.8671875,0.236328125,1.0,True,0.001953125,True,0.10546875,0.482421875,1.0,0.37109375,1.0,True,0.001953125,True,0.21875,0.791015625,1.0,0.732421875,1.0,True,0.009765625,True,0.515625,0.9609375,1.0,0.9609375,0.9627290436422107,0.9894841680018892
trajectory,features.34,10,512,512,9,4608,512,40000,8.680555555555555,0.06961616574235807,186.55471731578584,0.12590177504322367,512,0,186.55471731578584,True,1.0,True,0.001953125,True,0.041015625,0.052734375,0.107421875,0.0703125,1.0,True,0.001953125,True,0.05078125,0.08203125,0.3828125,0.087890625,1.0,True,0.001953125,True,0.068359375,0.396484375,1.0,0.369140625,1.0,True,0.001953125,True,0.078125,0.837890625,1.0,0.83984375,0.9589901194195534,0.9630773706227308
trajectory,features.37,11,512,512,9,4608,512,40000,8.680555555555555,0.07758692808790846,180.7684258159973,0.09113402450808597,512,0,180.7684258159973,True,0.99609375,True,0.001953125,True,0.046875,0.05859375,0.0703125,0.06640625,0.998046875,True,0.001953125,True,0.056640625,0.0703125,0.0859375,0.076171875,1.0,True,0.001953125,True,0.072265625,0.216796875,0.494140625,0.19921875,1.0,True,0.001953125,True,0.078125,0.685546875,1.0,0.572265625,0.9723336237282703,0.9629679355189328
trajectory,features.40,12,512,512,9,4608,512,40000,8.680555555555555,0.09046695854695352,334.00533738378545,0.07200338027568029,512,0,334.00533738378545,True,0.998046875,True,0.001953125,True,0.0625,0.068359375,0.06640625,0.064453125,1.0,True,0.001953125,True,0.068359375,0.078125,0.07421875,0.072265625,1.0,True,0.001953125,True,0.07421875,0.22265625,0.22265625,0.13671875,1.0,True,0.001953125,True,0.078125,0.595703125,1.0,0.435546875,0.9512054250924115,0.9424535960209112
