model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
trajectory_resnet50,conv1,0,3,64,9,27,27,160000,5925.925925925926,0.2935363394625512,285.17916875263097,0.10118730809533182,27,0,285.17916875263097,True,1.0,True,0.037037037037037035,True,0.18518518518518517,0.25925925925925924,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2222222222222222,0.25925925925925924,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.2962962962962963,0.37037037037037035,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.37037037037037035,0.5925925925925926,0.6666666666666666,0.6666666666666666,0.7503052503052503,0.6959706959706959
trajectory_resnet50,layer1.0.conv1,1,64,64,1,64,64,160000,2500.0,0.1561276334999913,6508.457820022051,0.16533258742500054,64,0,6508.457820022051,True,1.0,True,0.015625,True,0.09375,0.140625,0.140625,0.140625,1.0,True,0.015625,True,0.125,0.1875,0.171875,0.171875,1.0,True,0.015625,True,0.15625,0.34375,0.34375,0.34375,1.0,True,0.015625,True,0.21875,0.59375,0.671875,0.671875,0.9572344322344322,0.9814560439560439
trajectory_resnet50,layer1.0.conv2,2,64,64,9,576,64,160000,277.77777777777777,0.2873231492484025,44.19173393823233,0.6352205566236108,64,0,44.19173393823233,True,1.0,True,0.015625,True,0.1875,0.265625,0.59375,0.375,1.0,True,0.015625,True,0.234375,0.390625,1.0,0.484375,1.0,True,0.015625,True,0.375,0.671875,1.0,0.75,1.0,True,0.0625,True,0.578125,0.921875,1.0,0.96875,0.8999999999999999,0.9604895188573543
trajectory_resnet50,layer1.0.conv3,3,64,256,1,64,64,160000,2500.0,0.3207764002841185,43.04981596427319,0.3032287785651654,64,0,43.04981596427319,True,1.0,True,0.015625,True,0.125,0.265625,0.296875,0.296875,1.0,True,0.015625,True,0.15625,0.390625,0.4375,0.4375,1.0,True,0.015625,True,0.25,0.671875,0.734375,0.734375,1.0,True,0.046875,True,0.453125,0.921875,0.9375,0.9375,0.9761904761904759,0.9598443223443223
trajectory_resnet50,layer1.0.downsample.0,4,64,256,1,64,64,160000,2500.0,0.21229688306360447,271.12149527985963,0.1653582304734189,64,0,271.12149527985963,True,0.96875,True,0.015625,True,0.109375,0.15625,0.140625,0.140625,0.984375,True,0.015625,True,0.125,0.203125,0.171875,0.171875,1.0,True,0.015625,True,0.15625,0.4375,0.34375,0.34375,1.0,True,0.015625,True,0.21875,0.734375,0.671875,0.671875,0.9606684981684981,0.9622710622710621
trajectory_resnet50,layer1.1.conv1,5,256,64,1,256,64,160000,625.0,0.2698401869183996,54.43036523335578,0.43710888924557617,64,0,54.43036523335578,True,1.0,True,0.015625,True,0.109375,0.25,0.4375,0.3125,1.0,True,0.015625,True,0.140625,0.359375,0.703125,0.4375,1.0,True,0.015625,True,0.265625,0.625,1.0,0.71875,1.0,True,0.03125,True,0.46875,0.90625,1.0,0.953125,0.945558608058608,0.959238194367
trajectory_resnet50,layer1.1.conv2,6,64,64,9,576,64,160000,277.77777777777777,0.37548015161587023,18.301533507663763,1.0,64,0,18.301533507663763,True,1.0,True,0.015625,True,0.1875,0.375,1.0,0.4375,1.0,True,0.015625,True,0.25,0.515625,1.0,0.59375,1.0,True,0.046875,True,0.4375,0.796875,1.0,0.859375,1.0,True,0.25,True,0.75,0.96875,1.0,0.984375,0.9199175824175821,0.9702030115791326
trajectory_resnet50,layer1.1.conv3,7,64,256,1,64,64,160000,2500.0,0.3569671439902432,23.336324340166243,0.38344576720821755,64,0,23.336324340166243,True,1.0,True,0.015625,True,0.125,0.3125,0.40625,0.40625,1.0,True,0.015625,True,0.171875,0.453125,0.578125,0.578125,1.0,True,0.03125,True,0.3125,0.734375,0.859375,0.859375,1.0,True,0.125,True,0.609375,0.953125,0.984375,0.984375,0.9836538461538461,0.9612637362637362
trajectory_resnet50,layer1.2.conv1,8,256,64,1,256,64,160000,625.0,0.21288891861230394,96.39949243439231,0.5412401326492643,64,0,96.39949243439231,True,1.0,True,0.015625,True,0.09375,0.1875,0.5625,0.359375,1.0,True,0.015625,True,0.125,0.3125,0.90625,0.5,1.0,True,0.015625,True,0.234375,0.609375,1.0,0.796875,1.0,True,0.015625,True,0.46875,0.890625,1.0,0.96875,0.9084706959706959,0.9312308454868651
trajectory_resnet50,layer1.2.conv2,9,64,64,9,576,64,160000,277.77777777777777,0.3373688179549355,32.018588347558946,0.784633580397808,64,0,32.018588347558946,True,1.0,True,0.015625,True,0.125,0.296875,0.984375,0.359375,1.0,True,0.015625,True,0.15625,0.421875,1.0,0.515625,1.0,True,0.015625,True,0.28125,0.71875,1.0,0.828125,1.0,True,0.09375,True,0.546875,0.921875,1.0,0.984375,0.9386446886446885,0.9601309873659359
