model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
trajectory_seed1,features.0,0,3,64,9,27,27,160000,5925.925925925926,0.41057255822167765,526.3228925275527,0.10174359988317173,27,0,526.3228925275527,True,1.0,True,0.037037037037037035,True,0.25925925925925924,0.37037037037037035,0.14814814814814814,0.14814814814814814,1.0,True,0.037037037037037035,True,0.2962962962962963,0.4444444444444444,0.18518518518518517,0.18518518518518517,1.0,True,0.037037037037037035,True,0.4074074074074074,0.5185185185185185,0.37037037037037035,0.37037037037037035,1.0,True,0.037037037037037035,True,0.5185185185185185,0.6296296296296297,0.6666666666666666,0.6666666666666666,0.5781440781440782,0.691086691086691
trajectory_seed1,features.3,1,64,64,9,576,64,160000,277.77777777777777,0.48271196790093285,12.909520878693701,0.7663764898030054,64,0,12.909520878693701,True,0.984375,True,0.015625,True,0.234375,0.4375,0.703125,0.4375,1.0,True,0.03125,True,0.296875,0.578125,1.0,0.5625,1.0,True,0.09375,True,0.46875,0.84375,1.0,0.8125,1.0,True,0.375,True,0.734375,0.984375,1.0,0.96875,0.9627289377289376,0.9784730441494631
trajectory_seed1,features.7,2,64,128,9,576,128,160000,277.77777777777777,0.4618476748498199,13.106678316126269,0.9585603265405307,128,0,13.106678316126269,True,0.9921875,True,0.0078125,True,0.21875,0.4453125,1.0,0.4921875,1.0,True,0.0078125,True,0.296875,0.6015625,1.0,0.65625,1.0,True,0.0625,True,0.5234375,0.8515625,1.0,0.8984375,1.0,True,0.390625,True,0.828125,0.984375,1.0,0.9921875,0.9518345998901301,0.9880768844347325
trajectory_seed1,features.10,3,128,128,9,1152,128,160000,138.88888888888889,0.6854786942272104,6.20007962284338,1.0,128,0,6.20007962284338,True,0.9765625,True,0.03125,True,0.2734375,0.65625,1.0,0.53125,0.9921875,True,0.0703125,True,0.390625,0.7890625,1.0,0.6953125,1.0,True,0.2578125,True,0.6875,0.9453125,1.0,0.921875,1.0,True,0.7578125,True,0.9375,1.0,1.0,0.9921875,0.9782777879509247,0.9835813265184892
trajectory_seed1,features.14,4,128,256,9,1152,256,160000,138.88888888888889,0.6307498386273197,7.777565871014604,1.0,256,0,7.777565871014604,True,0.98828125,True,0.015625,True,0.26171875,0.58984375,1.0,0.57421875,0.99609375,True,0.03515625,True,0.37890625,0.73046875,1.0,0.7421875,1.0,True,0.1796875,True,0.671875,0.921875,1.0,0.9375,1.0,True,0.71484375,True,0.93359375,0.9921875,1.0,0.99609375,0.982383697642481,0.9909887834629263
trajectory_seed1,features.17,5,256,256,9,2304,256,160000,69.44444444444444,0.6946766844384089,7.189506294630976,1.0,256,0,7.189506294630976,True,0.98828125,True,0.01953125,True,0.3125,0.66796875,1.0,0.61328125,0.99609375,True,0.046875,True,0.45703125,0.80078125,1.0,0.77734375,1.0,True,0.2265625,True,0.7734375,0.953125,1.0,0.94921875,1.0,True,0.78125,True,0.96875,0.99609375,1.0,0.99609375,0.980957455939574,0.9890459720949347
trajectory_seed1,features.20,6,256,256,9,2304,256,160000,69.44444444444444,0.7447888365796994,5.651155484651085,1.0,256,0,5.651155484651085,True,0.984375,True,0.0390625,True,0.36328125,0.703125,1.0,0.65234375,0.9921875,True,0.0859375,True,0.5234375,0.828125,1.0,0.80078125,1.0,True,0.37109375,True,0.828125,0.95703125,1.0,0.95703125,1.0,True,0.87109375,True,0.9765625,0.99609375,1.0,0.99609375,0.9833450160219728,0.9890182105518627
trajectory_seed1,features.24,7,256,512,9,2304,512,160000,69.44444444444444,0.46399671899918193,16.1471337367153,1.0,512,0,16.1471337367153,True,0.998046875,True,0.001953125,True,0.171875,0.498046875,1.0,0.537109375,1.0,True,0.00390625,True,0.265625,0.65625,1.0,0.71875,1.0,True,0.025390625,True,0.556640625,0.88671875,1.0,0.931640625,1.0,True,0.3125,True,0.884765625,0.984375,1.0,0.994140625,0.9757732122829906,0.9866886977249014
trajectory_seed1,features.27,8,512,512,9,4608,512,160000,34.72222222222222,0.29982506023197436,27.630479622304403,1.0,512,0,27.630479622304403,True,0.998046875,True,0.001953125,True,0.087890625,0.380859375,1.0,0.37890625,1.0,True,0.001953125,True,0.13671875,0.556640625,1.0,0.572265625,1.0,True,0.005859375,True,0.322265625,0.8359375,1.0,0.876953125,1.0,True,0.07421875,True,0.716796875,0.97265625,1.0,0.986328125,0.9619803468431353,0.9791594135414442
trajectory_seed1,features.30,9,512,512,9,4608,512,160000,34.72222222222222,0.2127345701649645,57.95606046239729,0.49564107198382523,512,0,57.95606046239729,True,1.0,True,0.001953125,True,0.07421875,0.30078125,0.841796875,0.228515625,1.0,True,0.001953125,True,0.10546875,0.4765625,1.0,0.361328125,1.0,True,0.001953125,True,0.2109375,0.791015625,1.0,0.72265625,1.0,True,0.01171875,True,0.5,0.9609375,1.0,0.958984375,0.961947623768325,0.987974720160938
trajectory_seed1,features.34,10,512,512,9,4608,512,40000,8.680555555555555,0.06973638041141657,189.70920916709574,0.122000015125633,512,0,189.70920916709574,True,1.0,True,0.001953125,True,0.0390625,0.0546875,0.099609375,0.0703125,1.0,True,0.001953125,True,0.048828125,0.083984375,0.353515625,0.0859375,1.0,True,0.001953125,True,0.06640625,0.39453125,1.0,0.357421875,1.0,True,0.001953125,True,0.078125,0.8359375,1.0,0.830078125,0.9493495081882789,0.9580222290690635
