layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,1024,5.15730814660985,5.545603379076717,0.05776670186538247,8.889061554905116,0.09259439119692829,2.9551269998380754,0.03078257291497995,11.806588075406113,10,96,0.9193607592298355,70,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,1,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,1024,5.15730814660985,5.545603379076717,0.05776670186538247,8.889061554905116,0.09259439119692829,2.9551269998380754,0.03078257291497995,11.806588075406113,10,96,0.9193607592298355,70,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,2,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,1024,5.15730814660985,5.545603379076717,0.05776670186538247,8.889061554905116,0.09259439119692829,2.9551269998380754,0.03078257291497995,11.806588075406113,10,96,0.9193607592298355,70,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,5,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,1024,5.15730814660985,5.545603379076717,0.05776670186538247,8.889061554905116,0.09259439119692829,2.9551269998380754,0.03078257291497995,11.806588075406113,10,96,0.9193607592298355,70,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,10,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,3072,5.615013618116226,5.825057303489652,0.060677680244683875,9.092237752920285,0.09471080992625297,3.085007811804893,0.0321354980396343,12.195841830826872,10,96,0.9163450685616087,72,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,25,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,5120,5.7766625741552495,5.7201838293714875,0.05958524822261966,8.906519317244515,0.0927762428879637,3.085727481387182,0.032142994597783144,12.424150301488682,10,96,0.9119557983737883,72,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,50,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,10240,5.840700364806937,5.952029709277789,0.06200030947164364,9.090709685081181,0.09469489255292897,3.1728624808250965,0.03305065084192809,12.641977015770985,10,96,0.9035825573913663,71,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,100,timm:convnext_tiny.fb_in22k_ft_in1k
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,24576,5.754827329614855,6.09537275812639,0.06349346623048323,9.280569520309788,0.09667259916989362,3.174737441849095,0.033070181685928075,12.837310622723765,10,96,0.9033225118827,72,9,13,20,27,0.09375,0.13541666666666666,0.20833333333333334,0.28125,250,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,1024,3.126894269615442,12.46724046306583,0.12986708815693573,20.882006077203297,0.21752089663753435,5.455806242439081,0.05683131502540709,5.12465954428481,10,96,0.5770010592087154,96,22,32,51,70,0.22916666666666666,0.3333333333333333,0.53125,0.7291666666666666,1,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,1024,3.126894269615442,12.46724046306583,0.12986708815693573,20.882006077203297,0.21752089663753435,5.455806242439081,0.05683131502540709,5.12465954428481,10,96,0.5770010592087154,96,22,32,51,70,0.22916666666666666,0.3333333333333333,0.53125,0.7291666666666666,2,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,1024,3.126894269615442,12.46724046306583,0.12986708815693573,20.882006077203297,0.21752089663753435,5.455806242439081,0.05683131502540709,5.12465954428481,10,96,0.5770010592087154,96,22,32,51,70,0.22916666666666666,0.3333333333333333,0.53125,0.7291666666666666,5,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,1024,3.126894269615442,12.46724046306583,0.12986708815693573,20.882006077203297,0.21752089663753435,5.455806242439081,0.05683131502540709,5.12465954428481,10,96,0.5770010592087154,96,22,32,51,70,0.22916666666666666,0.3333333333333333,0.53125,0.7291666666666666,10,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,3072,3.419713163631331,12.892515224081013,0.13429703358417722,21.346219504583228,0.22235645317274197,5.936599116631861,0.061839574131581886,5.089175883462909,10,96,0.5678017700437774,96,23,33,53,71,0.23958333333333334,0.34375,0.5520833333333334,0.7395833333333334,25,timm:convnext_tiny.fb_in22k_ft_in1k
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,5120,3.56031121988171,12.97249826826705,0.13513019029444842,21.500430728853505,0.223962820092224,5.899333054326929,0.06145138598257218,5.070014282182287,10,96,0.5646748163079247,96,23,33,53,71,0.23958333333333334,0.34375,0.5520833333333334,0.7395833333333334,50,timm:convnext_tiny.fb_in22k_ft_in1k
