layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
stem.0,conv,0,96,1,False,48.0,0,56.0,56.0,800000,5.682923728672851,5.976606847879679,0.062256321332079985,9.164126444121067,0.09545965045959444,3.110978275438413,0.03240602370248347,13.877426808740257,10,96,0.8851616721522029,72,9,13,20,26,0.09375,0.13541666666666666,0.20833333333333334,0.2708333333333333,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,0.1875,0.2708333333333333,0.4166666666666667,0.5416666666666666,0.5,50000.0,1.2006834191442808,2.746872727739371,0.02861325758061845,2.887116292109863,0.030074128042811076,2.294283466945071,0.023898786114011156,11.409490133260393,10.0,96.0,0.9383698341024103,63.0,3.0,3.0,3.0,4.0,0.03125,0.03125,0.03125,0.041666666666666664,520.8333333333334,True
stages.0.blocks.0.conv_dw,conv,1,96,96,True,96.0,0,56.0,56.0,800000,3.614726098091502,13.950984415413624,0.14532275432722525,22.27944485853373,0.23207755060972635,7.145386491202918,0.07443110928336373,5.062591881419179,10,96,0.5643057503471578,96,23,33,53,71,0.23958333333333334,0.34375,0.5520833333333334,0.7395833333333334,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,0.23958333333333334,0.34375,0.5520833333333334,0.7395833333333334,1.0,50000.0,0.5191745735101357,2.6641021729102103,0.027751064301148026,3.0927376141330845,0.0322160168138863,1.9544278360236242,0.020358623291912754,8.012607424921235,10.0,96.0,0.7310011009340113,90.0,3.0,3.0,4.0,9.0,0.03125,0.03125,0.041666666666666664,0.09375,520.8333333333334,True
stages.0.blocks.0.mlp.fc1,linear,2,56,1,False,,0,56.0,384.0,800000,150.49419202899483,2.409666939974088,0.04302976678525157,6.8496999136950665,0.12231606988741191,1.5654750144702507,0.027954910972683048,0.6250314912835848,10,56,0.9792314732844473,56,24,39,52,56,0.42857142857142855,0.6964285714285714,0.9285714285714286,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.3808238418717635,2.095294347664039,0.037415970494000694,4.109091200443319,0.07337662857934499,1.4763590363612142,0.02636355422073597,1.5286210320755833,10.0,56.0,0.992647240261122,56.0,5.0,11.0,36.0,54.0,0.08928571428571429,0.19642857142857142,0.6428571428571429,0.9642857142857143,892.8571428571429,True
stages.0.blocks.0.mlp.fc2,linear,3,56,1,False,,0,56.0,96.0,800000,21.081115111776803,3.6908754402462045,0.06590849000439651,12.439666174120125,0.2221368959664308,1.9505000299260116,0.03483035767725021,0.4204148052350128,10,56,0.9771515885004574,56,37,46,54,56,0.6607142857142857,0.8214285714285714,0.9642857142857143,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.03934518416217551,2.2658039478150562,0.04046078478241172,4.909029837727279,0.08766124710227284,1.5404099609352482,0.027507320730986575,0.6403446174822565,10.0,56.0,0.8738124539853871,56.0,8.0,23.0,49.0,56.0,0.14285714285714285,0.4107142857142857,0.875,1.0,892.8571428571429,True
stages.0.blocks.0,block,4,96,1,False,,0,56.0,56.0,800000,11.815119722623226,14.33877226342085,0.14936221107730052,22.32209039075655,0.23252177490371406,6.924495958058451,0.07213016622977553,3.590792545731662,10,96,0.8631469727783523,96,22,30,49,76,0.22916666666666666,0.3125,0.5104166666666666,0.7916666666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,,,,,,50000.0,1.6313106642919144,4.175995099976575,0.04349994895808932,5.7451925823338685,0.0598457560659778,2.4777610040198237,0.02581001045853983,4.029347140780793,10.0,96.0,0.9448769843281181,96.0,5.0,6.0,13.0,33.0,0.052083333333333336,0.0625,0.13541666666666666,0.34375,520.8333333333334,True
stages.0.blocks.1.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,800000,1.338534561095078,29.20802177546896,0.3042502268278017,45.375671804920415,0.472663247967921,12.353541462906538,0.1286827235719431,2.0682126005476515,10,96,0.594862045943297,96,46,59,81,92,0.4791666666666667,0.6145833333333334,0.84375,0.9583333333333334,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,0.4791666666666667,0.6145833333333334,0.84375,0.9583333333333334,1.0,50000.0,0.010564902172609017,3.418232004607954,0.03560658338133286,5.904957607944748,0.061509975082757795,2.1046028222815023,0.021922946065432315,3.5129914747123054,10.0,96.0,0.8512717213932407,96.0,6.0,10.0,24.0,55.0,0.0625,0.10416666666666667,0.25,0.5729166666666666,520.8333333333334,True
stages.0.blocks.1.mlp.fc1,linear,6,56,1,False,,0,56.0,384.0,800000,136.37065517373372,15.257372586024594,0.2724530818932963,36.70024223059419,0.6553614684034678,4.2856334725610585,0.07652916915287604,0.14833474770377764,10,56,0.9729182881710647,56,48,52,56,56,0.8571428571428571,0.9285714285714286,1.0,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.19124452020480048,2.9252772029595686,0.052237092909992296,6.582890321283414,0.11755161288006097,1.7797007634020512,0.03178037077503663,2.110745912654936,10.0,56.0,0.9596943964641678,56.0,12.0,20.0,38.0,54.0,0.21428571428571427,0.35714285714285715,0.6785714285714286,0.9642857142857143,892.8571428571429,True
stages.0.blocks.1.mlp.fc2,linear,7,56,1,False,,0,56.0,96.0,800000,87.05118641593604,4.276221542176412,0.07636109896743593,14.481009126209011,0.25858944868230377,2.1061583844295337,0.03760997115052739,0.7137239887840725,10,56,0.9967811808886571,56,36,45,54,56,0.6428571428571429,0.8035714285714286,0.9642857142857143,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.11037872713840276,2.8868346984701527,0.05155061961553844,7.153531151792521,0.12774162771058073,1.748265443988384,0.03121902578550686,1.2337409447056695,10.0,56.0,0.9969909002162622,56.0,15.0,27.0,49.0,56.0,0.26785714285714285,0.48214285714285715,0.875,1.0,892.8571428571429,True
stages.0.blocks.1,block,8,96,1,False,,0,56.0,56.0,800000,232.21423530242924,23.39996071011024,0.243749590730315,34.36978390436179,0.358018582337102,8.790786692134908,0.09157069470973862,3.1372565471750735,10,96,0.9107269301457749,96,31,39,59,84,0.3229166666666667,0.40625,0.6145833333333334,0.875,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,,,,,,50000.0,20.725511806802963,6.180091988173208,0.06437595821013758,11.027614135476508,0.1148709805778803,3.0285583601173247,0.0315474829178888,4.223089619242241,10.0,96.0,0.9618485118773266,96.0,12.0,18.0,30.0,54.0,0.125,0.1875,0.3125,0.5625,520.8333333333334,True
stages.0.blocks.2.conv_dw,conv,9,96,96,True,96.0,0,56.0,56.0,800000,87.58766625449759,25.528311011305693,0.26591990636776763,41.73134222416828,0.4347014815017529,9.965748621977369,0.10380988147893093,2.0028172044882284,10,96,0.7863624435705368,96,45,57,79,91,0.46875,0.59375,0.8229166666666666,0.9479166666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,0.46875,0.59375,0.8229166666666666,0.9479166666666666,1.0,50000.0,17.411011373881227,9.400078756610254,0.09791748704802349,14.376953429121071,0.1497599315533445,4.330463881119661,0.04510899876166313,5.981206046670691,10.0,96.0,0.9659635510195159,96.0,15.0,19.0,27.0,35.0,0.15625,0.19791666666666666,0.28125,0.3645833333333333,520.8333333333334,True
stages.0.blocks.2.mlp.fc1,linear,10,56,1,False,,0,56.0,384.0,800000,74.39857134429442,2.8231575758131995,0.05041352813952142,8.951578401857207,0.1598496143188787,1.6942573359319284,0.030254595284498722,0.8979862559643123,10,56,0.9891541584692239,56,28,40,53,56,0.5,0.7142857142857143,0.9464285714285714,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.10753724721414139,2.510218160611548,0.044825324296634786,5.463244618635382,0.09755793961848895,1.6268749446280182,0.029051338296928898,1.5862730935842468,10.0,56.0,0.9854631460284192,56.0,8.0,16.0,41.0,55.0,0.14285714285714285,0.2857142857142857,0.7321428571428571,0.9821428571428571,892.8571428571429,True
stages.0.blocks.2.mlp.fc2,linear,11,56,1,False,,0,56.0,96.0,800000,27.548384425056067,1.4074926002545338,0.025133796433116674,2.813025968284268,0.05023260657650479,1.1869703634242568,0.021195899346861728,0.6805452940990999,10,56,0.9974781575097077,56,10,26,49,56,0.17857142857142858,0.4642857142857143,0.875,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],14285.714285714286,True,,,,,,50000.0,0.01197314915383384,3.421386558673328,0.061096188547738,8.420741392757137,0.1503703820135203,1.928821748848551,0.034443245515152696,1.5588935247200428,10.0,56.0,0.9847812735794326,56.0,16.0,26.0,47.0,55.0,0.2857142857142857,0.4642857142857143,0.8392857142857143,0.9821428571428571,892.8571428571429,True
stages.0.blocks.2,block,12,96,1,False,,0,56.0,56.0,800000,392.7267287446077,7.623424713373945,0.07941067409764525,23.003635430896765,0.23962120240517462,2.9872355554625387,0.03111703703606811,1.9641535823485627,10,96,0.7980962650487802,96,39,52,75,90,0.40625,0.5416666666666666,0.78125,0.9375,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],8333.333333333334,True,,,,,,50000.0,40.10159109612549,3.865251072718287,0.04026303200748216,7.683098479083243,0.08003227582378378,2.1489112646843194,0.02238449234046166,2.8986390296714726,10.0,96.0,0.9611706421455055,96.0,9.0,16.0,38.0,72.0,0.09375,0.16666666666666666,0.3958333333333333,0.75,520.8333333333334,True
stages.1.downsample.1,conv,13,192,1,False,192.0,0,28.0,28.0,800000,41.754058016317295,31.392862420535415,0.16350449177362195,55.76918266356022,0.29046449303937616,12.037625838211055,0.06269596790734924,2.6793828011577667,10,192,0.8171629669714822,192,62,81,119,159,0.3229166666666667,0.421875,0.6197916666666666,0.828125,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,0.3229166666666667,0.421875,0.6197916666666666,0.828125,1.0,50000.0,4.283835055341227,9.60322014597691,0.050016771593629744,15.533524261749642,0.08090377219661272,4.362511304351165,0.02272141304349565,4.03484417756428,10.0,192.0,0.9348640225697703,192.0,15.0,21.0,41.0,92.0,0.078125,0.109375,0.21354166666666666,0.4791666666666667,260.4166666666667,True
stages.1.blocks.0.conv_dw,conv,14,192,192,True,192.0,0,28.0,28.0,800000,6.246969131079446,82.5837066962174,0.4301234723761323,122.17554649832398,0.6363309713454374,24.6154650192979,0.1282055469755099,1.0604132847933354,10,192,0.9379038606730123,192,125,151,180,190,0.6510416666666666,0.7864583333333334,0.9375,0.9895833333333334,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,0.6510416666666666,0.7864583333333334,0.9375,0.9895833333333334,1.0,50000.0,0.26792056892774907,4.882634408816163,0.025430387545917515,9.487816780045325,0.0494157123960694,2.5609499952237913,0.013338281225123913,2.7633703912685545,10.0,192.0,0.9710510404390171,192.0,11.0,19.0,49.0,123.0,0.057291666666666664,0.09895833333333333,0.2552083333333333,0.640625,260.4166666666667,True
stages.1.blocks.0.mlp.fc1,linear,15,28,1,False,,0,28.0,768.0,800000,17.751057057914803,17.731797922304725,0.6332784972251687,23.855447757173934,0.8519802770419262,5.7388140170097754,0.20495764346463483,0.24582227747710317,10,28,0.9785463697111751,28,25,26,28,28,0.8928571428571429,0.9285714285714286,1.0,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.04648896367566714,2.3237067982958637,0.08298952851056655,4.1532114312542685,0.14832897968765243,1.5763364784224112,0.056297731372228974,1.9904607674177308,10.0,28.0,0.9927659835249623,28.0,5.0,8.0,19.0,27.0,0.17857142857142858,0.2857142857142857,0.6785714285714286,0.9642857142857143,1785.7142857142858,True
stages.1.blocks.0.mlp.fc2,linear,16,28,1,False,,0,28.0,192.0,800000,24.43173819030137,3.5673481874256443,0.12740529240805873,9.21616190460064,0.3291486394500228,1.926558785954756,0.06880567092695557,0.7501780534663675,10,28,0.9971034748651941,28,19,23,27,28,0.6785714285714286,0.8214285714285714,0.9642857142857143,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.009533982395160326,6.231545105193504,0.22255518232833943,12.185658039761599,0.4352020728486285,2.8139401320082573,0.10049786185743777,1.0935320090968115,10.0,28.0,0.9958584727592188,28.0,17.0,22.0,27.0,28.0,0.6071428571428571,0.7857142857142857,0.9642857142857143,1.0,1785.7142857142858,True
stages.1.blocks.0,block,17,192,1,False,,0,28.0,28.0,800000,227.22785883190525,32.18091118026457,0.16760891239721132,60.76258054709819,0.31647177368280305,9.739451648530064,0.05072631066942742,2.238138360357854,10,192,0.8827443116400457,192,63,85,135,176,0.328125,0.4427083333333333,0.703125,0.9166666666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,,,,,,50000.0,16.386194391920707,10.902816126297338,0.05678550065779864,23.221618076263706,0.12094592748054013,4.0590066702129235,0.02114065974069231,3.4195626166933137,10.0,192.0,0.9428529831445094,192.0,27.0,39.0,71.0,125.0,0.140625,0.203125,0.3697916666666667,0.6510416666666666,260.4166666666667,True
stages.1.blocks.1.conv_dw,conv,18,192,192,True,192.0,0,28.0,28.0,800000,95.6804712980206,43.3242830399941,0.22564730749996928,80.22288229703184,0.41782751196370754,11.794226895642693,0.06142826508147236,1.631006193872403,10,192,0.8372674809060072,192,89,116,162,185,0.4635416666666667,0.6041666666666666,0.84375,0.9635416666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,0.4635416666666667,0.6041666666666666,0.84375,0.9635416666666666,1.0,50000.0,16.823376748987553,16.240621547435424,0.0845865705595595,27.434178818788148,0.1428863480145216,6.4306765830355275,0.03349310720331004,4.809442856829899,10.0,192.0,0.9205951632037583,192.0,28.0,38.0,59.0,81.0,0.14583333333333334,0.19791666666666666,0.3072916666666667,0.421875,260.4166666666667,True
stages.1.blocks.1.mlp.fc1,linear,19,28,1,False,,0,28.0,768.0,800000,30.658309307173916,3.3316095222075996,0.11898605436455713,8.044764048756534,0.28731300174130475,1.8690631072303523,0.06675225382965544,1.4380444435362945,10,28,0.9886396996588082,28,15,20,26,28,0.5357142857142857,0.7142857142857143,0.9285714285714286,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.02365148859887052,4.329290479296496,0.154617517117732,8.619651192454768,0.30784468544481314,2.240077488038842,0.08000276742995864,2.4305628014581027,10.0,28.0,0.993314934449608,28.0,11.0,15.0,24.0,28.0,0.39285714285714285,0.5357142857142857,0.8571428571428571,1.0,1785.7142857142858,True
stages.1.blocks.1.mlp.fc2,linear,20,28,1,False,,0,28.0,192.0,800000,7.229165782954485,5.3138243468418525,0.18977944095863758,12.458090626708312,0.44493180809672545,2.417355650932177,0.0863341303904349,1.0195909903960607,10,28,0.9922275805159156,28,19,23,27,28,0.6785714285714286,0.8214285714285714,0.9642857142857143,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.0038294365018428787,4.173741409097635,0.14906219318205838,8.593601739662098,0.30691434784507493,2.1980231823168475,0.07850082793988741,1.3231871356568963,10.0,28.0,0.9961221928995995,28.0,13.0,19.0,26.0,28.0,0.4642857142857143,0.6785714285714286,0.9285714285714286,1.0,1785.7142857142858,True
stages.1.blocks.1,block,21,192,1,False,,0,28.0,28.0,800000,499.2315609610662,19.172508217642875,0.09985681363355664,52.938796246810774,0.2757228971188061,5.27908729615294,0.027495246334129895,1.837614416968115,10,192,0.8756972358978283,192,72,97,147,182,0.375,0.5052083333333334,0.765625,0.9479166666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,,,,,,50000.0,40.572836735016274,4.681948677145529,0.024385149360132963,14.813736085685102,0.07715487544627657,2.251285280967498,0.011725444171705719,2.6527281201746935,10.0,192.0,0.9349677572943023,192.0,28.0,45.0,91.0,152.0,0.14583333333333334,0.234375,0.4739583333333333,0.7916666666666666,260.4166666666667,True
stages.1.blocks.2.conv_dw,conv,22,192,192,True,192.0,0,28.0,28.0,800000,86.78131746530963,66.9766140535027,0.3488365315286599,111.11959886185741,0.5787479107388407,18.518918323443064,0.09645269960126596,1.2102982336353612,10,192,0.7825519011115194,192,116,140,173,188,0.6041666666666666,0.7291666666666666,0.9010416666666666,0.9791666666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,0.6041666666666666,0.7291666666666666,0.9010416666666666,0.9791666666666666,1.0,50000.0,3.758368787828319,7.596199270186941,0.03956353786555698,12.72191717331486,0.06625998527768157,3.6416261122874336,0.018966802668163717,3.0110728937698297,10.0,192.0,0.9616037972581374,192.0,13.0,18.0,37.0,111.0,0.06770833333333333,0.09375,0.19270833333333334,0.578125,260.4166666666667,True
stages.1.blocks.2.mlp.fc1,linear,23,28,1,False,,0,28.0,768.0,800000,29.286280592208108,6.8055371116525745,0.2430548968447348,14.580566134683705,0.5207345048101323,2.8149511952137423,0.10053397125763365,0.8605248052814479,10,28,0.9947084093352376,28,20,24,28,28,0.7142857142857143,0.8571428571428571,1.0,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.0721823652442144,3.2829745402383916,0.1172490907227997,6.506673425448905,0.2323811937660323,1.9170930233473726,0.06846760797669188,1.7372870141186434,10.0,28.0,0.9684653216240163,28.0,9.0,15.0,24.0,28.0,0.32142857142857145,0.5357142857142857,0.8571428571428571,1.0,1785.7142857142858,True
stages.1.blocks.2.mlp.fc2,linear,24,28,1,False,,0,28.0,192.0,800000,22.154404476429438,2.03541871169731,0.07269352541776107,4.835404388337174,0.17269301386918476,1.4328135992116855,0.051171914257560194,0.7116338504472979,10,28,0.998540493953822,28,15,21,27,28,0.5357142857142857,0.75,0.9642857142857143,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],28571.428571428572,True,,,,,,50000.0,0.002514770012154629,8.658269788250573,0.309223921008949,15.41389992073215,0.550496425740434,3.555882174442371,0.1269957919443704,0.8038371788831493,10.0,28.0,0.9986288197441168,28.0,20.0,24.0,28.0,28.0,0.7142857142857143,0.8571428571428571,1.0,1.0,1785.7142857142858,True
stages.1.blocks.2,block,25,192,1,False,,0,28.0,28.0,800000,2699.2048805231816,3.7425529420193366,0.019492463239684045,15.20827553444781,0.07920976840858235,1.9782534586714238,0.010303403430580333,1.6970217994699306,10,192,0.7443765737721961,192,59,90,137,173,0.3072916666666667,0.46875,0.7135416666666666,0.9010416666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],4166.666666666667,True,,,,,,50000.0,273.6500909825496,1.6213526913121474,0.008444545267250768,3.5269112157282905,0.018369329248584847,1.2781117616172197,0.006656832091756353,2.1898741277838836,10.0,192.0,0.871938785784679,192.0,6.0,23.0,79.0,147.0,0.03125,0.11979166666666667,0.4114583333333333,0.765625,260.4166666666667,True
stages.2.downsample.1,conv,26,384,1,False,384.0,0,14.0,14.0,800000,117.9941184401905,36.762378802155375,0.09573536146394629,75.84230094694477,0.19750599204933536,10.017251601159971,0.026086592711354092,3.214070996904652,10,384,0.8256165918470874,384,90,123,182,245,0.234375,0.3203125,0.4739583333333333,0.6380208333333334,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],2083.3333333333335,True,0.234375,0.3203125,0.4739583333333333,0.6380208333333334,1.0,50000.0,18.46499146865972,14.655657152008303,0.038165773833354955,27.05739492810926,0.07046196595861787,6.334149893825056,0.016495182015169415,4.472764160739306,10.0,384.0,0.8873319577421921,384.0,29.0,46.0,96.0,163.0,0.07552083333333333,0.11979166666666667,0.25,0.4244791666666667,130.20833333333334,True
stages.2.blocks.0.conv_dw,conv,27,384,384,True,384.0,0,14.0,14.0,800000,71.36254486366232,64.01910383201248,0.16671641622919917,128.89029618057037,0.33565181297023533,15.236538951530306,0.039678486852943506,1.7066837519117404,10,384,0.905964304098019,384,143,198,303,367,0.3723958333333333,0.515625,0.7890625,0.9557291666666666,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],2083.3333333333335,True,0.3723958333333333,0.515625,0.7890625,0.9557291666666666,1.0,50000.0,23.656084565490264,29.89013422627877,0.07783889121426764,52.28011349539386,0.13614612889425484,10.196187793028876,0.026552572377679367,4.205656780396681,10.0,384.0,0.9215260736195636,384.0,55.0,73.0,105.0,156.0,0.14322916666666666,0.19010416666666666,0.2734375,0.40625,130.20833333333334,True
stages.2.blocks.0.mlp.fc1,linear,28,14,1,False,,0,14.0,1536.0,800000,19.981089697828608,1.9150832561916789,0.13679166115654848,3.4466502706105193,0.24618930504360853,1.3983878004952397,0.09988484289251712,,10,14,,14,6,8,13,14,0.42857142857142855,0.5714285714285714,0.9285714285714286,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],57142.857142857145,True,,,,,,50000.0,0.0188720609628544,2.6328159981970485,0.18805828558550347,4.1853930368496455,0.2989566454892604,1.7228982320429438,0.12306415943163884,,10.0,14.0,,14.0,4.0,7.0,12.0,14.0,0.2857142857142857,0.5,0.8571428571428571,1.0,3571.4285714285716,True
stages.2.blocks.0.mlp.fc2,linear,29,14,1,False,,0,14.0,384.0,800000,7.642061568124922,2.178080525874192,0.15557718041958515,4.163926089893743,0.29742329213526736,1.494952289371262,0.10678230638366157,,10,14,,14,7,10,13,14,0.5,0.7142857142857143,0.9285714285714286,1.0,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],57142.857142857145,True,,,,,,50000.0,0.0022226473879296263,3.7653814416121896,0.26895581725801354,6.574604120976071,0.46961458006971935,2.076886296234893,0.14834902115963522,,10.0,14.0,,14.0,9.0,11.0,14.0,14.0,0.6428571428571429,0.7857142857142857,1.0,1.0,3571.4285714285716,True
stages.2.blocks.0,block,30,384,1,False,,0,14.0,14.0,800000,134.5884570581923,41.29410802198744,0.1075367396405923,98.15693947267182,0.25561702987674956,9.761031408962051,0.025419352627505342,1.8685862151818387,10,384,0.9000347396917842,384,124,174,277,359,0.3229166666666667,0.453125,0.7213541666666666,0.9348958333333334,timm:convnext_tiny.fb_in22k_ft_in1k,timm/convnext_tiny.fb_in22k_ft_in1k,imagenet_val[50000],2083.3333333333335,True,,,,,,50000.0,18.821736570770547,15.954607450857434,0.04154845690327457,33.50434311205008,0.08725089352096375,6.37657653453774,0.01660566805869203,2.358556982954385,10.0,384.0,0.9578258608140755,384.0,40.0,71.0,169.0,310.0,0.10416666666666667,0.18489583333333334,0.4401041666666667,0.8072916666666666,130.20833333333334,True
