layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.conv0,conv,0,64,1,False,64.0,0,112.0,112.0,800000,220.46153167734838,5.4621207524694135,0.08534563675733459,7.716294921664201,0.12056710815100315,3.454472265140286,0.05397612914281697,8.682078455565794,10,64,0.4552463406379543,62,7,10,19,31,0.109375,0.15625,0.296875,0.484375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],12500.0,True,0.109375,0.15625,0.296875,0.484375,1.0,50000.0,30.25527197867833,2.5096283484706983,0.03921294294485466,2.732970856870353,0.04270266963859926,1.9519599516390673,0.030499374244360427,8.865356701697802,10.0,64.0,0.994757433910997,56.0,3.0,3.0,3.0,4.0,0.046875,0.046875,0.046875,0.0625,781.25,True
features.norm0.act,act,1,64,1,False,,0,112.0,112.0,800000,0.26901573306697424,4.697202039664971,0.07339378186976517,7.702693210668076,0.12035458141668869,2.6954812005498496,0.0421168937585914,4.966109806752174,10,64,0.2969604218823504,62,8,12,23,45,0.125,0.1875,0.359375,0.703125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.09085125432307879,2.49841120490734,0.039037675076677186,3.230459714259033,0.05047593303529739,1.8408754977078978,0.028763679651685903,7.36366584498286,10.0,64.0,0.6163247249553685,62.0,3.0,4.0,7.0,14.0,0.046875,0.0625,0.109375,0.21875,781.25,True
features.denseblock1.denselayer1.norm1.act,act,2,64,1,False,,0,56.0,56.0,800000,1.341811721499989,5.413785214638242,0.08459039397872253,11.601780981049625,0.1812778278289004,2.575034487887589,0.04023491387324358,10.394496767251468,10,64,0.23845441579126714,54,16,26,43,52,0.25,0.40625,0.671875,0.8125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.18030753632910868,1.9547241996926157,0.03054256562019712,3.288637834534951,0.05138496616460861,1.429464167735503,0.022335377620867236,12.129241429657664,10.0,64.0,0.32509530872141035,54.0,4.0,6.0,13.0,32.0,0.0625,0.09375,0.203125,0.5,781.25,True
features.denseblock1.denselayer1.conv1,conv,3,128,1,False,64.0,0,56.0,56.0,800000,1.762346483654784,4.322445775804715,0.033769107623474334,7.0421151414443655,0.055016524542534105,2.324671039108092,0.018161492493031967,12.356141139800364,10,128,0.8007541642646006,90,7,9,18,33,0.0546875,0.0703125,0.140625,0.2578125,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],6250.0,True,0.109375,0.140625,0.28125,0.515625,0.5,50000.0,0.2451775306016305,1.73794864482428,0.013577723787689688,2.543198641875609,0.019868739389653195,1.3456861823600643,0.010513173299688003,10.42510419945393,10.0,128.0,0.8745197365270805,90.0,3.0,4.0,7.0,16.0,0.0234375,0.03125,0.0546875,0.125,390.625,True
features.denseblock1.denselayer1.norm2.act,act,4,128,1,False,,0,56.0,56.0,800000,0.5856442769917499,9.60477001401324,0.07503726573447844,19.95187287236328,0.1558740068153381,4.310184539843444,0.03367331671752691,2.5164233963559917,10,128,0.5321649760264593,127,27,44,87,115,0.2109375,0.34375,0.6796875,0.8984375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.08412785568205258,2.913116514792248,0.022758722771814437,4.582970525036375,0.03580445722684668,2.0136910486294854,0.015731961317417855,3.765490305754793,10.0,128.0,0.3822149772316742,127.0,4.0,7.0,22.0,66.0,0.03125,0.0546875,0.171875,0.515625,390.625,True
features.denseblock1.denselayer1.conv2,conv,5,32,1,False,32.0,0,56.0,56.0,800000,1.9698960747957366,9.15851767625105,0.2862036773828453,12.598305192277898,0.3936970372586843,5.914849391548177,0.18483904348588054,3.1048522006461154,10,32,0.9310150957439476,32,12,16,24,31,0.375,0.5,0.75,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],25000.0,True,0.375,0.5,0.75,0.96875,1.0,50000.0,0.1800938078300065,2.5631144818620752,0.08009732755818985,3.551907145351271,0.11099709829222722,1.8967846551619616,0.0592745204738113,4.452673756851485,10.0,32.0,0.9872271304907102,32.0,3.0,5.0,10.0,19.0,0.09375,0.15625,0.3125,0.59375,1562.5,True
features.denseblock1.denselayer1,block,6,32,1,False,,0,56.0,56.0,800000,1.9736478827572828,9.159745567525027,0.2862420489851571,12.602117618806794,0.3938161755877123,5.917470215516161,0.18492094423488004,3.1036994393534956,10,32,0.9307734616067862,32,12,16,24,31,0.375,0.5,0.75,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],25000.0,True,,,,,,50000.0,0.1800938078300065,2.5631144818620752,0.08009732755818985,3.551907145351271,0.11099709829222722,1.8967846551619616,0.0592745204738113,4.452673756851485,10.0,32.0,0.9872271304907102,32.0,3.0,5.0,10.0,19.0,0.09375,0.15625,0.3125,0.59375,1562.5,True
features.denseblock1.denselayer2.norm1.act,act,7,96,1,False,,0,56.0,56.0,800000,1.397927857985832,8.865628017541658,0.09235029184939227,22.568452055218543,0.23508804224185983,3.3706017802223354,0.03511043521064933,2.860694299381333,10,96,0.1883933688195779,94,32,48,74,89,0.3333333333333333,0.5,0.7708333333333334,0.9270833333333334,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],8333.333333333334,True,,,,,,50000.0,0.2396076994754046,3.5032642113022425,0.03649233553439836,6.223814301492743,0.06483139897388274,2.0377000172602253,0.02122604184646068,4.298697232153556,10.0,96.0,0.37012675003972084,94.0,7.0,10.0,23.0,51.0,0.07291666666666667,0.10416666666666667,0.23958333333333334,0.53125,520.8333333333334,True
features.denseblock1.denselayer2.conv1,conv,8,128,1,False,96.0,0,56.0,56.0,800000,0.9266531749207068,5.791532924191852,0.045246350970248844,11.444793238528739,0.08941244717600577,2.705264119795778,0.021134875935904514,8.54910061228271,10,128,0.6084606511107468,111,13,19,34,56,0.1015625,0.1484375,0.265625,0.4375,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],6250.0,True,0.13541666666666666,0.19791666666666666,0.3541666666666667,0.5833333333333334,0.75,50000.0,0.13607870621677529,3.0453943039108045,0.02379214299930316,5.2847417933796725,0.04128704526077869,1.8431806391397136,0.014399848743279013,8.018002966687094,10.0,128.0,0.7709383284510961,110.0,6.0,8.0,15.0,30.0,0.046875,0.0625,0.1171875,0.234375,390.625,True
features.denseblock1.denselayer2.norm2.act,act,9,128,1,False,,0,56.0,56.0,800000,0.5442621610548488,17.67748264638329,0.13810533317486945,34.56288102636279,0.2700225080184593,7.048927531457819,0.05506974633951421,2.2613313658202863,10,128,0.18005508241414536,127,42,65,105,124,0.328125,0.5078125,0.8203125,0.96875,timm:densenet121.tv_in1k,timm/densenet121.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.07301589354028858,6.5100400992659955,0.05085968827551559,10.924316629966393,0.08534622367161245,3.4807640749513378,0.027193469335557326,3.1319687187602923,10.0,128.0,0.29051292902607717,127.0,10.0,17.0,45.0,97.0,0.078125,0.1328125,0.3515625,0.7578125,390.625,True
