layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,236.67056488870446,2.145522058499911,0.06704756432812221,3.108899812350499,0.09715311913595309,1.5289306460574754,0.04777908268929611,11.679526287341416,10,32,0.9621328540674574,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,1,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,236.67056488870446,2.145522058499911,0.06704756432812221,3.108899812350499,0.09715311913595309,1.5289306460574754,0.04777908268929611,11.679526287341416,10,32,0.9621328540674574,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,2,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,236.67056488870446,2.145522058499911,0.06704756432812221,3.108899812350499,0.09715311913595309,1.5289306460574754,0.04777908268929611,11.679526287341416,10,32,0.9621328540674574,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,5,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,236.67056488870446,2.145522058499911,0.06704756432812221,3.108899812350499,0.09715311913595309,1.5289306460574754,0.04777908268929611,11.679526287341416,10,32,0.9621328540674574,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,10,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,236.67056488870446,2.145522058499911,0.06704756432812221,3.108899812350499,0.09715311913595309,1.5289306460574754,0.04777908268929611,11.679526287341416,10,32,0.9621328540674574,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,25,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,252.46783882446607,2.0559450054797415,0.06424828142124192,2.983995459855586,0.09324985812048706,1.490591809279547,0.04658099403998584,11.75791749288501,10,32,0.9498198803317932,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,50,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,4096,251.1829023502766,2.0894571271767544,0.06529553522427357,3.0166008143448666,0.09426877544827708,1.508212654316388,0.04713164544738713,11.48304104979581,10,32,0.9655218603864567,28,3,5,7,8,0.09375,0.15625,0.21875,0.25,100,timm:efficientnet_b0.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,253.88452107263134,2.1647648862463016,0.06764890269519692,3.125490292261671,0.09767157163317722,1.5417745170022217,0.04818045365631943,11.814056551517545,10,32,0.960207311149613,29,3,5,7,8,0.09375,0.15625,0.21875,0.25,250,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,1024,142.51641750941636,3.5770275979403627,0.11178211243563634,4.573073556956931,0.1429085486549041,2.7280759133291217,0.08525237229153505,8.379061352181767,10,32,0.7728561720133804,32,4,6,10,16,0.125,0.1875,0.3125,0.5,1,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,1024,142.51641750941636,3.5770275979403627,0.11178211243563634,4.573073556956931,0.1429085486549041,2.7280759133291217,0.08525237229153505,8.379061352181767,10,32,0.7728561720133804,32,4,6,10,16,0.125,0.1875,0.3125,0.5,2,timm:efficientnet_b0.ra_in1k
bn1.act,act,1,32,1,False,,0,112.0,112.0,1024,142.51641750941636,3.5770275979403627,0.11178211243563634,4.573073556956931,0.1429085486549041,2.7280759133291217,0.08525237229153505,8.379061352181767,10,32,0.7728561720133804,32,4,6,10,16,0.125,0.1875,0.3125,0.5,5,timm:efficientnet_b0.ra_in1k
