layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,800000,250.67192373223824,2.113195600648527,0.06603736252026647,3.1001755164382856,0.09688048488869642,1.5102551915025326,0.047195474734454144,12.114285229343201,10,32,0.9582245684751769,29,3,5,7,8,0.09375,0.15625,0.21875,0.25,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],25000.0,True,0.1111111111111111,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.84375,50000.0,65.92690717643907,2.0359654536405714,0.06362392042626785,2.322566492528006,0.07258020289150019,1.5853232211268196,0.04954135066021311,9.063395108630337,10.0,32.0,0.9773321227097689,25.0,2.0,3.0,3.0,3.0,0.0625,0.09375,0.09375,0.09375,1562.5,True
bn1.act,act,1,32,1,False,,0,112.0,112.0,800000,151.85958807840208,3.5755337633198936,0.11173543010374667,4.578855137077874,0.14308922303368357,2.747489491084278,0.08585904659638369,8.24266897400898,10,32,0.7696712751481574,32,4,6,10,16,0.125,0.1875,0.3125,0.5,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],25000.0,True,,,,,,50000.0,29.762660738136272,2.3870140777343836,0.07459418992919949,2.851288998785382,0.08910278121204318,2.0083606085859325,0.06276126901831039,9.29454211662784,10.0,32.0,0.7536994786050624,32.0,2.0,3.0,5.0,9.0,0.0625,0.09375,0.15625,0.28125,1562.5,True
blocks.0.0.conv_dw,conv,2,32,32,True,32.0,0,112.0,112.0,800000,444.2530951579259,3.458807731318386,0.10808774160369956,4.733099200450522,0.14790935001407882,2.293591967165717,0.07167474897392866,7.337578136810681,10,32,0.9196419439222399,32,4,6,11,17,0.125,0.1875,0.34375,0.53125,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],25000.0,True,0.125,0.1875,0.34375,0.53125,1.0,50000.0,10.242581510340827,2.236351220615596,0.06988597564423737,2.6136916187034123,0.08167786308448163,1.9827493951144821,0.061960918597327566,9.455115164842967,10.0,32.0,0.7611886406952152,32.0,2.0,3.0,5.0,12.0,0.0625,0.09375,0.15625,0.375,1562.5,True
blocks.0.0.bn1.act,act,3,32,1,False,,0,112.0,112.0,800000,72.40341148279495,8.432261550872678,0.2635081734647712,12.756011544511601,0.39862536076598754,4.782276384556022,0.1494461370173757,3.532379429748726,10,32,0.8522170318865627,32,13,18,24,30,0.40625,0.5625,0.75,0.9375,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],25000.0,True,,,,,,50000.0,6.379898887024809,2.689171365426773,0.08403660516958665,4.4452388337216515,0.1389137135538016,1.7172343415577576,0.053663573173679924,5.4843018200230516,10.0,32.0,0.9618402491214536,32.0,5.0,7.0,11.0,20.0,0.15625,0.21875,0.34375,0.625,1562.5,True
blocks.0.0.se.conv_reduce,conv_gap,4,8,1,False,8.0,0,1.0,1.0,50000,5.056566565709569,1.8381740419565686,0.22977175524457108,2.707907440719833,0.33848843008997914,1.381531606696085,0.17269145083701062,,10,8,,8,3,4,6,7,0.375,0.5,0.75,0.875,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],6250.0,True,0.375,0.5,0.75,0.875,1.0,50000.0,5.056566565709569,1.8381740419565686,0.22977175524457108,2.707907440719833,0.33848843008997914,1.381531606696085,0.17269145083701062,,10.0,8.0,,8.0,3.0,4.0,6.0,7.0,0.375,0.5,0.75,0.875,6250.0,True
blocks.0.0.se.act1,act,5,8,1,False,,0,1.0,1.0,50000,0.019272422261545182,3.264977359274086,0.40812216990926076,4.410130428548693,0.5512663035685866,2.017949702592374,0.25224371282404673,,10,8,,8,4,5,7,8,0.5,0.625,0.875,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.019272422261545182,3.264977359274086,0.40812216990926076,4.410130428548693,0.5512663035685866,2.017949702592374,0.25224371282404673,,10.0,8.0,,8.0,4.0,5.0,7.0,8.0,0.5,0.625,0.875,1.0,6250.0,True
blocks.0.0.se.conv_expand,conv_gap,6,32,1,False,8.0,0,1.0,1.0,50000,0.06429448448909389,1.9407941637484478,0.060649817617138994,2.7660851000638833,0.08644015937699635,1.430129164184428,0.044691536380763376,3.9196971195543298,10,32,0.972385214293052,24,3,4,5,7,0.09375,0.125,0.15625,0.21875,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],1562.5,True,0.375,0.5,0.625,0.875,0.25,50000.0,0.06429448448909389,1.9407941637484478,0.060649817617138994,2.7660851000638833,0.08644015937699635,1.430129164184428,0.044691536380763376,3.9196971195543298,10.0,32.0,0.972385214293052,24.0,3.0,4.0,5.0,7.0,0.09375,0.125,0.15625,0.21875,1562.5,True
blocks.0.0.conv_pw,conv,7,16,1,False,16.0,0,112.0,112.0,800000,56.827029900614825,8.311147437477237,0.5194467148423273,10.712875837102137,0.6695547398188836,4.286751158145594,0.26792194738409963,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],50000.0,True,0.625,0.75,0.9375,1.0,1.0,50000.0,3.304226390052497,2.6529327928196134,0.16580829955122584,3.5808271980967747,0.22380169988104842,1.8035525423084626,0.11272203389427891,,10.0,16.0,,16.0,3.0,5.0,7.0,11.0,0.1875,0.3125,0.4375,0.6875,3125.0,True
blocks.0.0,block,8,16,1,False,,0,112.0,112.0,800000,496.3669657268338,9.881938764544692,0.6176211727840433,11.801862207419775,0.737616387963736,6.007903463242701,0.3754939664526688,,10,16,,16,11,13,15,16,0.6875,0.8125,0.9375,1.0,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],50000.0,True,,,,,,50000.0,18.84961759231945,3.5172414993206336,0.2198275937075396,4.626439042117813,0.2891524401323633,2.2310372198280373,0.13943982623925233,,10.0,16.0,,16.0,5.0,5.0,8.0,13.0,0.3125,0.3125,0.5,0.8125,3125.0,True
blocks.1.0.conv_pw,conv,9,96,1,False,16.0,0,112.0,112.0,800000,4759.31401644651,6.811985281737083,0.07095818001809462,9.28428266433743,0.0967112777535149,3.997388296836148,0.04163946142537654,12.436288996236245,10,96,0.7029539385303514,56,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,timm:efficientnet_b0.ra_in1k,timm/efficientnet_b0.ra_in1k,imagenet_val[50000],8333.333333333334,True,0.5625,0.6875,0.875,1.0,0.16666666666666666,50000.0,148.37969084685474,3.3546648522633467,0.03494442554440986,4.48019847291695,0.04666873409288489,2.1537997876116632,0.02243541445428816,11.678737236948384,10.0,96.0,0.7864978692623386,54.0,4.0,5.0,8.0,13.0,0.041666666666666664,0.052083333333333336,0.08333333333333333,0.13541666666666666,520.8333333333334,True
