layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,145.39567308212781,2.6896232358263616,0.0840507261195738,3.851284175453167,0.12035263048291146,1.7805475522530398,0.055642111007907495,30.211567812873575,10,32,0.5099175060543959,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,1,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,145.39567308212781,2.6896232358263616,0.0840507261195738,3.851284175453167,0.12035263048291146,1.7805475522530398,0.055642111007907495,30.211567812873575,10,32,0.5099175060543959,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,2,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,145.39567308212781,2.6896232358263616,0.0840507261195738,3.851284175453167,0.12035263048291146,1.7805475522530398,0.055642111007907495,30.211567812873575,10,32,0.5099175060543959,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,5,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,145.39567308212781,2.6896232358263616,0.0840507261195738,3.851284175453167,0.12035263048291146,1.7805475522530398,0.055642111007907495,30.211567812873575,10,32,0.5099175060543959,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,10,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,1024,145.39567308212781,2.6896232358263616,0.0840507261195738,3.851284175453167,0.12035263048291146,1.7805475522530398,0.055642111007907495,30.211567812873575,10,32,0.5099175060543959,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,25,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,2048,157.3430393998525,2.605334464647776,0.081416702020243,3.732307792369471,0.11663461851154597,1.7522340711385789,0.05475731472308059,37.135076843936275,10,32,0.6133547469560986,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,50,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,4096,152.7910895954181,2.5947593615095794,0.08108623004717436,3.7721747187007457,0.1178804599593983,1.7320426290716926,0.054126332158490394,38.93514690981329,10,32,0.6010159716344792,24,4,6,7,9,0.125,0.1875,0.21875,0.28125,100,timm:mobilenetv2_100.ra_in1k
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,8192,156.93841823387396,2.6727061071392426,0.08352206584810133,3.883445384230922,0.1213576682572163,1.7595472239813408,0.0549858507494169,34.650502154248265,10,32,0.5618335259116458,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,250,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,1024,76.13743688260823,6.263394327205314,0.19573107272516607,8.809466116398728,0.27529581613746024,3.427287426917092,0.10710273209115913,32.47769539821669,10,32,0.3898088078666967,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,1,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,1024,76.13743688260823,6.263394327205314,0.19573107272516607,8.809466116398728,0.27529581613746024,3.427287426917092,0.10710273209115913,32.47769539821669,10,32,0.3898088078666967,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,2,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,1024,76.13743688260823,6.263394327205314,0.19573107272516607,8.809466116398728,0.27529581613746024,3.427287426917092,0.10710273209115913,32.47769539821669,10,32,0.3898088078666967,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,5,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,1024,76.13743688260823,6.263394327205314,0.19573107272516607,8.809466116398728,0.27529581613746024,3.427287426917092,0.10710273209115913,32.47769539821669,10,32,0.3898088078666967,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,10,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,1024,76.13743688260823,6.263394327205314,0.19573107272516607,8.809466116398728,0.27529581613746024,3.427287426917092,0.10710273209115913,32.47769539821669,10,32,0.3898088078666967,24,8,10,17,22,0.25,0.3125,0.53125,0.6875,25,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,2048,76.8555753401337,6.512129607802798,0.20350405024383744,9.061297931156767,0.283165560348649,3.6884730236282626,0.1152647819883832,47.52966313482783,10,32,0.48725586691389966,24,8,11,17,22,0.25,0.34375,0.53125,0.6875,50,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,4096,73.85930092278286,6.581220389010435,0.20566313715657608,9.130856764373354,0.2853392738866673,3.7585706907387557,0.11745533408558612,27.52477385778863,10,32,0.3052705382377976,24,8,11,17,22,0.25,0.34375,0.53125,0.6875,100,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,8192,73.27084039078173,6.609025201569165,0.2065320375490364,9.199609850624205,0.2874878078320064,3.7488292129923937,0.1171509129060123,47.850081605727354,10,32,0.5284027582804862,24,9,11,17,22,0.28125,0.34375,0.53125,0.6875,250,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,1,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,2,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,5,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,10,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,25,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,1024,124.86827813798266,4.911281955521109,0.3069551222200693,7.863962824788597,0.49149767654928733,2.526403706101444,0.15790023163134026,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,50,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,2048,134.90556724046405,4.607925537085576,0.2879953460678485,7.5474813134821375,0.4717175820926336,2.4082965823117513,0.15051853639448445,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,100,timm:mobilenetv2_100.ra_in1k
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,4096,135.20752038076972,4.811696278260172,0.30073101739126074,7.7531841274642295,0.48457400796651434,2.4942974995106932,0.15589359371941833,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,250,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,1,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,2,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,5,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,10,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,25,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,1024,710.0221296890273,9.406718524184646,0.5879199077615404,11.387815600125014,0.7117384750078134,5.438176012842944,0.339886000802684,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,50,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,2048,723.973577789098,9.176658863964757,0.5735411789977973,11.253190603045404,0.7033244126903377,5.250753252296731,0.32817207826854566,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,100,timm:mobilenetv2_100.ra_in1k
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,4096,734.881256774811,9.252361047983465,0.5782725654989666,11.311844365243175,0.7069902728276984,5.39337304712359,0.33708581544522437,,10,16,,16,10,12,15,16,0.625,0.75,0.9375,1.0,250,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,1024,8452.53843589985,7.38431005623078,0.07691989641907063,9.603324618368127,0.10003463144133466,4.507338501086464,0.04695144271965066,12.256779137870812,10,96,0.5878085314683754,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,1,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,1024,8452.53843589985,7.38431005623078,0.07691989641907063,9.603324618368127,0.10003463144133466,4.507338501086464,0.04695144271965066,12.256779137870812,10,96,0.5878085314683754,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,2,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,1024,8452.53843589985,7.38431005623078,0.07691989641907063,9.603324618368127,0.10003463144133466,4.507338501086464,0.04695144271965066,12.256779137870812,10,96,0.5878085314683754,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,5,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,1024,8452.53843589985,7.38431005623078,0.07691989641907063,9.603324618368127,0.10003463144133466,4.507338501086464,0.04695144271965066,12.256779137870812,10,96,0.5878085314683754,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,10,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,3072,8791.183112363044,7.21901815669727,0.0751981057989299,9.483761745324221,0.0987891848471273,4.535261594140507,0.047242308272296946,10.825833149551157,10,96,0.7233370363751674,56,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,25,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,5120,9140.587961360157,7.26619914967865,0.07568957447581927,9.557899331293017,0.0995614513676356,4.479405601262505,0.0466604750131511,11.135299985289347,10,96,0.7220063349339341,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,50,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,10240,9311.404711644886,7.222945656081929,0.07523901725085343,9.543375092636229,0.09941015721496071,4.3853901533763855,0.045681147431004016,11.339931626876439,10,96,0.7201267438347801,55,9,11,14,16,0.09375,0.11458333333333333,0.14583333333333334,0.16666666666666666,100,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,24576,9525.55089026633,7.214534227660997,0.07515139820480206,9.549933460059343,0.09947847354228483,4.373910227628668,0.045561564871131964,11.520910463673802,10,96,0.7125990282558148,55,10,11,14,16,0.10416666666666667,0.11458333333333333,0.14583333333333334,0.16666666666666666,250,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,1024,134.56400663948247,12.857937845366466,0.13393685255590068,22.281866328417532,0.2321027742543493,5.648456933508313,0.058838093057378256,5.153326471691475,10,96,0.2651788831395109,94,24,33,53,73,0.25,0.34375,0.5520833333333334,0.7604166666666666,1,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,1024,134.56400663948247,12.857937845366466,0.13393685255590068,22.281866328417532,0.2321027742543493,5.648456933508313,0.058838093057378256,5.153326471691475,10,96,0.2651788831395109,94,24,33,53,73,0.25,0.34375,0.5520833333333334,0.7604166666666666,2,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,1024,134.56400663948247,12.857937845366466,0.13393685255590068,22.281866328417532,0.2321027742543493,5.648456933508313,0.058838093057378256,5.153326471691475,10,96,0.2651788831395109,94,24,33,53,73,0.25,0.34375,0.5520833333333334,0.7604166666666666,5,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,1024,134.56400663948247,12.857937845366466,0.13393685255590068,22.281866328417532,0.2321027742543493,5.648456933508313,0.058838093057378256,5.153326471691475,10,96,0.2651788831395109,94,24,33,53,73,0.25,0.34375,0.5520833333333334,0.7604166666666666,10,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,3072,138.49544364188097,13.265558276814224,0.13818289871681483,22.82833047272283,0.2377951090908628,6.080356958347199,0.06333705164944999,4.176195253694328,10,96,0.3478969220066169,94,24,34,54,74,0.25,0.3541666666666667,0.5625,0.7708333333333334,25,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,5120,141.19955517931265,13.251104944300762,0.1380323431697996,22.886701159971928,0.23840313708304092,6.0555038912339025,0.06307816553368649,4.980693757345721,10,96,0.2640401468349586,94,24,34,55,74,0.25,0.3541666666666667,0.5729166666666666,0.7708333333333334,50,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,10240,142.2147069854073,13.13051640130801,0.1367762125136251,22.79411298866698,0.23743867696528106,5.947958412210724,0.06195790012719504,4.198962521327846,10,96,0.30753099971200726,94,24,34,55,75,0.25,0.3541666666666667,0.5729166666666666,0.78125,100,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,24576,144.5646286655192,13.028025921636809,0.13570860335038343,22.76754544282995,0.2371619316961453,5.89897055180886,0.06144760991467563,4.136511532272632,10,96,0.328881523051082,94,25,34,55,75,0.2604166666666667,0.3541666666666667,0.5729166666666666,0.78125,250,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,1024,148.17741100203136,9.580254211779799,0.3991772588241583,13.143433071122468,0.5476430446301028,4.545820392020151,0.18940918300083964,3.176198407566255,10,24,0.9066426686317496,24,12,16,20,24,0.5,0.6666666666666666,0.8333333333333334,1.0,1,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,1024,148.17741100203136,9.580254211779799,0.3991772588241583,13.143433071122468,0.5476430446301028,4.545820392020151,0.18940918300083964,3.176198407566255,10,24,0.9066426686317496,24,12,16,20,24,0.5,0.6666666666666666,0.8333333333333334,1.0,2,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,1024,148.17741100203136,9.580254211779799,0.3991772588241583,13.143433071122468,0.5476430446301028,4.545820392020151,0.18940918300083964,3.176198407566255,10,24,0.9066426686317496,24,12,16,20,24,0.5,0.6666666666666666,0.8333333333333334,1.0,5,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,1024,148.17741100203136,9.580254211779799,0.3991772588241583,13.143433071122468,0.5476430446301028,4.545820392020151,0.18940918300083964,3.176198407566255,10,24,0.9066426686317496,24,12,16,20,24,0.5,0.6666666666666666,0.8333333333333334,1.0,10,timm:mobilenetv2_100.ra_in1k
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,1024,148.17741100203136,9.580254211779799,0.3991772588241583,13.143433071122468,0.5476430446301028,4.545820392020151,0.18940918300083964,3.176198407566255,10,24,0.9066426686317496,24,12,16,20,24,0.5,0.6666666666666666,0.8333333333333334,1.0,25,timm:mobilenetv2_100.ra_in1k
