layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,32,1,False,27.0,0,112.0,112.0,800000,151.61670261234428,2.648601938947014,0.08276881059209419,3.892786772826736,0.1216495866508355,1.738631487497276,0.05433223398428987,35.97777912789422,10,32,0.6197755900731463,24,5,6,7,9,0.15625,0.1875,0.21875,0.28125,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],25000.0,True,0.18518518518518517,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.84375,50000.0,41.923478848292646,2.4105281029059364,0.07532900321581051,2.655397229190832,0.0829811634122135,1.8168493616341486,0.05677654255106714,43.35092644347185,10.0,32.0,0.5537921261367837,21.0,3.0,3.0,3.0,3.0,0.09375,0.09375,0.09375,0.09375,1562.5,True
blocks.0.0.conv_dw,conv,1,32,32,True,32.0,0,112.0,112.0,800000,74.72391778598887,6.3918725133976455,0.19974601604367642,9.007037726677252,0.28146992895866413,3.5880621462807185,0.11212694207127245,42.60476947828494,10,32,0.3620276189427376,24,8,11,17,22,0.25,0.34375,0.53125,0.6875,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],25000.0,True,0.25,0.34375,0.53125,0.6875,1.0,50000.0,4.780650565963964,2.5642674553030598,0.08013335797822062,3.1589985303044537,0.09871870407201418,1.8170973070259584,0.0567842908445612,42.684701355762726,10.0,32.0,0.5148635443483414,24.0,3.0,3.0,5.0,10.0,0.09375,0.09375,0.15625,0.3125,1562.5,True
blocks.0.0.conv_pw,conv,2,16,1,False,16.0,0,112.0,112.0,800000,138.01337402260862,4.9015812861997485,0.3063488303874843,7.875536242760101,0.4922210151725063,2.5305071361783336,0.15815669601114585,,10,16,,16,9,11,14,16,0.5625,0.6875,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],50000.0,True,0.5625,0.6875,0.875,1.0,1.0,50000.0,19.28611738954451,1.8070318552576798,0.11293949095360499,2.298043056055669,0.1436276910034793,1.3946390925343604,0.08716494328339752,,10.0,16.0,,16.0,3.0,3.0,3.0,7.0,0.1875,0.1875,0.1875,0.4375,3125.0,True
blocks.0.0,block,3,16,1,False,,0,112.0,112.0,800000,749.5916848990607,9.16637516929192,0.572898448080745,11.274806644367374,0.7046754152729608,5.3886617213848655,0.3367913575865541,,10,16,,16,11,12,15,16,0.6875,0.75,0.9375,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],50000.0,True,,,,,,50000.0,55.05519878774142,2.571723518529782,0.1607327199081114,3.0281190657072146,0.1892574416067009,1.8611817434721165,0.11632385896700728,,10.0,16.0,,16.0,3.0,3.0,4.0,10.0,0.1875,0.1875,0.25,0.625,3125.0,True
blocks.1.0.conv_pw,conv,4,96,1,False,16.0,0,112.0,112.0,800000,9338.119004743521,7.221090979692816,0.0752196977051335,9.552993580912075,0.09951034980116745,4.378847628284736,0.045612996127965995,14.930322677566913,10,96,0.5785060951778349,53,10,11,14,16,0.10416666666666667,0.11458333333333333,0.14583333333333334,0.16666666666666666,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],8333.333333333334,True,0.625,0.6875,0.875,1.0,0.16666666666666666,50000.0,710.7146976067355,2.6702407950985005,0.02781500828227605,3.0105110915661966,0.03135949053714788,2.0146301384948258,0.0209857306093211,15.415503493577704,10.0,96.0,0.6212429561537531,45.0,3.0,3.0,4.0,8.0,0.03125,0.03125,0.041666666666666664,0.08333333333333333,520.8333333333334,True
blocks.1.0.conv_dw,conv,5,96,96,True,96.0,0,56.0,56.0,800000,143.43825608038358,12.953479627047333,0.1349320794484097,22.6908812175126,0.23636334601575626,5.8890251674504475,0.06134401216094216,4.147072418613708,10,96,0.32240129726063294,94,25,34,55,75,0.2604166666666667,0.3541666666666667,0.5729166666666666,0.78125,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],8333.333333333334,True,0.2604166666666667,0.3541666666666667,0.5729166666666666,0.78125,1.0,50000.0,10.735554224486963,4.476516665016947,0.04663038192725986,6.663002443877369,0.06940627545705592,2.662388197084004,0.02773321038629171,5.8046769055038006,10.0,96.0,0.9343926308733044,94.0,6.0,10.0,17.0,35.0,0.0625,0.10416666666666667,0.17708333333333334,0.3645833333333333,520.8333333333334,True
blocks.1.0.conv_pwl,conv,6,24,1,False,24.0,0,56.0,56.0,800000,152.6307548757479,9.913337130249715,0.4130557137604048,13.541311272711823,0.5642213030296593,4.630433949380685,0.19293474789086187,3.2009237245053326,10,24,0.8741507795958962,24,13,16,21,24,0.5416666666666666,0.6666666666666666,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],33333.333333333336,True,0.5416666666666666,0.6666666666666666,0.875,1.0,1.0,50000.0,21.054996583803828,3.9398186382407006,0.16415910992669586,6.610344422746836,0.2754310176144515,2.184839879503042,0.09103499497929342,6.697738073146475,10.0,24.0,0.9154797343186201,24.0,8.0,10.0,15.0,19.0,0.3333333333333333,0.4166666666666667,0.625,0.7916666666666666,2083.3333333333335,True
blocks.1.0,block,7,24,1,False,,0,56.0,56.0,800000,1029.1526149724432,11.300104453751059,0.4708376855729608,14.835525088085745,0.6181468786702394,5.514605555577319,0.2297752314823883,3.0742605489583656,10,24,0.8411197117378421,24,14,17,21,24,0.5833333333333334,0.7083333333333334,0.875,1.0,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],33333.333333333336,True,,,,,,50000.0,131.73034919639835,4.651111032643632,0.193796293026818,7.625600981594425,0.31773337423310105,2.4249518142582356,0.10103965892742649,6.701386968901603,10.0,24.0,0.9186691322971899,24.0,8.0,10.0,15.0,19.0,0.3333333333333333,0.4166666666666667,0.625,0.7916666666666666,2083.3333333333335,True
blocks.1.1.conv_pw,conv,8,144,1,False,24.0,0,56.0,56.0,800000,8087.64689579069,5.949685880298739,0.04131726305763014,9.524183429554311,0.06614016270523827,3.0441684360878245,0.021140058583943227,13.880311170076274,10,144,0.707949250706609,79,10,14,20,24,0.06944444444444445,0.09722222222222222,0.1388888888888889,0.16666666666666666,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],5555.555555555556,True,0.4166666666666667,0.5833333333333334,0.8333333333333334,1.0,0.16666666666666666,50000.0,1363.069405324641,2.8283589928139117,0.019641381894541052,4.800470301277838,0.03333659931442943,1.7765225037274137,0.012336961831440374,12.615810812929508,10.0,144.0,0.7189993170713781,79.0,6.0,8.0,12.0,17.0,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.11805555555555555,347.22222222222223,True
blocks.1.1.conv_dw,conv,9,144,144,True,144.0,0,56.0,56.0,800000,59.52909522632056,31.721713408943145,0.22028967645099407,51.90547740758036,0.3604547042193081,10.673381779698358,0.07412070680346082,3.2215143155058557,10,144,0.19264769846190688,140,53,72,107,130,0.3680555555555556,0.5,0.7430555555555556,0.9027777777777778,timm:mobilenetv2_100.ra_in1k,timm/mobilenetv2_100.ra_in1k,imagenet_val[50000],5555.555555555556,True,0.3680555555555556,0.5,0.7430555555555556,0.9027777777777778,1.0,50000.0,3.819149172648411,3.2752740622205696,0.022744958765420622,5.781184557991609,0.04014711498605284,1.977161772226308,0.013730290084904916,5.293746057508114,10.0,144.0,0.41725597024507566,140.0,7.0,10.0,20.0,45.0,0.04861111111111111,0.06944444444444445,0.1388888888888889,0.3125,347.22222222222223,True
