layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv_stem,conv,0,16,1,False,16.0,0,112.0,112.0,800000,190.32856170169683,2.206736444635964,0.13792102778974774,3.39558348513604,0.2122239678210025,1.5320129189810863,0.09575080743631789,,10,16,,16,4,6,7,8,0.25,0.375,0.4375,0.5,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,0.25,0.375,0.4375,0.5,1.0,50000.0,49.13948263695745,2.1248000735875396,0.13280000459922123,2.4678191449822457,0.15423869656139036,1.5854051843102555,0.09908782401939097,,10.0,16.0,,15.0,3.0,3.0,3.0,3.0,0.1875,0.1875,0.1875,0.1875,3125.0,True
bn1.act,act,1,16,1,False,,0,112.0,112.0,800000,64.97657769062333,1.9400345627771798,0.12125216017357374,3.044114707937449,0.19025716924609057,1.4209035019977203,0.08880646887485752,,10,16,,16,4,6,7,11,0.25,0.375,0.4375,0.6875,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,,,,,,50000.0,14.423829715389452,1.5849312616158382,0.09905820385098989,2.0319194757891292,0.12699496723682058,1.2843770585815473,0.0802735661613467,,10.0,16.0,,16.0,2.0,3.0,3.0,7.0,0.125,0.1875,0.1875,0.4375,3125.0,True
blocks.0.0.conv_dw,conv,2,16,16,True,16.0,0,112.0,112.0,800000,216.72796227707687,1.4812370480866521,0.09257731550541576,2.1707826971552873,0.13567391857220545,1.2265867710678249,0.07666167319173905,,10,16,,16,2,4,8,12,0.125,0.25,0.5,0.75,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,0.125,0.25,0.5,0.75,1.0,50000.0,41.588209763144576,1.0026192818158643,0.06266370511349152,1.0120091505462034,0.06325057190913771,1.0013090530828062,0.06258181581767538,,10.0,16.0,,16.0,1.0,1.0,1.0,2.0,0.0625,0.0625,0.0625,0.125,3125.0,True
blocks.0.0.bn1.act,act,3,16,1,False,,0,112.0,112.0,800000,179.90124342586245,7.442309640517912,0.4651443525323695,9.237923045177675,0.5773701903236047,4.216673148515234,0.2635420717822021,,10,16,,16,8,10,13,16,0.5,0.625,0.8125,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,,,,,,50000.0,7.775196955142938,1.3386543135356945,0.08366589459598091,1.8552637683771105,0.1159539855235694,1.1618558884317183,0.07261599302698239,,10.0,16.0,,16.0,2.0,3.0,7.0,12.0,0.125,0.1875,0.4375,0.75,3125.0,True
blocks.0.0.conv_pw,conv,4,16,1,False,16.0,0,112.0,112.0,800000,857.6059819134922,4.45072846817119,0.27817052926069935,6.428146820550861,0.4017591762844288,2.4278636435226018,0.1517414777201626,,10,16,,16,7,8,10,12,0.4375,0.5,0.625,0.75,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,0.4375,0.5,0.625,0.75,1.0,50000.0,79.53603571605068,1.0634348622962393,0.06646467889351496,1.1987992372516605,0.07492495232822878,1.031417709649801,0.06446360685311256,,10.0,16.0,,16.0,1.0,1.0,3.0,8.0,0.0625,0.0625,0.1875,0.5,3125.0,True
blocks.0.0,block,5,16,1,False,,0,112.0,112.0,800000,80.88769591730819,8.023406812286712,0.5014629257679195,10.496335990690623,0.6560209994181639,4.130867643646197,0.2581792277278873,,10,16,,16,10,12,14,16,0.625,0.75,0.875,1.0,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],50000.0,True,,,,,,50000.0,6.107332166190028,2.9967605181730073,0.18729753238581295,3.552787978289788,0.22204924864311176,2.2502204748793133,0.14063877967995708,,10.0,16.0,,16.0,3.0,3.0,7.0,11.0,0.1875,0.1875,0.4375,0.6875,3125.0,True
blocks.1.0.conv_pw,conv,6,64,1,False,16.0,0,112.0,112.0,800000,959.4185942503896,5.648917843965947,0.08826434131196792,8.110034299217432,0.12671928592527237,3.5130030532613614,0.05489067270720877,18.72165879158358,10,64,0.7892011136218856,38,9,11,14,15,0.140625,0.171875,0.21875,0.234375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],12500.0,True,0.5625,0.6875,0.875,0.9375,0.25,50000.0,68.95343967126082,3.1692270779949467,0.04951917309367104,3.5107971789872576,0.0548562059216759,2.8684170684514507,0.04481901669455392,16.152984266746707,10.0,64.0,0.874154167817562,38.0,3.0,3.0,6.0,11.0,0.046875,0.046875,0.09375,0.171875,781.25,True
blocks.1.0.bn1.act,act,7,64,1,False,,0,112.0,112.0,800000,229.7329623982064,9.629991463093825,0.15046861661084102,13.837436905874194,0.21620995165428428,4.9446456545659485,0.07726008835259295,5.9498762812805825,10,64,0.9066984672434291,64,13,16,25,39,0.203125,0.25,0.390625,0.609375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,28.028501842299725,3.745285167127516,0.058520080736367434,5.144560824477093,0.08038376288245458,2.540927376990444,0.03970199026547569,7.270443476791703,10.0,64.0,0.8824905907750233,64.0,5.0,6.0,12.0,24.0,0.078125,0.09375,0.1875,0.375,781.25,True
blocks.1.0.conv_dw,conv,8,64,64,True,64.0,0,56.0,56.0,800000,475.6412618964946,13.544508845069595,0.21163295070421242,20.72600206615389,0.3238437822836545,5.780547529481498,0.09032105514814841,3.552711430882119,10,64,0.8564726137232908,64,20,27,41,55,0.3125,0.421875,0.640625,0.859375,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],12500.0,True,0.3125,0.421875,0.640625,0.859375,1.0,50000.0,63.50284450687888,4.5408041397290875,0.07095006468326699,5.734417801867472,0.08960027815417924,3.3226804710874522,0.05191688236074144,6.804771802255344,10.0,64.0,0.9527895633652866,64.0,5.0,6.0,12.0,23.0,0.078125,0.09375,0.1875,0.359375,781.25,True
blocks.1.0.bn2.act,act,9,64,1,False,,0,56.0,56.0,800000,735.3005156539822,21.5880824445656,0.3373137881963375,33.68914680414468,0.5263929188147606,7.85102745900563,0.12267230404696297,1.9824323872679999,10,64,0.808053396265173,64,34,43,55,62,0.53125,0.671875,0.859375,0.96875,timm:mobilenetv3_large_100.ra_in1k,timm/mobilenetv3_large_100.ra_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,51.92360172450633,3.3162398358469263,0.05181624743510822,6.328651958624985,0.0988851868535154,1.9249971796463092,0.030078080931973582,3.5165868488526715,10.0,64.0,0.9512003174144236,64.0,7.0,11.0,23.0,45.0,0.109375,0.171875,0.359375,0.703125,781.25,True
