layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,175.2625999809436,4.286797695274022,0.0669812139886566,6.27036431794619,0.09797444246790922,2.5184759822335354,0.03935118722239899,19.030775243054613,10,64,0.5485138054992389,50,6,8,15,24,0.09375,0.125,0.234375,0.375,1,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,175.2625999809436,4.286797695274022,0.0669812139886566,6.27036431794619,0.09797444246790922,2.5184759822335354,0.03935118722239899,19.030775243054613,10,64,0.5485138054992389,50,6,8,15,24,0.09375,0.125,0.234375,0.375,2,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,175.2625999809436,4.286797695274022,0.0669812139886566,6.27036431794619,0.09797444246790922,2.5184759822335354,0.03935118722239899,19.030775243054613,10,64,0.5485138054992389,50,6,8,15,24,0.09375,0.125,0.234375,0.375,5,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,175.2625999809436,4.286797695274022,0.0669812139886566,6.27036431794619,0.09797444246790922,2.5184759822335354,0.03935118722239899,19.030775243054613,10,64,0.5485138054992389,50,6,8,15,24,0.09375,0.125,0.234375,0.375,10,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,192.71732855108607,4.1917298699471655,0.06549577921792446,6.224523382155501,0.0972581778461797,2.4825613815812977,0.038790021587207776,20.179214330043994,10,64,0.5786998978090503,50,6,8,15,24,0.09375,0.125,0.234375,0.375,25,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,187.48418474120322,4.287512149265171,0.0669923773322683,6.345477668351084,0.09914808856798568,2.496297904595269,0.03900465475930108,20.074253019582706,10,64,0.5800474023520984,50,6,8,15,24,0.09375,0.125,0.234375,0.375,50,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,190.73076749945324,4.520023032030559,0.07062535987547748,6.56016359662123,0.10250255619720672,2.610433130188266,0.040788017659191655,19.92338416766207,10,64,0.5807344778390593,50,6,8,15,24,0.09375,0.125,0.234375,0.375,100,timm:resnet101.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,194.10998381316318,4.6106825816093595,0.07204191533764624,6.694938153983556,0.10460840865599307,2.6216570459219892,0.04096339134253108,20.40289802626549,10,64,0.5759928189524339,50,6,8,15,24,0.09375,0.125,0.234375,0.375,250,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.261568172003634,8.110366837805715,0.1267244818407143,14.819747040236054,0.23155854750368834,3.4873338067441724,0.05448959073037769,15.911260692208474,10,64,0.3501081173293017,49,16,23,35,44,0.25,0.359375,0.546875,0.6875,1,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.261568172003634,8.110366837805715,0.1267244818407143,14.819747040236054,0.23155854750368834,3.4873338067441724,0.05448959073037769,15.911260692208474,10,64,0.3501081173293017,49,16,23,35,44,0.25,0.359375,0.546875,0.6875,2,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.261568172003634,8.110366837805715,0.1267244818407143,14.819747040236054,0.23155854750368834,3.4873338067441724,0.05448959073037769,15.911260692208474,10,64,0.3501081173293017,49,16,23,35,44,0.25,0.359375,0.546875,0.6875,5,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.261568172003634,8.110366837805715,0.1267244818407143,14.819747040236054,0.23155854750368834,3.4873338067441724,0.05448959073037769,15.911260692208474,10,64,0.3501081173293017,49,16,23,35,44,0.25,0.359375,0.546875,0.6875,10,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,2.395085771253899,7.524818213104802,0.11757528457976253,14.300297491088841,0.22344214829826314,3.297474281756934,0.051523035652452094,23.03720510350257,10,64,0.1953238943113399,49,17,24,36,44,0.265625,0.375,0.5625,0.6875,25,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,4096,2.3146050616153566,7.617141153468831,0.11901783052295048,14.591614633550407,0.2279939786492251,3.3016413567938354,0.05158814619990368,24.041109168619887,10,64,0.3344098891780236,49,17,24,36,44,0.265625,0.375,0.5625,0.6875,50,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,7168,2.3492361769111545,8.074015452047616,0.126156491438244,15.127567985799459,0.23636824977811655,3.452479659323955,0.053944994676936794,16.55765717745972,10,64,0.2731925847988065,49,18,25,36,45,0.28125,0.390625,0.5625,0.703125,100,timm:resnet101.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,2.4075024404784937,8.477517062462773,0.13246120410098083,15.691586442560828,0.24518103816501294,3.5455982649272904,0.05539997288948891,21.104888060603315,10,64,0.31643616863079493,49,18,25,37,45,0.28125,0.390625,0.578125,0.703125,250,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,3.0274797209977353,4.382915931964287,0.06848306143694198,6.954758190902415,0.10866809673285023,2.3801890058998993,0.03719045321718593,16.52553514758574,10,64,0.4732390182449808,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,1,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,3.0274797209977353,4.382915931964287,0.06848306143694198,6.954758190902415,0.10866809673285023,2.3801890058998993,0.03719045321718593,16.52553514758574,10,64,0.4732390182449808,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,2,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,3.0274797209977353,4.382915931964287,0.06848306143694198,6.954758190902415,0.10866809673285023,2.3801890058998993,0.03719045321718593,16.52553514758574,10,64,0.4732390182449808,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,5,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,3.0274797209977353,4.382915931964287,0.06848306143694198,6.954758190902415,0.10866809673285023,2.3801890058998993,0.03719045321718593,16.52553514758574,10,64,0.4732390182449808,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,10,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,3.293654951884752,4.535191931449349,0.07086237392889608,7.067178808486329,0.11042466888259889,2.4573629064331546,0.03839629541301804,15.170601907000362,10,64,0.46012043990335405,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,25,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,4096,3.3560944547378586,4.68143751228846,0.0731474611295072,7.212941190327267,0.11270220609886354,2.520249133896038,0.039378892717125594,16.683141292659737,10,64,0.46589441597833703,50,7,9,14,25,0.109375,0.140625,0.21875,0.390625,50,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,7168,3.4746887292097015,4.680759645313348,0.07313686945802106,7.246608521792374,0.11322825815300584,2.5128427159719613,0.039263167437061895,17.013810309881926,10,64,0.4589794498437897,50,7,9,15,25,0.109375,0.140625,0.234375,0.390625,100,timm:resnet101.tv_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,3.6916011501821084,4.709360740231797,0.07358376156612183,7.259971577838768,0.11343705590373075,2.527264709634453,0.03948851108803833,15.67459756944903,10,64,0.4718315967258503,51,7,9,15,25,0.109375,0.140625,0.234375,0.390625,250,timm:resnet101.tv_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,0.39466061992962215,5.797891150791499,0.09059204923111717,12.820821052081925,0.20032532893878008,2.700930047346062,0.042202031989782215,13.720360126629325,10,64,0.21807374971991644,51,18,26,41,50,0.28125,0.40625,0.640625,0.78125,1,timm:resnet101.tv_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,0.39466061992962215,5.797891150791499,0.09059204923111717,12.820821052081925,0.20032532893878008,2.700930047346062,0.042202031989782215,13.720360126629325,10,64,0.21807374971991644,51,18,26,41,50,0.28125,0.40625,0.640625,0.78125,2,timm:resnet101.tv_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,0.39466061992962215,5.797891150791499,0.09059204923111717,12.820821052081925,0.20032532893878008,2.700930047346062,0.042202031989782215,13.720360126629325,10,64,0.21807374971991644,51,18,26,41,50,0.28125,0.40625,0.640625,0.78125,5,timm:resnet101.tv_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,0.39466061992962215,5.797891150791499,0.09059204923111717,12.820821052081925,0.20032532893878008,2.700930047346062,0.042202031989782215,13.720360126629325,10,64,0.21807374971991644,51,18,26,41,50,0.28125,0.40625,0.640625,0.78125,10,timm:resnet101.tv_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,0.4281362353406193,6.0012282354539845,0.09376919117896851,13.082125346308093,0.20440820853606395,2.7842122196567103,0.0435033159321361,16.523547790676346,10,64,0.2729746821658907,51,18,26,41,50,0.28125,0.40625,0.640625,0.78125,25,timm:resnet101.tv_in1k
