layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,189.05086671758426,4.619940087362846,0.07218656386504446,6.7453608269351575,0.10539626292086184,2.6124383812436758,0.040819349706932434,20.057638510075318,10,64,0.5804429543276577,50,6,9,15,24,0.09375,0.140625,0.234375,0.375,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,0.09375,0.140625,0.234375,0.375,1.0,50000.0,45.00889630822836,2.7284301301652705,0.04263172078383235,2.8569530530591307,0.04463989145404892,2.188727298727881,0.034198864042623144,15.769809953685481,10.0,64.0,0.6081852429573287,44.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,2.369632220642119,8.584989365321507,0.13414045883314854,15.887288450622773,0.24823888204098082,3.5609124256032025,0.05563925665005004,18.68579140326925,10,64,0.26162945874249255,49,18,25,36,45,0.28125,0.390625,0.5625,0.703125,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.4046781276106815,3.189221464685287,0.04983158538570761,4.034972775984039,0.0630464496247506,2.3425825829864393,0.036602852859163114,18.019515096386833,10.0,64.0,0.3492937496599745,49.0,3.0,4.0,10.0,22.0,0.046875,0.0625,0.15625,0.34375,781.25,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,800000,3.728583235739142,4.670386170545793,0.07297478391477802,7.244817035449874,0.11320026617890429,2.5013273214863307,0.03908323939822392,18.015645593969577,10,64,0.4656970875615577,49,7,9,14,25,0.109375,0.140625,0.21875,0.390625,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,0.109375,0.140625,0.21875,0.390625,1.0,50000.0,0.6206385529989301,2.2523806531002957,0.03519344770469212,3.260169600980712,0.05094015001532363,1.5942182644535368,0.024909660382086512,16.25347169744312,10.0,64.0,0.49958375157497903,50.0,3.0,4.0,8.0,15.0,0.046875,0.0625,0.125,0.234375,781.25,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,800000,0.43772416903610734,7.148795887573619,0.1116999357433378,14.801064263304767,0.23126662911413698,3.174583254643707,0.049602863353807924,12.732685677394993,10,64,0.28041869580649637,51,19,27,42,50,0.296875,0.421875,0.65625,0.78125,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.07689053349656119,2.859692399968078,0.04468269374950122,4.535111545638207,0.07086111790059699,1.999447393309274,0.031241365520457406,20.090171827648298,10.0,64.0,0.3247918148472573,51.0,5.0,8.0,20.0,41.0,0.078125,0.125,0.3125,0.640625,781.25,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,800000,1.4258541226234374,3.700183141933952,0.057815361592718,7.354103349725134,0.11490786483945521,2.059271287090185,0.03217611386078414,5.825361636143558,10,64,0.2653045923932925,62,9,13,27,48,0.140625,0.203125,0.421875,0.75,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,0.140625,0.203125,0.421875,0.75,1.0,50000.0,0.3289347377109185,2.110169665570038,0.032971401024531846,3.0549405309735835,0.04773344579646224,1.5503021397287549,0.024223470933261795,7.181251330719796,10.0,64.0,0.5711335056437508,62.0,3.0,5.0,9.0,18.0,0.046875,0.078125,0.140625,0.28125,781.25,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,800000,0.6756285056919358,3.832355870355511,0.05988056047430486,9.441846257826748,0.14752884777854294,2.048429808618726,0.03200671575966759,3.9488390567989513,10,64,0.18974600928133845,62,15,23,42,58,0.234375,0.359375,0.65625,0.90625,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.15613329875531734,2.153473656349246,0.03364802588045697,3.5270256714906543,0.05510977611704147,1.5398759652618725,0.02406056195721676,4.88178169753521,10.0,64.0,0.25999101089426846,62.0,4.0,7.0,15.0,37.0,0.0625,0.109375,0.234375,0.578125,781.25,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,800000,0.8867884699934514,1.484360439877605,0.005798282968271894,2.5451528405054016,0.009942003283224225,1.2215394300923246,0.004771638398798143,12.605965486781578,10,256,0.7792165666106123,140,4,8,14,27,0.015625,0.03125,0.0546875,0.10546875,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],3125.0,True,0.0625,0.125,0.21875,0.421875,0.25,50000.0,0.247637521340158,1.2459597840838421,0.004867030406577508,1.6727114193514936,0.006534028981841772,1.118771095355598,0.004370199591232805,11.322227039641756,10.0,256.0,0.7557633509694821,141.0,2.0,2.0,7.0,14.0,0.0078125,0.0078125,0.02734375,0.0546875,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,800000,8.771109750854883,5.127050110346428,0.020027539493540733,7.590343468199455,0.02964977917265412,3.1266145802275505,0.012213338204013869,13.402696702992953,10,256,0.7726137297067056,133,7,10,19,32,0.02734375,0.0390625,0.07421875,0.125,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],3125.0,True,0.109375,0.15625,0.296875,0.5,0.25,50000.0,2.3676085124014623,4.168609910497335,0.016283632462880216,4.993536745736701,0.019506002913033987,2.9204145757370084,0.011407869436472689,11.524199638804456,10.0,256.0,0.7609048226834139,134.0,4.0,5.0,9.0,17.0,0.015625,0.01953125,0.03515625,0.06640625,195.3125,True
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,800000,4.046161625036918,13.452505499821639,0.052548849608678276,28.22989280062334,0.11027301875243492,4.778227368516778,0.018664950658268665,5.168251341240529,10,256,0.21659999412835984,229,32,54,123,192,0.125,0.2109375,0.48046875,0.75,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.8588299679171965,6.396798559611696,0.024987494373483188,10.951574653725908,0.04277958849111683,3.256705925609534,0.012721507521912243,5.860945457979036,10.0,256.0,0.2606195604280185,229.0,11.0,16.0,42.0,113.0,0.04296875,0.0625,0.1640625,0.44140625,195.3125,True
layer1.0,block,9,256,1,False,,0,56.0,56.0,800000,4.044485162047708,13.458802696686751,0.05257344803393262,28.23606199319239,0.11029711716090777,4.780923305863121,0.018675481663527817,5.358566122573535,10,256,0.21925355187500428,229,32,54,123,192,0.125,0.2109375,0.48046875,0.75,timm:resnet101.tv_in1k,timm/resnet101.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.8588299679171965,6.396798559611696,0.024987494373483188,10.951574653725908,0.04277958849111683,3.256705925609534,0.012721507521912243,5.860945457979036,10.0,256.0,0.2606195604280185,229.0,11.0,16.0,42.0,113.0,0.04296875,0.0625,0.1640625,0.44140625,195.3125,True
