layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,2244.409130589258,1.454418706671512,0.022725292291742374,2.2947830799441933,0.03585598562412802,1.21095978089007,0.018921246576407345,7.214705061349741,10,64,0.337172401073104,61,3,5,12,26,0.046875,0.078125,0.1875,0.40625,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,0.046875,0.078125,0.1875,0.40625,1.0,50000.0,520.0867121629318,1.1709052975406316,0.018295395274072368,1.38255248836921,0.021602382630768906,1.0841991933952018,0.016940612396800028,12.221759277645612,10.0,64.0,0.4415563662426273,53.0,1.0,2.0,3.0,3.0,0.015625,0.03125,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,93.1712081396453,9.312665685170773,0.14551040133079332,17.86737699693455,0.27917776557710233,3.764513065647524,0.05882051665074256,4.455928264980301,10,64,0.1665785336600487,60,20,29,46,56,0.3125,0.453125,0.71875,0.875,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,11.919123723089893,3.0126387696131838,0.047072480775205996,4.0464575839625185,0.06322589974941435,2.2191458035777423,0.03467415318090222,8.781567243845318,10.0,64.0,0.26030188478785454,60.0,3.0,5.0,10.0,24.0,0.046875,0.078125,0.15625,0.375,781.25,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,800000,26476.003172457124,4.850252816686885,0.07578520026073257,10.409486433775298,0.16264822552773903,2.3920673726577726,0.0373760526977777,2.5757394429769893,10,64,0.987071061631875,64,13,20,40,59,0.203125,0.3125,0.625,0.921875,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,0.203125,0.3125,0.625,0.921875,1.0,50000.0,4970.480600054959,2.510732658103409,0.03923019778286577,4.026828716228525,0.0629191986910707,1.6616006977778028,0.02596251090277817,5.047652216285027,10.0,64.0,0.9750655104439038,64.0,5.0,6.0,10.0,21.0,0.078125,0.09375,0.15625,0.328125,781.25,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,800000,12.086582204589508,4.469531774574161,0.06983643397772127,12.69368193707419,0.19833878026678423,2.2005788663794728,0.03438404478717926,1.974930164229199,10,64,0.9024419347509546,64,24,34,51,62,0.375,0.53125,0.796875,0.96875,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,1.7777945520515794,2.0500132972507257,0.03203145776954259,3.6133753794788444,0.05645899030435694,1.4757743436896618,0.023058974120150965,2.7181577212228474,10.0,64.0,0.9827265432636393,64.0,4.0,8.0,22.0,48.0,0.0625,0.125,0.34375,0.75,781.25,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,800000,1645.6615046594673,3.0380255718717892,0.04746914956049671,6.897417790259442,0.10777215297280378,1.8547640663086022,0.02898068853607191,2.0237683955474925,10,64,0.9576876892235289,64,13,23,45,61,0.203125,0.359375,0.703125,0.953125,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,0.203125,0.359375,0.703125,0.953125,1.0,50000.0,376.9853571095766,2.1338670925014926,0.03334167332033582,3.211609124059439,0.05018139256342873,1.5520988592527738,0.02425154467582459,4.622133360159326,10.0,64.0,0.908650420401099,64.0,3.0,5.0,12.0,29.0,0.046875,0.078125,0.1875,0.453125,781.25,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,800000,116.26274857207525,19.399991330601996,0.3031248645406562,31.231272019712268,0.4879886253080042,6.969841922235576,0.10890378003493087,1.7932542501656923,10,64,0.9190091311405632,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,13.469677673762371,5.524926612840843,0.08632697832563817,8.81488191569559,0.1377325299327436,2.933573856091253,0.04583709150142583,2.8851171147622434,10.0,64.0,0.9945553097367728,64.0,8.0,12.0,27.0,52.0,0.125,0.1875,0.421875,0.8125,781.25,True
layer1.0,block,6,64,1,False,,0,56.0,56.0,800000,116.42467965793055,19.42003432233239,0.3034380362864436,31.242347702378755,0.48816168284966804,6.993848978233787,0.10927889028490292,1.7907286332688706,10,64,0.9194558092694597,64,33,43,57,63,0.515625,0.671875,0.890625,0.984375,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,13.469677673762371,5.524926612840843,0.08632697832563817,8.81488191569559,0.1377325299327436,2.933573856091253,0.04583709150142583,2.8851171147622434,10.0,64.0,0.9945553097367728,64.0,8.0,12.0,27.0,52.0,0.125,0.1875,0.421875,0.8125,781.25,True
layer1.1.conv1,conv,7,64,1,False,64.0,0,56.0,56.0,800000,15267.360392033921,10.35964375274298,0.16186943363660905,18.58806121587062,0.29043845649797845,4.304729391647748,0.06726139674449606,2.127777613231937,10,64,0.9616254594122398,64,21,31,50,62,0.328125,0.484375,0.78125,0.96875,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,0.328125,0.484375,0.78125,0.96875,1.0,50000.0,2473.612037923769,4.643100700639595,0.07254844844749367,6.503944513995017,0.10162413303117214,2.8941639734758953,0.045221312085560864,4.892100085801403,10.0,64.0,0.96377879151216,64.0,6.0,8.0,15.0,29.0,0.09375,0.125,0.234375,0.453125,781.25,True
layer1.1.act1,act,8,64,1,False,,0,56.0,56.0,800000,41.069694826312144,22.164677514930716,0.34632308617079244,36.1541903320904,0.5649092239389125,7.432981822507088,0.11614034097667325,1.390705169805241,10,64,0.8613030395117955,64,39,48,59,63,0.609375,0.75,0.921875,0.984375,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,3.7679273351486966,5.030584227152437,0.07860287854925682,9.699914504221182,0.15156116412845597,2.5584667577657836,0.03997604309009037,2.4660636811744623,10.0,64.0,0.9835768283790052,64.0,11.0,18.0,38.0,58.0,0.171875,0.28125,0.59375,0.90625,781.25,True
layer1.1.conv2,conv,9,64,1,False,64.0,0,56.0,56.0,800000,5282.012142952176,3.14318192429881,0.04911221756716891,9.617240863500172,0.15026938849219018,1.7964763334168152,0.028069942709637738,1.6821315518224134,10,64,0.937743446440045,64,23,34,53,63,0.359375,0.53125,0.828125,0.984375,timm:resnet34.a1_in1k,timm/resnet34.a1_in1k,imagenet_val[50000],12500.0,True,0.359375,0.53125,0.828125,0.984375,1.0,50000.0,1138.5118052111125,1.6449501915112874,0.025702346742363866,2.963372144906967,0.04630268976417136,1.289619746998553,0.020150308546852392,4.8638647916708075,10.0,64.0,0.8977360428029444,64.0,4.0,7.0,19.0,34.0,0.0625,0.109375,0.296875,0.53125,781.25,True
