layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2131.0706044949393,1.3797910933729103,0.021559235833951723,2.1138059582973865,0.033028218098396664,1.177633585032044,0.01840052476612569,5.55407748207863,10,64,0.9173212507926235,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,1,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2131.0706044949393,1.3797910933729103,0.021559235833951723,2.1138059582973865,0.033028218098396664,1.177633585032044,0.01840052476612569,5.55407748207863,10,64,0.9173212507926235,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,2,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2131.0706044949393,1.3797910933729103,0.021559235833951723,2.1138059582973865,0.033028218098396664,1.177633585032044,0.01840052476612569,5.55407748207863,10,64,0.9173212507926235,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,5,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,2131.0706044949393,1.3797910933729103,0.021559235833951723,2.1138059582973865,0.033028218098396664,1.177633585032044,0.01840052476612569,5.55407748207863,10,64,0.9173212507926235,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,10,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,2321.778550520785,1.376956557679741,0.02151494621374595,2.098296038456122,0.0327858756008769,1.1765418071403033,0.01838346573656724,5.521955429155627,10,64,0.9176932056084799,64,3,5,11,23,0.046875,0.078125,0.171875,0.359375,25,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,2301.151833097675,1.3870674980919626,0.021672929657686916,2.132253579960153,0.033316462186877394,1.1808576644083113,0.018450901006379864,5.526517231880089,10,64,0.9200272980461428,64,3,5,11,23,0.046875,0.078125,0.171875,0.359375,50,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,2318.684483959495,1.4084890349856158,0.022007641171650247,2.1907881625234924,0.03423106503942957,1.1901875737095953,0.018596680839212426,5.497924670143099,10,64,0.9213246849692631,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,100,timm:resnet50.a1_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,2323.2662972619546,1.417725294759291,0.022151957730613923,2.223485862559111,0.03474196660248611,1.19412206894263,0.018658157327228593,5.498515138755334,10,64,0.9211378528213827,64,3,5,11,24,0.046875,0.078125,0.171875,0.375,250,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,280.5482959458323,1.2558255032047754,0.019622273487574615,1.902065983936047,0.029719780999000734,1.1215580610104101,0.017524344703287658,2.8981600948376225,10,64,0.9169839714970094,64,2,5,18,44,0.03125,0.078125,0.28125,0.6875,1,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,280.5482959458323,1.2558255032047754,0.019622273487574615,1.902065983936047,0.029719780999000734,1.1215580610104101,0.017524344703287658,2.8981600948376225,10,64,0.9169839714970094,64,2,5,18,44,0.03125,0.078125,0.28125,0.6875,2,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,280.5482959458323,1.2558255032047754,0.019622273487574615,1.902065983936047,0.029719780999000734,1.1215580610104101,0.017524344703287658,2.8981600948376225,10,64,0.9169839714970094,64,2,5,18,44,0.03125,0.078125,0.28125,0.6875,5,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,280.5482959458323,1.2558255032047754,0.019622273487574615,1.902065983936047,0.029719780999000734,1.1215580610104101,0.017524344703287658,2.8981600948376225,10,64,0.9169839714970094,64,2,5,18,44,0.03125,0.078125,0.28125,0.6875,10,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,295.2839580363714,1.2504553554687985,0.019538364929199976,1.8950383825077972,0.02960997472668433,1.1190493690006664,0.017485146390635413,2.84775392053741,10,64,0.8987078769355918,64,2,5,19,45,0.03125,0.078125,0.296875,0.703125,25,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,4096,294.0469049135139,1.240730285537307,0.019386410711520422,1.8728400936024843,0.029263126462538817,1.1145537882713317,0.017414902941739557,2.869014431172063,10,64,0.8906071216732354,64,2,5,19,45,0.03125,0.078125,0.296875,0.703125,50,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,7168,291.44503748178346,1.264754614536847,0.019761790852138233,1.9479627275458478,0.03043691761790387,1.125499255631871,0.017585925869247985,2.8191082768942843,10,64,0.8801863082428041,64,2,6,20,46,0.03125,0.09375,0.3125,0.71875,100,timm:resnet50.a1_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,292.2008043024594,1.2681450298953139,0.01981476609211428,1.9566165519618977,0.03057213362440465,1.1270567684869142,0.017610262007608034,2.7219842748403824,10,64,0.9222309331106598,64,2,6,20,46,0.03125,0.09375,0.3125,0.71875,250,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1286.8906443967264,2.5983177578978434,0.0405987149671538,4.532299163199533,0.0708171744249927,1.7089620828662726,0.02670253254478551,17.617265806375624,10,64,0.41673921937329395,52,6,9,17,28,0.09375,0.140625,0.265625,0.4375,1,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1286.8906443967264,2.5983177578978434,0.0405987149671538,4.532299163199533,0.0708171744249927,1.7089620828662726,0.02670253254478551,17.617265806375624,10,64,0.41673921937329395,52,6,9,17,28,0.09375,0.140625,0.265625,0.4375,2,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1286.8906443967264,2.5983177578978434,0.0405987149671538,4.532299163199533,0.0708171744249927,1.7089620828662726,0.02670253254478551,17.617265806375624,10,64,0.41673921937329395,52,6,9,17,28,0.09375,0.140625,0.265625,0.4375,5,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,1286.8906443967264,2.5983177578978434,0.0405987149671538,4.532299163199533,0.0708171744249927,1.7089620828662726,0.02670253254478551,17.617265806375624,10,64,0.41673921937329395,52,6,9,17,28,0.09375,0.140625,0.265625,0.4375,10,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,1446.4266449149357,2.5021625569635284,0.03909628995255513,4.399393970117241,0.06874053078308189,1.6651687946532188,0.026018262416456543,16.314080339525397,10,64,0.3970331230622869,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,25,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,4096,1421.6926171425912,2.64055060090307,0.04125860313911047,4.627601969991326,0.07230628078111447,1.724021277949126,0.026937832467955093,17.391198302633676,10,64,0.4178357400238495,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,50,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,7168,1441.0488803830535,2.7429631274889785,0.04285879886701529,4.8015965680673345,0.0750249463760521,1.7708611069025475,0.027669704795352305,18.181914355704098,10,64,0.4387036173349126,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,100,timm:resnet50.a1_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,1460.1884586278159,2.7839070228920266,0.043498547232687916,4.855828311300877,0.07587231736407621,1.7943635752972267,0.028036930864019167,17.83615086456374,10,64,0.4406211747755544,52,6,9,17,29,0.09375,0.140625,0.265625,0.453125,250,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,81.46100830926925,1.3791184801716698,0.02154872625268234,2.0771678310964186,0.03245574736088154,1.179193970273287,0.01842490578552011,18.049290765126536,10,64,0.27235494304629715,51,2,3,15,38,0.03125,0.046875,0.234375,0.59375,1,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,81.46100830926925,1.3791184801716698,0.02154872625268234,2.0771678310964186,0.03245574736088154,1.179193970273287,0.01842490578552011,18.049290765126536,10,64,0.27235494304629715,51,2,3,15,38,0.03125,0.046875,0.234375,0.59375,2,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,81.46100830926925,1.3791184801716698,0.02154872625268234,2.0771678310964186,0.03245574736088154,1.179193970273287,0.01842490578552011,18.049290765126536,10,64,0.27235494304629715,51,2,3,15,38,0.03125,0.046875,0.234375,0.59375,5,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,81.46100830926925,1.3791184801716698,0.02154872625268234,2.0771678310964186,0.03245574736088154,1.179193970273287,0.01842490578552011,18.049290765126536,10,64,0.27235494304629715,51,2,3,15,38,0.03125,0.046875,0.234375,0.59375,10,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,2048,88.73624738713794,1.3768342240653384,0.021513034751020912,2.063848016642473,0.03224762526003864,1.1784345262185387,0.018413039472164668,16.888074603113903,10,64,0.24318691730076714,51,2,3,15,39,0.03125,0.046875,0.234375,0.609375,25,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,4096,84.64594191341884,1.4289325819635508,0.02232707159318048,2.193375191785251,0.034271487371644545,1.202039073394211,0.018781860521784547,16.952286965952602,10,64,0.24421755479023666,51,2,4,16,39,0.03125,0.0625,0.25,0.609375,50,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,7168,84.52166941824949,1.4541681290333102,0.02272137701614547,2.245271956776918,0.03508237432463934,1.2137316186045775,0.018964556540696523,16.958765746516264,10,64,0.2462672907188055,51,2,4,16,40,0.03125,0.0625,0.25,0.625,100,timm:resnet50.a1_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,16384,83.442918253613,1.481105664721686,0.023142276011276344,2.3085842232420624,0.036071628488157224,1.2260479059342877,0.019156998530223245,14.064633297634218,10,64,0.2279957705355129,51,2,4,17,40,0.03125,0.0625,0.265625,0.625,250,timm:resnet50.a1_in1k
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,1024,3236.578240507391,1.9003790013923718,0.02969342189675581,3.8254100731202403,0.059772032392503754,1.389124019305381,0.02170506280164658,34.923811988055924,10,64,0.5664575243100365,44,6,11,21,33,0.09375,0.171875,0.328125,0.515625,1,timm:resnet50.a1_in1k
