layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,71.04418406108952,2.603308334179284,0.04067669272155131,5.276101531355312,0.08243908642742676,1.653879833799667,0.025841872403119796,6.088872280607605,10,64,0.9183208012395534,64,7,11,21,33,0.109375,0.171875,0.328125,0.515625,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,71.04418406108952,2.603308334179284,0.04067669272155131,5.276101531355312,0.08243908642742676,1.653879833799667,0.025841872403119796,6.088872280607605,10,64,0.9183208012395534,64,7,11,21,33,0.109375,0.171875,0.328125,0.515625,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,71.04418406108952,2.603308334179284,0.04067669272155131,5.276101531355312,0.08243908642742676,1.653879833799667,0.025841872403119796,6.088872280607605,10,64,0.9183208012395534,64,7,11,21,33,0.109375,0.171875,0.328125,0.515625,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,71.04418406108952,2.603308334179284,0.04067669272155131,5.276101531355312,0.08243908642742676,1.653879833799667,0.025841872403119796,6.088872280607605,10,64,0.9183208012395534,64,7,11,21,33,0.109375,0.171875,0.328125,0.515625,10,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,77.4147247994876,2.5818230752660614,0.04034098555103221,5.193254298412643,0.08114459841269754,1.6484668974066854,0.02575729527197946,6.098035672502421,10,64,0.9178976899606842,64,7,11,21,33,0.109375,0.171875,0.328125,0.515625,25,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,77.64890901214515,2.648745121167758,0.04138664251824622,5.366174623376559,0.08384647849025874,1.670659831978034,0.02610405987465678,6.1262050709465585,10,64,0.918827509226602,64,8,11,21,33,0.125,0.171875,0.328125,0.515625,50,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,79.02616069770077,2.7308792779536817,0.042669988718026276,5.555286251685552,0.08680134768258675,1.698685227434826,0.026541956678669158,6.0831375898999305,10,64,0.9190846426217321,64,8,12,21,33,0.125,0.1875,0.328125,0.515625,100,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,79.92288478192121,2.794084735897391,0.04365757399839673,5.724995532588659,0.0894530551966978,1.7194569772992978,0.026866515270301528,6.071651360722802,10,64,0.9204044298420193,64,8,12,22,33,0.125,0.1875,0.34375,0.515625,250,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,107.78454419804454,3.7000300520349048,0.05781296956304539,9.867957737836017,0.15418683965368776,1.973562842992564,0.030836919421758813,2.96845540797526,10,64,0.8384300716738655,64,16,24,41,58,0.25,0.375,0.640625,0.90625,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,107.78454419804454,3.7000300520349048,0.05781296956304539,9.867957737836017,0.15418683965368776,1.973562842992564,0.030836919421758813,2.96845540797526,10,64,0.8384300716738655,64,16,24,41,58,0.25,0.375,0.640625,0.90625,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,107.78454419804454,3.7000300520349048,0.05781296956304539,9.867957737836017,0.15418683965368776,1.973562842992564,0.030836919421758813,2.96845540797526,10,64,0.8384300716738655,64,16,24,41,58,0.25,0.375,0.640625,0.90625,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,107.78454419804454,3.7000300520349048,0.05781296956304539,9.867957737836017,0.15418683965368776,1.973562842992564,0.030836919421758813,2.96845540797526,10,64,0.8384300716738655,64,16,24,41,58,0.25,0.375,0.640625,0.90625,10,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,113.40000648427281,3.682376797839056,0.05753713746623525,9.943217255423235,0.15536276961598805,1.9670500563611613,0.030735157130643145,2.8488454569208708,10,64,0.8371037456198076,64,17,25,42,59,0.265625,0.390625,0.65625,0.921875,25,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,4096,112.88083903802854,3.6457038965169764,0.056964123383077755,9.894759378749354,0.15460561529295866,1.9553147006748792,0.030551792198044988,2.817567263583384,10,64,0.8420274347260603,64,17,25,43,59,0.265625,0.390625,0.671875,0.921875,50,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,7168,114.35576882955156,3.8526250830691784,0.06019726692295591,10.440259354023517,0.16312905240661746,2.015868349772965,0.03149794296520258,2.7792336110185345,10,64,0.8397259243427734,64,17,25,43,59,0.265625,0.390625,0.671875,0.921875,100,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,113.92859134656324,3.819864224694429,0.059685378510850456,10.403554745930851,0.16255554290516955,2.00590939802158,0.03134233434408719,2.721482802426891,10,64,0.8334051177290017,64,17,26,44,60,0.265625,0.40625,0.6875,0.9375,250,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,54.88505764510972,2.8924889004456174,0.04519513906946277,5.374441590094827,0.08397564984523168,1.8008908738882559,0.028138919904503998,5.7929365981711305,10,64,0.8454483628120419,64,7,10,19,34,0.109375,0.15625,0.296875,0.53125,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,54.88505764510972,2.8924889004456174,0.04519513906946277,5.374441590094827,0.08397564984523168,1.8008908738882559,0.028138919904503998,5.7929365981711305,10,64,0.8454483628120419,64,7,10,19,34,0.109375,0.15625,0.296875,0.53125,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,54.88505764510972,2.8924889004456174,0.04519513906946277,5.374441590094827,0.08397564984523168,1.8008908738882559,0.028138919904503998,5.7929365981711305,10,64,0.8454483628120419,64,7,10,19,34,0.109375,0.15625,0.296875,0.53125,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,1024,54.88505764510972,2.8924889004456174,0.04519513906946277,5.374441590094827,0.08397564984523168,1.8008908738882559,0.028138919904503998,5.7929365981711305,10,64,0.8454483628120419,64,7,10,19,34,0.109375,0.15625,0.296875,0.53125,10,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,2048,62.571914595942964,2.8219169420191905,0.04409245221904985,5.2758615659632095,0.08243533696817515,1.7708869233880662,0.027670108177938534,5.789324518751186,10,64,0.8424731236992127,64,7,10,19,34,0.109375,0.15625,0.296875,0.53125,25,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,4096,61.76370402587514,2.990471846525482,0.04672612260196066,5.56949151741964,0.08702330495968187,1.8359209241880217,0.02868626444043784,5.7767397268924885,10,64,0.8422080227234748,64,7,10,20,34,0.109375,0.15625,0.3125,0.53125,50,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,7168,63.07271908807576,3.1385745355128463,0.04904022711738822,5.799280263896884,0.09061375412338882,1.8974299642395231,0.02964734319124255,5.7483398313895115,10,64,0.8389987651124711,64,7,10,20,34,0.109375,0.15625,0.3125,0.53125,100,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,16384,64.07378905048253,3.187115917837663,0.049798686216213486,5.855521659525682,0.09149252593008877,1.922857731750028,0.030044652058594187,5.747574452402788,10,64,0.8379253498762198,64,7,10,20,35,0.109375,0.15625,0.3125,0.546875,250,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,33.90991286669774,4.071921453564547,0.06362377271194605,10.297036854723078,0.1608912008550481,2.1032241703243733,0.03286287766131833,2.648755443637409,10,64,0.8009633888309604,64,16,25,44,58,0.25,0.390625,0.6875,0.90625,1,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,33.90991286669774,4.071921453564547,0.06362377271194605,10.297036854723078,0.1608912008550481,2.1032241703243733,0.03286287766131833,2.648755443637409,10,64,0.8009633888309604,64,16,25,44,58,0.25,0.390625,0.6875,0.90625,2,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,1024,33.90991286669774,4.071921453564547,0.06362377271194605,10.297036854723078,0.1608912008550481,2.1032241703243733,0.03286287766131833,2.648755443637409,10,64,0.8009633888309604,64,16,25,44,58,0.25,0.390625,0.6875,0.90625,5,timm:resnet50.fb_ssl_yfcc100m_ft_in1k
