layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,78.3047103921732,2.757517788947531,0.04308621545230517,5.686292919118769,0.08884832686123077,1.7054938516085043,0.02664834143138288,6.071740442321882,10,64,0.9186522414429487,64,8,12,22,33,0.125,0.1875,0.34375,0.515625,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,0.125,0.1875,0.34375,0.515625,1.0,50000.0,15.568544545325302,1.6296385237241309,0.025463101933189545,2.01625506784409,0.03150398543506391,1.3103250046135906,0.020473828197087353,9.318232308006465,10.0,64.0,0.9782753714231547,55.0,2.0,3.0,3.0,3.0,0.03125,0.046875,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,111.72675586761176,3.806644251744383,0.059478816433505985,10.40761756939004,0.16261902452171936,2.0017036297093154,0.03127661921420805,2.6952747101930634,10,64,0.8307924191562328,64,18,26,44,60,0.28125,0.40625,0.6875,0.9375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,19.160290795960126,1.7128351616110717,0.026763049400172996,2.5134788018490433,0.0392731062788913,1.3329583794942526,0.020827474679597696,4.56226374843645,10.0,64.0,0.902384431794456,64.0,3.0,4.0,7.0,20.0,0.046875,0.0625,0.109375,0.3125,781.25,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,800000,63.367351101982216,3.17815379765067,0.04965865308829172,5.824357804958771,0.0910055907024808,1.924962135019971,0.030077533359687048,5.737312163625678,10,64,0.8386580948006565,64,7,10,20,35,0.109375,0.15625,0.3125,0.546875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,0.109375,0.15625,0.3125,0.546875,1.0,50000.0,13.392830070213355,1.907999250757386,0.029812488293084156,2.656912112347711,0.04151425175543298,1.450639308152955,0.02266623918988992,7.153951285854704,10.0,64.0,0.8380487895937498,64.0,2.0,4.0,7.0,19.0,0.03125,0.0625,0.109375,0.296875,781.25,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,800000,37.75529478326219,4.734035316102591,0.07396930181410298,11.81177724342195,0.18455901942846797,2.3096996991836383,0.03608905779974435,2.514021899377776,10,64,0.8120184526574767,64,18,27,47,59,0.28125,0.421875,0.734375,0.921875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,6.872995765008226,2.1352637404787154,0.03336349594497993,3.6987281383477275,0.05779262716168324,1.5075070288444572,0.023554797325694644,3.0849179256656667,10.0,64.0,0.9384812837235513,64.0,4.0,7.0,18.0,43.0,0.0625,0.109375,0.28125,0.671875,781.25,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,800000,89.72309723370516,4.930823353954186,0.07704411490553416,9.976424078276148,0.1558816262230648,2.485509288704106,0.038836082636001655,3.0883614976883145,10,64,0.9688804199492124,63,13,19,35,54,0.203125,0.296875,0.546875,0.84375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,0.203125,0.296875,0.546875,0.84375,1.0,50000.0,13.11396861787074,1.5388851764401894,0.02404508088187796,2.2135153305785136,0.034586177040289275,1.2605691966648223,0.019696393697887848,4.785957573759989,10.0,64.0,0.9476456663195809,63.0,2.0,3.0,10.0,23.0,0.03125,0.046875,0.15625,0.359375,781.25,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,800000,54.3382838212402,1.9508808953948773,0.030482513990544958,4.9145980378834855,0.07679059434192946,1.4017686943721752,0.021902635849565238,3.911773510619898,10,64,0.12595832048429723,63,14,23,45,60,0.21875,0.359375,0.703125,0.9375,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,11.784705373012379,1.154575309241797,0.018040239206903078,1.4974353054295562,0.023397426647336815,1.0752703072953873,0.016801098551490427,5.054006916839062,10.0,64.0,0.2395104485650823,63.0,1.0,2.0,10.0,27.0,0.015625,0.03125,0.15625,0.421875,781.25,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,800000,107.16545570365466,1.1386828121439339,0.004447979734937242,1.5233087689820057,0.00595042487883596,1.0672800703013525,0.004169062774614658,17.651799249979327,10,256,0.48701667308502217,138,1,3,15,35,0.00390625,0.01171875,0.05859375,0.13671875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],3125.0,True,0.015625,0.046875,0.234375,0.546875,0.25,50000.0,28.88373101825506,1.033354738932597,0.004036541948955457,1.110918704638002,0.004339526189992195,1.0166125391889753,0.003971142731206935,16.02898282065444,10.0,256.0,0.40260623938632134,139.0,1.0,1.0,2.0,9.0,0.00390625,0.00390625,0.0078125,0.03515625,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,800000,417.4601559170043,1.5866594538924454,0.006197888491767365,2.77887814323485,0.010854992747011133,1.2686134397729325,0.004955521249113018,16.83169014966137,10,256,0.49494042792538917,139,3,8,21,42,0.01171875,0.03125,0.08203125,0.1640625,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],3125.0,True,0.046875,0.125,0.328125,0.65625,0.25,50000.0,108.38515446033459,1.3825535196441723,0.005400599686110048,1.943988307987719,0.007593704328077027,1.1832858935419626,0.004622210521648291,16.90585236171835,10.0,256.0,0.43295553807060483,140.0,2.0,3.0,7.0,17.0,0.0078125,0.01171875,0.02734375,0.06640625,195.3125,True
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,800000,112.96856146378573,33.295620172238806,0.13006101629780784,60.35153303655087,0.23574817592402683,11.325910058617293,0.0442418361664738,6.382668116373575,10,256,0.12946645506694132,218,68,101,164,203,0.265625,0.39453125,0.640625,0.79296875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,11.925592173941268,8.767614149159925,0.03424849277015596,15.714640860496397,0.06138531586131405,3.958565965246524,0.015463148301744235,8.176455779376239,10.0,256.0,0.17384149917066538,218.0,15.0,26.0,65.0,145.0,0.05859375,0.1015625,0.25390625,0.56640625,195.3125,True
layer1.0,block,9,256,1,False,,0,56.0,56.0,800000,113.19846101421595,33.313934728954166,0.1301325575349772,60.38001101556694,0.23585941802955837,11.347389477639727,0.04432574014703018,7.189918197945928,10,256,0.14574545043324305,218,68,101,164,203,0.265625,0.39453125,0.640625,0.79296875,timm:resnet50.fb_ssl_yfcc100m_ft_in1k,timm/resnet50.fb_ssl_yfcc100m_ft_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,11.925592173941268,8.767614149159925,0.03424849277015596,15.714640860496397,0.06138531586131405,3.958565965246524,0.015463148301744235,8.176455779376239,10.0,256.0,0.17384149917066538,218.0,15.0,26.0,65.0,145.0,0.05859375,0.1015625,0.25390625,0.56640625,195.3125,True
