layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,162.93445977950248,2.221626347674893,0.0347129116824202,4.266568782934617,0.06666513723335339,1.5180382035992168,0.023719346931237763,6.013368914996551,10,64,0.9078330246413207,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,1,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,162.93445977950248,2.221626347674893,0.0347129116824202,4.266568782934617,0.06666513723335339,1.5180382035992168,0.023719346931237763,6.013368914996551,10,64,0.9078330246413207,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,2,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,162.93445977950248,2.221626347674893,0.0347129116824202,4.266568782934617,0.06666513723335339,1.5180382035992168,0.023719346931237763,6.013368914996551,10,64,0.9078330246413207,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,5,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,162.93445977950248,2.221626347674893,0.0347129116824202,4.266568782934617,0.06666513723335339,1.5180382035992168,0.023719346931237763,6.013368914996551,10,64,0.9078330246413207,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,10,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,177.42805966607153,2.21186436022258,0.03456038062847781,4.214475585618279,0.06585118102528562,1.5162072239090845,0.023690737873579445,6.023577805567492,10,64,0.9058814732310687,64,6,9,18,31,0.09375,0.140625,0.28125,0.484375,25,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,176.0813446456359,2.2468522895726912,0.0351070670245733,4.344085766079217,0.06787634009498776,1.526600029577756,0.023853125462152437,6.0399439836364435,10,64,0.9064076601417792,64,6,9,19,31,0.09375,0.140625,0.296875,0.484375,50,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,178.9420101429898,2.315880235212346,0.036185628675192906,4.507485757101049,0.0704294649547039,1.5514117827982286,0.02424080910622232,5.988892677507263,10,64,0.9062844620055525,64,6,9,19,32,0.09375,0.140625,0.296875,0.5,100,timm:resnet50.gluon_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,179.82964720130667,2.3487364239615585,0.03669900662439935,4.626009356668901,0.07228139619795158,1.5618306562576352,0.02440360400402555,5.980309191889406,10,64,0.9071217003511358,64,6,10,19,32,0.09375,0.15625,0.296875,0.5,250,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,71.93222087522642,2.4638425824388177,0.03849754035060653,6.2405329625871095,0.09750832754042359,1.5860628709781097,0.024782232359032964,2.836641393098299,10,64,0.9105515874555115,64,13,20,38,56,0.203125,0.3125,0.59375,0.875,1,timm:resnet50.gluon_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,71.93222087522642,2.4638425824388177,0.03849754035060653,6.2405329625871095,0.09750832754042359,1.5860628709781097,0.024782232359032964,2.836641393098299,10,64,0.9105515874555115,64,13,20,38,56,0.203125,0.3125,0.59375,0.875,2,timm:resnet50.gluon_in1k
