layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,175.8931173153813,2.3145554905942474,0.036164929540535115,4.585854813569086,0.07165398146201697,1.548221922598472,0.024190967540601124,5.979160195604395,10,64,0.9070038889670896,64,6,10,19,32,0.09375,0.15625,0.296875,0.5,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,0.09375,0.15625,0.296875,0.5,1.0,50000.0,39.66090140821082,1.6620802190729673,0.025970003423015114,2.060645771980449,0.032197590187194515,1.3240642819663113,0.020688504405723614,8.81889294106981,10.0,64.0,0.9847046259642405,55.0,2.0,3.0,3.0,3.0,0.03125,0.046875,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,74.57318436161819,2.54483015889859,0.03976297123279047,6.640495115553595,0.10375773618052492,1.6122963086799322,0.02519212982312394,2.5723576360454463,10,64,0.901419745800436,64,14,21,42,58,0.21875,0.328125,0.65625,0.90625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,14.490310257108892,1.4062988603991866,0.02197341969373729,1.982635346801403,0.030978677293771923,1.1929509716660636,0.018639858932282243,4.309624804643254,10.0,64.0,0.9296837655664233,64.0,2.0,3.0,7.0,20.0,0.03125,0.046875,0.109375,0.3125,781.25,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,800000,77.18397497853147,2.876315864467525,0.04494243538230508,5.1482015599182205,0.0804406493737222,1.8023320183661766,0.02816143778697151,6.331752692172278,10,64,0.9009078368561593,64,7,10,16,27,0.109375,0.15625,0.25,0.421875,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,0.109375,0.15625,0.25,0.421875,1.0,50000.0,19.767672439174067,2.4003866879663347,0.03750604199947398,3.3843402799484625,0.05288031687419473,1.6430631744176163,0.025672862100275255,7.303488656294493,10.0,64.0,0.8642398873995136,64.0,4.0,4.0,6.0,13.0,0.0625,0.0625,0.09375,0.203125,781.25,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,800000,29.8033703245922,2.7884941986878053,0.04357022185449696,6.634556774819184,0.10366494960654975,1.7093527702194853,0.026708637034679458,2.4846068293300236,10,64,0.9683379049004861,64,11,19,39,58,0.171875,0.296875,0.609375,0.90625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,7.430128637842547,2.15825961688348,0.033722806513804375,3.4830605013026026,0.054422820332853165,1.5150938002935468,0.02367334062958667,2.997616223723211,10.0,64.0,0.977683280594484,64.0,4.0,5.0,13.0,37.0,0.0625,0.078125,0.203125,0.578125,781.25,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,800000,170.74643382722834,2.878571589887478,0.04497768109199184,5.560963096815795,0.08689004838774679,1.7863496687266556,0.027911713573853993,4.412892121502812,10,64,0.9691172846927958,64,8,13,22,39,0.125,0.203125,0.34375,0.609375,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,0.125,0.203125,0.34375,0.609375,1.0,50000.0,30.54609824165709,1.2053455821555215,0.018833524721180023,1.6024221161705234,0.02503784556516443,1.099148834978652,0.017174200546541438,5.581844118374498,10.0,64.0,0.9675250503346462,64.0,1.0,3.0,7.0,16.0,0.015625,0.046875,0.109375,0.25,781.25,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,800000,41.05822135951905,1.6324899836120463,0.025507655993938224,3.464920603013517,0.054139384422086205,1.2804447986634644,0.02000694997911663,2.748139896992209,10,64,0.9298282018164156,64,9,16,34,55,0.140625,0.25,0.53125,0.859375,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,9.716811265791492,1.1014716724117357,0.01721049488143337,1.3492051264567546,0.02108133010088679,1.0497133865775703,0.016401771665274536,3.219588112727936,10.0,64.0,0.943862613813729,64.0,1.0,1.0,6.0,25.0,0.015625,0.015625,0.09375,0.390625,781.25,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,800000,186.84363944308694,1.07846242251623,0.004212743837954024,1.297864656247344,0.005069783813466187,1.0385605017533106,0.0040568769599738696,11.994807125389483,10,256,0.5568585311190828,147,1,1,10,21,0.00390625,0.00390625,0.0390625,0.08203125,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],3125.0,True,0.015625,0.015625,0.15625,0.328125,0.25,50000.0,52.143280513283464,1.0106250827826673,0.003947754229619794,1.043965477197254,0.004077990145301773,1.005301739660189,0.003926959920547614,9.956431581346372,10.0,256.0,0.36780260712219104,147.0,1.0,1.0,1.0,5.0,0.00390625,0.00390625,0.00390625,0.01953125,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,800000,527.8183620606502,1.4296765646034988,0.005584674080482417,2.27816213974176,0.00889907085836625,1.2011475895751331,0.004691982771777864,11.199688998448572,10,256,0.8160788993514054,146,2,5,17,33,0.0078125,0.01953125,0.06640625,0.12890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],3125.0,True,0.03125,0.078125,0.265625,0.515625,0.25,50000.0,139.10069639728687,1.262201053169146,0.004930472863941977,1.6753935702415392,0.006544506133756013,1.1272327568838894,0.004403252956577693,10.991098074905917,10.0,256.0,0.560335476079266,148.0,2.0,2.0,7.0,13.0,0.0078125,0.0078125,0.02734375,0.05078125,195.3125,True
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,800000,56.62400453226613,25.809835168645172,0.1008196686275202,48.54013990904874,0.18960992151972164,8.6684922250723,0.033861297754188675,4.2646352847669196,10,256,0.23368536723292554,239,53,83,149,202,0.20703125,0.32421875,0.58203125,0.7890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,6.24228565052367,6.92062544765181,0.027033693154889883,13.606564256281578,0.05315064162609991,3.1234338064625407,0.0122009133064943,5.037710078286977,10.0,256.0,0.23223436549623333,239.0,13.0,23.0,61.0,139.0,0.05078125,0.08984375,0.23828125,0.54296875,195.3125,True
layer1.0,block,9,256,1,False,,0,56.0,56.0,800000,56.728008498744515,25.8322372627338,0.1009071768075539,48.569330380724985,0.18972394679970697,8.687115440521476,0.033934044689537014,5.184002356454549,10,256,0.17155899993387025,239,53,83,149,202,0.20703125,0.32421875,0.58203125,0.7890625,timm:resnet50.gluon_in1k,timm/resnet50.gluon_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,6.24228565052367,6.92062544765181,0.027033693154889883,13.606564256281578,0.05315064162609991,3.1234338064625407,0.0122009133064943,5.037710078286977,10.0,256.0,0.23223436549623333,239.0,13.0,23.0,61.0,139.0,0.05078125,0.08984375,0.23828125,0.54296875,195.3125,True
