layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,547.0600469594826,2.623477505258522,0.040991836019664406,5.126075752644294,0.08009493363506709,1.6664439949298249,0.026038187420778514,5.823791831553109,10,64,0.913502638802886,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,1,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,547.0600469594826,2.623477505258522,0.040991836019664406,5.126075752644294,0.08009493363506709,1.6664439949298249,0.026038187420778514,5.823791831553109,10,64,0.913502638802886,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,2,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,547.0600469594826,2.623477505258522,0.040991836019664406,5.126075752644294,0.08009493363506709,1.6664439949298249,0.026038187420778514,5.823791831553109,10,64,0.913502638802886,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,5,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,547.0600469594826,2.623477505258522,0.040991836019664406,5.126075752644294,0.08009493363506709,1.6664439949298249,0.026038187420778514,5.823791831553109,10,64,0.913502638802886,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,10,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,592.4350041954491,2.597213165646306,0.04058145571322353,5.047842869814299,0.07887254484084842,1.6589682447115826,0.025921378823618477,5.811078850463601,10,64,0.9138508336044122,64,6,10,20,33,0.09375,0.15625,0.3125,0.515625,25,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,590.547298910562,2.6504857581147516,0.041413839970542994,5.204069846607228,0.08131359135323794,1.6751078552785936,0.026173560238728025,5.833804879926185,10,64,0.9180204828924571,64,7,11,20,33,0.109375,0.171875,0.3125,0.515625,50,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,601.9695700065552,2.734255425192871,0.042722741018638606,5.379751156078029,0.08405861181371921,1.7042643618402216,0.026629130653753462,5.807501418090671,10,64,0.919147589772821,64,7,11,20,33,0.109375,0.171875,0.3125,0.515625,100,timm:resnet50.tv2_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,607.7421513537588,2.7909516793079057,0.043608619989186026,5.531794623411948,0.0864342909908117,1.7229156278027342,0.026920556684417722,5.8010862229287365,10,64,0.9198632084462476,64,7,11,20,34,0.109375,0.171875,0.3125,0.53125,250,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,324.067084408459,2.799898005833976,0.04374840634115588,7.239888923495206,0.1131232644296126,1.7000715462025269,0.026563617909414482,2.453491628405317,10,64,0.8715110125866592,64,13,22,43,59,0.203125,0.34375,0.671875,0.921875,1,timm:resnet50.tv2_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,324.067084408459,2.799898005833976,0.04374840634115588,7.239888923495206,0.1131232644296126,1.7000715462025269,0.026563617909414482,2.453491628405317,10,64,0.8715110125866592,64,13,22,43,59,0.203125,0.34375,0.671875,0.921875,2,timm:resnet50.tv2_in1k
