layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,593.8147663678766,2.7481340151050526,0.04293959398601645,5.490450352508271,0.08578828675794173,1.706298702593211,0.026660917228018922,5.80130300804721,10,64,0.9197370402303389,64,7,11,20,34,0.109375,0.171875,0.3125,0.53125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,0.109375,0.171875,0.3125,0.53125,1.0,50000.0,124.60300464852284,1.7741104777743784,0.027720476215224662,2.1831536042230484,0.03411177506598513,1.3794644885422391,0.021554132633472486,8.442176552984481,10.0,64.0,0.9816437588508188,57.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,334.9207287251216,2.8803233071703556,0.045005051674536806,7.716422540955989,0.12056910220243733,1.7235001130508991,0.0269296892664203,2.2182924913104847,10,64,0.8557980272538483,64,15,24,47,60,0.234375,0.375,0.734375,0.9375,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,65.96834746138201,1.6345862816379062,0.025540410650592284,2.293696547680036,0.035839008557500565,1.3017855205376354,0.020340398758400553,4.622309939602277,10.0,64.0,0.9555440112537477,64.0,3.0,3.0,7.0,19.0,0.046875,0.046875,0.109375,0.296875,781.25,True
layer1.0.conv1,conv,2,64,1,False,64.0,0,56.0,56.0,800000,2142.845366118842,3.264180860876911,0.05100282595120174,5.713291405614766,0.08927017821273071,2.0658671832981788,0.03227917473903404,5.855190353867644,10,64,0.8130185331993749,64,8,11,21,36,0.125,0.171875,0.328125,0.5625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,0.125,0.171875,0.328125,0.5625,1.0,50000.0,524.7717561566271,2.495389702073344,0.038990464094896,3.466556979021517,0.0541649527972112,1.7869270976736882,0.027920735901151378,6.894923586939978,10.0,64.0,0.8185830120198461,64.0,3.0,5.0,8.0,16.0,0.046875,0.078125,0.125,0.25,781.25,True
layer1.0.act1,act,3,64,1,False,,0,56.0,56.0,800000,65.97413219047525,4.737890829297242,0.0740295442077694,12.374233928407635,0.1933474051313693,2.3284648492623616,0.0363822632697244,2.0140004112800236,10,64,0.9113334894400511,64,21,31,51,62,0.328125,0.484375,0.796875,0.96875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,14.940406587631099,2.956930541564169,0.04620203971194014,5.085271484170335,0.07945736694016148,1.86296741282498,0.029108865825390313,3.007795416733447,10.0,64.0,0.9760619291783772,64.0,6.0,8.0,20.0,46.0,0.09375,0.125,0.3125,0.71875,781.25,True
layer1.0.conv2,conv,4,64,1,False,64.0,0,56.0,56.0,800000,1281.7419416559892,3.149481341228041,0.04921064595668814,7.149131577002859,0.11170518089066968,1.8365359469988818,0.028695874171857528,3.1517443289387286,10,64,0.9318413671963173,64,11,18,34,52,0.171875,0.28125,0.53125,0.8125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,0.171875,0.28125,0.53125,0.8125,1.0,50000.0,268.7072935727405,1.744267092425728,0.027254173319152,2.8584774336605387,0.04466370990094592,1.3364395207378315,0.020881867511528616,5.282305933855902,10.0,64.0,0.9568001654191979,64.0,4.0,5.0,11.0,23.0,0.0625,0.078125,0.171875,0.359375,781.25,True
layer1.0.act2,act,5,64,1,False,,0,56.0,56.0,800000,127.6638420202151,1.5337927920072727,0.023965512375113636,3.230585668576558,0.05047790107150872,1.2399484142874062,0.019374193973240722,2.3263512388068155,10,64,0.8014687410376871,64,9,20,41,57,0.140625,0.3125,0.640625,0.890625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,32.13268816572151,1.197639964494175,0.018713124445221486,1.6474475983646413,0.02574136872444752,1.0952146837353751,0.017112729433365236,3.262688375552471,10.0,64.0,0.9635454118880944,64.0,1.0,3.0,12.0,33.0,0.015625,0.046875,0.1875,0.515625,781.25,True
layer1.0.conv3,conv,6,256,1,False,64.0,0,56.0,56.0,800000,2531.956000131801,1.0595483269925683,0.00413886065231472,1.2432963633101524,0.004856626419180283,1.0293746540907083,0.004020994742541829,11.052780675929945,10,256,0.6669793585643955,154,1,1,10,32,0.00390625,0.00390625,0.0390625,0.125,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],3125.0,True,0.015625,0.015625,0.15625,0.5,0.25,50000.0,706.6596359075304,1.0202287874209517,0.0039852687008630925,1.0815974872310565,0.004224990184496315,1.0100721700601403,0.003945594414297423,9.329294677359753,10.0,256.0,0.6949140777813405,155.0,1.0,1.0,1.0,11.0,0.00390625,0.00390625,0.00390625,0.04296875,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,800000,10766.269405994188,1.3970695003745455,0.005457302735838068,2.2913550162066225,0.00895060553205712,1.1854904441276852,0.00463082204737377,11.280911958841557,10,256,0.7014339966775378,155,2,7,22,42,0.0078125,0.02734375,0.0859375,0.1640625,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],3125.0,True,0.03125,0.109375,0.34375,0.65625,0.25,50000.0,2891.5954696845943,1.27261929871271,0.004971169135596524,1.7277323919270489,0.006748954655965035,1.1310657694436703,0.004418225661889337,9.561048835814194,10.0,256.0,0.747575131193249,154.0,2.0,3.0,7.0,16.0,0.0078125,0.01171875,0.02734375,0.0625,195.3125,True
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,800000,168.33239594235252,32.312755988965144,0.1262217030818951,62.871825751326234,0.2455930693411181,12.118117994598908,0.047336398416401984,2.563543292535686,10,256,0.19445332954568229,249,75,113,188,235,0.29296875,0.44140625,0.734375,0.91796875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,21.502589240906943,9.509815530155349,0.03714771691466933,17.02452920493882,0.06650206720679226,4.577061014276236,0.017879144587016546,3.64474463035496,10.0,256.0,0.3292345037063815,249.0,17.0,28.0,69.0,153.0,0.06640625,0.109375,0.26953125,0.59765625,195.3125,True
layer1.0,block,9,256,1,False,,0,56.0,56.0,800000,168.6470363484286,32.30326846155108,0.1261846424279339,62.86287121993366,0.24555809070286586,12.142776563105645,0.04743272094963143,2.5688349466478324,10,256,0.19422634450431664,249,75,113,188,235,0.29296875,0.44140625,0.734375,0.91796875,timm:resnet50.tv2_in1k,timm/resnet50.tv2_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,21.502589240906943,9.509815530155349,0.03714771691466933,17.02452920493882,0.06650206720679226,4.577061014276236,0.017879144587016546,3.64474463035496,10.0,256.0,0.3292345037063815,249.0,17.0,28.0,69.0,153.0,0.06640625,0.109375,0.26953125,0.59765625,195.3125,True
