layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,172.44752868622797,3.292366694626256,0.05144322960353525,5.310902289951223,0.08298284828048785,2.0181553606227984,0.031533677509731226,9.037893253600043,10,64,0.43038740123245056,62,5,8,16,28,0.078125,0.125,0.25,0.4375,1,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,172.44752868622797,3.292366694626256,0.05144322960353525,5.310902289951223,0.08298284828048785,2.0181553606227984,0.031533677509731226,9.037893253600043,10,64,0.43038740123245056,62,5,8,16,28,0.078125,0.125,0.25,0.4375,2,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,172.44752868622797,3.292366694626256,0.05144322960353525,5.310902289951223,0.08298284828048785,2.0181553606227984,0.031533677509731226,9.037893253600043,10,64,0.43038740123245056,62,5,8,16,28,0.078125,0.125,0.25,0.4375,5,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,172.44752868622797,3.292366694626256,0.05144322960353525,5.310902289951223,0.08298284828048785,2.0181553606227984,0.031533677509731226,9.037893253600043,10,64,0.43038740123245056,62,5,8,16,28,0.078125,0.125,0.25,0.4375,10,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,188.73537357536304,3.280119940916217,0.05125187407681589,5.212990856741137,0.08145298213658027,2.0460047727234376,0.03196882457380371,8.855229476293134,10,64,0.4582075571133801,62,5,8,16,28,0.078125,0.125,0.25,0.4375,25,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,186.4023518998358,3.355902243095693,0.0524359725483702,5.386535902945236,0.08416462348351932,2.0552801332677615,0.03211375208230877,7.743970920126085,10,64,0.521012513465893,62,5,8,16,28,0.078125,0.125,0.25,0.4375,50,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,190.54133164514027,3.45901540659341,0.05404711572802203,5.5322984166683264,0.0864421627604426,2.0922291817361516,0.03269108096462737,8.959271497510883,10,64,0.4431501425832406,62,5,8,16,28,0.078125,0.125,0.25,0.4375,100,timm:resnext50_32x4d.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,189.14665234358364,3.5167858519325836,0.05494977893644662,5.716542713579389,0.08932097989967795,2.0870922887664447,0.0326108170119757,8.8918465960637,10,64,0.4513166778315829,62,6,8,17,28,0.09375,0.125,0.265625,0.4375,250,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.0756117185670613,7.93769643333701,0.12402650677089078,15.04194488145819,0.23503038877278423,3.479165456471869,0.05436196025737295,3.540065762821217,10,64,0.68933690768337,62,18,26,41,53,0.28125,0.40625,0.640625,0.828125,1,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.0756117185670613,7.93769643333701,0.12402650677089078,15.04194488145819,0.23503038877278423,3.479165456471869,0.05436196025737295,3.540065762821217,10,64,0.68933690768337,62,18,26,41,53,0.28125,0.40625,0.640625,0.828125,2,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.0756117185670613,7.93769643333701,0.12402650677089078,15.04194488145819,0.23503038877278423,3.479165456471869,0.05436196025737295,3.540065762821217,10,64,0.68933690768337,62,18,26,41,53,0.28125,0.40625,0.640625,0.828125,5,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.0756117185670613,7.93769643333701,0.12402650677089078,15.04194488145819,0.23503038877278423,3.479165456471869,0.05436196025737295,3.540065762821217,10,64,0.68933690768337,62,18,26,41,53,0.28125,0.40625,0.640625,0.828125,10,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,2.188884483697077,7.959885423630194,0.12437320974422178,15.39133654000793,0.24048963343762392,3.4720139987348384,0.05425021873023185,6.438751644129858,10,64,0.23334285593782822,62,18,27,42,54,0.28125,0.421875,0.65625,0.84375,25,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,4096,2.1401140226780564,7.865285544810869,0.12289508663766983,15.514772377786395,0.24241831840291242,3.3745797169588854,0.052727808077482584,3.4313596936834214,10,64,0.6772012054621324,62,19,27,42,54,0.296875,0.421875,0.65625,0.84375,50,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,7168,2.2045884557151414,8.232468029223012,0.12863231295660957,15.927934514701782,0.24887397679221535,3.516150368084273,0.054939849501316765,6.3655906492874665,10,64,0.22449198171701634,62,19,28,42,54,0.296875,0.4375,0.65625,0.84375,100,timm:resnext50_32x4d.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,16384,2.2036417602044818,8.353860207389252,0.13052906574045706,16.156729818502424,0.25244890341410037,3.521530978532331,0.05502392153956767,6.341416334234732,10,64,0.22795336652726972,62,19,28,42,54,0.296875,0.4375,0.65625,0.84375,250,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,1024,5.0236143769377986,5.184994631621596,0.040507770559543715,7.204233709941371,0.05628307585891696,3.042437822458376,0.023769045487956064,17.23209474925834,10,128,0.6371596040635568,76,6,9,15,29,0.046875,0.0703125,0.1171875,0.2265625,1,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,1024,5.0236143769377986,5.184994631621596,0.040507770559543715,7.204233709941371,0.05628307585891696,3.042437822458376,0.023769045487956064,17.23209474925834,10,128,0.6371596040635568,76,6,9,15,29,0.046875,0.0703125,0.1171875,0.2265625,2,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,1024,5.0236143769377986,5.184994631621596,0.040507770559543715,7.204233709941371,0.05628307585891696,3.042437822458376,0.023769045487956064,17.23209474925834,10,128,0.6371596040635568,76,6,9,15,29,0.046875,0.0703125,0.1171875,0.2265625,5,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,2048,5.460863331737984,5.302690009823873,0.04142726570174901,7.353793279048497,0.05745150999256638,3.1446810764131397,0.024567820909477654,17.78482668353709,10,128,0.6389484462029891,75,6,9,15,29,0.046875,0.0703125,0.1171875,0.2265625,10,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,4096,5.39388630026583,5.322516474294238,0.041582159955423734,7.440395225733913,0.058128087701046195,3.0878575092015397,0.02412388679063703,16.834137932912306,10,128,0.625177042307163,76,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,25,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,7168,5.616906898099885,5.401198981059876,0.04219686703953028,7.528535081221731,0.058816680322044776,3.094681493610682,0.024177199168833454,17.206040892922775,10,128,0.6340933133047435,75,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,50,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,13312,5.7580981762318375,5.416061911634621,0.04231298368464548,7.617629468274595,0.059512730220895274,3.0233502743958276,0.023619924018717403,17.903577659484146,10,128,0.6299203499910937,75,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,100,timm:resnext50_32x4d.tv_in1k
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,32768,5.800506803987433,5.374293587556092,0.04198666865278197,7.617485791522685,0.05951160774627098,2.9641002216297943,0.023157032981482768,18.822032142595397,10,128,0.6571090591228772,74,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,250,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,1024,0.752986842877471,8.42079922497973,0.06578749394515414,14.277624417224915,0.11154394075956965,4.501975728193145,0.03517168537650894,17.493325269875776,10,128,0.3365060368856242,89,14,23,47,72,0.109375,0.1796875,0.3671875,0.5625,1,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,1024,0.752986842877471,8.42079922497973,0.06578749394515414,14.277624417224915,0.11154394075956965,4.501975728193145,0.03517168537650894,17.493325269875776,10,128,0.3365060368856242,89,14,23,47,72,0.109375,0.1796875,0.3671875,0.5625,2,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,1024,0.752986842877471,8.42079922497973,0.06578749394515414,14.277624417224915,0.11154394075956965,4.501975728193145,0.03517168537650894,17.493325269875776,10,128,0.3365060368856242,89,14,23,47,72,0.109375,0.1796875,0.3671875,0.5625,5,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,2048,0.7978929607706284,8.382837705187722,0.06549091957177908,14.31727525658501,0.11185371294207039,4.702118067308474,0.03673529740084745,16.66005232019109,10,128,0.3419672717079504,89,14,24,48,73,0.109375,0.1875,0.375,0.5703125,10,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,4096,0.7950749599153193,8.887229135466498,0.06943147762083202,15.103105601722202,0.1179930125134547,4.802285308364538,0.03751785397159795,16.639112681134286,10,128,0.34390180793653324,89,15,25,49,73,0.1171875,0.1953125,0.3828125,0.5703125,25,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,7168,0.8214323257232976,9.117672336256602,0.0712318151270047,15.34054170974195,0.11984798210735899,4.839472501905272,0.037808378921134936,16.121794255648773,10,128,0.332665892610993,89,15,25,50,74,0.1171875,0.1953125,0.390625,0.578125,50,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,13312,0.8321793667159323,9.337475781639805,0.07294902954406098,15.662768446022767,0.12236537848455287,4.9538040993028085,0.03870159452580319,17.447637138655384,10,128,0.34935654092106694,90,15,25,50,74,0.1171875,0.1953125,0.390625,0.578125,100,timm:resnext50_32x4d.tv_in1k
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,32768,0.8277878317650312,9.390173906963172,0.07336073364814978,15.768046334111077,0.12318786198524279,4.927479302199216,0.038495932048431374,18.477556779993275,10,128,0.37679461353594157,90,15,26,50,74,0.1171875,0.203125,0.390625,0.578125,250,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,1024,0.34321224438219977,13.958655614509224,0.10905199698835331,21.899826107494878,0.17109239146480373,6.350800822949525,0.049615631429293164,6.445684589897109,10,128,0.27279424040013567,116,20,30,58,92,0.15625,0.234375,0.453125,0.71875,1,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,1024,0.34321224438219977,13.958655614509224,0.10905199698835331,21.899826107494878,0.17109239146480373,6.350800822949525,0.049615631429293164,6.445684589897109,10,128,0.27279424040013567,116,20,30,58,92,0.15625,0.234375,0.453125,0.71875,2,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,1024,0.34321224438219977,13.958655614509224,0.10905199698835331,21.899826107494878,0.17109239146480373,6.350800822949525,0.049615631429293164,6.445684589897109,10,128,0.27279424040013567,116,20,30,58,92,0.15625,0.234375,0.453125,0.71875,5,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,2048,0.3634915577991211,14.053425094567956,0.10979238355131216,22.388291793543175,0.17490852963705605,6.056171840913986,0.04731384250714052,8.33600542443241,10,128,0.28355447612594165,116,21,31,59,94,0.1640625,0.2421875,0.4609375,0.734375,10,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,4096,0.36339118816146676,14.396398369297952,0.11247186226014025,22.758771835790572,0.17780290496711385,6.393876457499047,0.049952159824211306,7.43715841297056,10,128,0.2671571885352577,116,21,31,61,95,0.1640625,0.2421875,0.4765625,0.7421875,25,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,7168,0.373006272926388,14.992118008066353,0.11712592193801838,23.393020325183095,0.18275797129049293,6.773067177723963,0.05291458732596846,5.916600533046496,10,128,0.2612391115959285,116,22,32,61,95,0.171875,0.25,0.4765625,0.7421875,50,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,13312,0.3732382750449202,14.986220917932883,0.11707985092135065,23.51664936714509,0.183723823180821,6.6167318477586745,0.051693217560614645,7.384231822624015,10,128,0.26789679792046317,116,22,32,62,96,0.171875,0.25,0.484375,0.75,100,timm:resnext50_32x4d.tv_in1k
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,32768,0.3753488626066445,15.144167436913504,0.11831380810088675,23.69755811144066,0.18513717274563016,6.762472116456512,0.0528318134098165,7.409300416841342,10,128,0.2658568840504092,116,22,32,62,96,0.171875,0.25,0.484375,0.75,250,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,1024,1.5528305362280046,21.31178514720749,0.16649832146255852,38.665530528481085,0.3020744572537585,6.884041180822714,0.05378157172517745,5.508536495141992,10,128,0.18206784740740212,116,42,59,91,111,0.328125,0.4609375,0.7109375,0.8671875,1,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,1024,1.5528305362280046,21.31178514720749,0.16649832146255852,38.665530528481085,0.3020744572537585,6.884041180822714,0.05378157172517745,5.508536495141992,10,128,0.18206784740740212,116,42,59,91,111,0.328125,0.4609375,0.7109375,0.8671875,2,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,1024,1.5528305362280046,21.31178514720749,0.16649832146255852,38.665530528481085,0.3020744572537585,6.884041180822714,0.05378157172517745,5.508536495141992,10,128,0.18206784740740212,116,42,59,91,111,0.328125,0.4609375,0.7109375,0.8671875,5,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,2048,1.6893144209976487,22.110499788990293,0.17273827960148666,40.35864851373984,0.3153019415135925,6.992331799000168,0.054627592179688815,4.841301694719588,10,128,0.17191710021049922,116,44,62,93,112,0.34375,0.484375,0.7265625,0.875,10,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,4096,1.6771286144754312,22.805986201025284,0.17817176719551003,41.22405420283558,0.322062923459653,7.264297055986163,0.0567523207498919,6.356433535180165,10,128,0.19495378801714203,116,45,63,94,112,0.3515625,0.4921875,0.734375,0.875,25,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,7168,1.7068081117661138,24.165536460581986,0.18879325359829677,42.69611449187755,0.3335633944677934,7.701876453381071,0.060170909792039616,5.907186604932069,10,128,0.18346125136501712,116,46,64,95,112,0.359375,0.5,0.7421875,0.875,50,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,13312,1.745833934142298,24.36729219135088,0.19036947024492876,42.85859120595694,0.3348327437965386,7.835744202070385,0.061216751578674886,4.7829129375531405,10,128,0.16853480402325438,116,46,65,95,112,0.359375,0.5078125,0.7421875,0.875,100,timm:resnext50_32x4d.tv_in1k
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,32768,1.7258457941852048,24.69437573941761,0.19292481046420007,43.21629651751429,0.33762731654308037,7.982028746260158,0.062359599580157486,4.771461318681221,10,128,0.16786454661815875,116,47,65,95,112,0.3671875,0.5078125,0.7421875,0.875,250,timm:resnext50_32x4d.tv_in1k
