layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,800000,182.92675320422424,3.4574233984206764,0.05402224060032307,5.708525859882978,0.08919571656067153,2.048368391962172,0.03200575612440894,7.7106807620907025,10,64,0.5210725752325422,62,6,8,17,28,0.09375,0.125,0.265625,0.4375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],12500.0,True,0.09375,0.125,0.265625,0.4375,1.0,50000.0,45.87206226130971,2.4496138649939336,0.03827521664053021,2.665761734427648,0.041652527100432,1.9048021772653587,0.02976253401977123,10.353539839677047,10.0,64.0,0.5796712496380592,51.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,781.25,True
act1,act,1,64,1,False,,0,112.0,112.0,800000,2.162863678364357,8.422861015524557,0.1316072033675712,16.30864934912665,0.2548226460801039,3.523592983364474,0.05505614036506991,5.002554247209703,10,64,0.2328913678453084,62,19,28,43,54,0.296875,0.4375,0.671875,0.84375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.3927379895792835,3.347715212853244,0.052308050200831936,4.283569261594878,0.06693076971241997,2.4484777310798025,0.038257464548121914,4.219033256809559,10.0,64.0,0.9428966019825956,62.0,3.0,5.0,11.0,27.0,0.046875,0.078125,0.171875,0.421875,781.25,True
layer1.0.conv1,conv,2,128,1,False,64.0,0,56.0,56.0,800000,5.750004971226793,5.343843653947644,0.04174877854646597,7.569303872662472,0.05913518650517556,2.9536177869881217,0.0230751389608447,18.753066298905704,10,128,0.6380840728743753,74,7,9,15,30,0.0546875,0.0703125,0.1171875,0.234375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.109375,0.140625,0.234375,0.46875,0.5,50000.0,1.6118782321123346,4.113040542029284,0.032133129234603784,4.858709707523281,0.03795866959002563,3.072750885748547,0.024005866294910524,17.94368870058547,10.0,128.0,0.6547388470081811,74.0,4.0,5.0,8.0,13.0,0.03125,0.0390625,0.0625,0.1015625,390.625,True
layer1.0.act1,act,3,128,1,False,,0,56.0,56.0,800000,0.8217612012419319,9.338747577175049,0.07295896544668007,15.740823959798155,0.12297518718592308,4.840917802505732,0.03781967033207603,15.87698044108243,10,128,0.32430992652570245,90,15,26,51,74,0.1171875,0.203125,0.3984375,0.578125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.2116853416068788,5.263227705441191,0.04111896644875931,7.15342726273532,0.05588615049011969,3.568998763068621,0.0278828028364736,17.19811929627677,10.0,128.0,0.3729373547934678,90.0,6.0,9.0,19.0,47.0,0.046875,0.0703125,0.1484375,0.3671875,390.625,True
layer1.0.conv2,conv,4,128,32,False,128.0,0,56.0,56.0,800000,0.37121727952568645,15.07308565305353,0.1177584816644807,23.58812518451553,0.18428222800402758,6.793095318312887,0.05307105717431943,7.4264153860414295,10,128,0.2653867361641492,116,22,32,62,96,0.171875,0.25,0.484375,0.75,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.171875,0.25,0.484375,0.75,1.0,50000.0,0.03206736848054693,2.9340762191954486,0.022922470462464442,4.681462590431788,0.03657392648774834,1.9674393757790225,0.015370620123273613,8.69390361698263,10.0,128.0,0.3832369992208261,116.0,6.0,8.0,16.0,37.0,0.046875,0.0625,0.125,0.2890625,390.625,True
layer1.0.act2,act,5,128,1,False,,0,56.0,56.0,800000,1.709566370957843,24.596860811451204,0.19216297508946253,43.10695487439224,0.33677308495618935,7.986600317030773,0.06239531497680292,4.296148466587449,10,128,0.1574487545035611,116,47,65,95,112,0.3671875,0.5078125,0.7421875,0.875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.16230644402327107,4.113096101798928,0.032133563295304125,7.552728031680473,0.05900568774750369,2.5508695231491862,0.019928668149603018,5.906664666759878,10.0,128.0,0.2396954911702992,116.0,9.0,14.0,36.0,77.0,0.0703125,0.109375,0.28125,0.6015625,390.625,True
layer1.0.conv3,conv,6,256,1,False,128.0,0,56.0,56.0,800000,2.345889291952172,3.842653980968644,0.015010367113158765,9.82397966146569,0.038374920552600354,2.02015886257034,0.00789124555691539,12.450593191627961,10,256,0.6305435905097132,163,15,21,37,69,0.05859375,0.08203125,0.14453125,0.26953125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,0.1171875,0.1640625,0.2890625,0.5390625,0.5,50000.0,0.40377538602991275,1.3657851059576844,0.005335098070147205,2.078833899621582,0.008120444920396805,1.17236502746377,0.004579550888530352,11.05592572209692,10.0,256.0,0.6541016334424818,162.0,2.0,5.0,12.0,28.0,0.0078125,0.01953125,0.046875,0.109375,195.3125,True
layer1.0.downsample.0,conv,7,256,1,False,64.0,0,56.0,56.0,800000,5.892823139852926,4.090220573385101,0.01597742411478555,7.0420033210697035,0.02750782547292853,2.4092873034874147,0.009411278529247714,14.812493702840777,10,256,0.7849570738081936,133,8,12,21,37,0.03125,0.046875,0.08203125,0.14453125,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,0.125,0.1875,0.328125,0.578125,0.25,50000.0,1.3791979524756564,3.108136469184014,0.012141158082750054,4.43384928565329,0.017319723772083163,2.051444640954792,0.008013455628729656,12.885214467834464,10.0,256.0,0.7885466985295442,130.0,4.0,6.0,10.0,19.0,0.015625,0.0234375,0.0390625,0.07421875,195.3125,True
layer1.0.act3,act,8,256,1,False,,0,56.0,56.0,800000,4.168320703647969,27.49444989750441,0.1074001949121266,51.410574253827725,0.20082255567901455,9.866970940144567,0.038542855234939714,7.312132772668312,10,256,0.20230509965131638,216,56,89,158,203,0.21875,0.34765625,0.6171875,0.79296875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.4617448463656976,7.706383903892572,0.03010306212458036,13.867763974529819,0.054170953025507104,3.4650022216764276,0.013535164928423545,7.050400012285422,10.0,256.0,0.24596783220142704,216.0,13.0,22.0,55.0,131.0,0.05078125,0.0859375,0.21484375,0.51171875,195.3125,True
layer1.0,block,9,256,1,False,,0,56.0,56.0,800000,4.174421536356917,27.491034930962233,0.10738685519907122,51.40170382644618,0.2007879055720554,9.884321222007,0.03861062977346484,7.138149972286736,10,256,0.19795117568787557,216,56,89,158,203,0.21875,0.34765625,0.6171875,0.79296875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.4617448463656976,7.706383903892572,0.03010306212458036,13.867763974529819,0.054170953025507104,3.4650022216764276,0.013535164928423545,7.050400012285422,10.0,256.0,0.24596783220142704,216.0,13.0,22.0,55.0,131.0,0.05078125,0.0859375,0.21484375,0.51171875,195.3125,True
layer1.1.conv1,conv,10,128,1,False,128.0,0,56.0,56.0,800000,2.1886240375521564,8.951210825987225,0.0699313345780252,14.323510063082757,0.11190242236783404,4.545366260153651,0.0355106739074504,12.42139708716549,10,128,0.5091805396793394,103,14,20,37,67,0.109375,0.15625,0.2890625,0.5234375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.109375,0.15625,0.2890625,0.5234375,1.0,50000.0,0.2388707325196981,3.0416580810323115,0.023762953758064934,5.522497767422592,0.043144513807989,1.8401658063970359,0.014376295362476843,12.880493537895093,10.0,128.0,0.5304213878374457,102.0,7.0,9.0,18.0,41.0,0.0546875,0.0703125,0.140625,0.3203125,390.625,True
layer1.1.act1,act,11,128,1,False,,0,56.0,56.0,800000,0.9221113921418023,16.79996440136265,0.1312497218856457,28.117190469751062,0.21966555054493017,8.36225602909055,0.06533012522726993,10.514015682658751,10,128,0.20935753324138995,99,30,46,78,96,0.234375,0.359375,0.609375,0.75,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.08181546398081604,6.3042002047367225,0.049251564099505644,10.79954990819207,0.08437148365775055,3.081189168166016,0.024071790376297,11.988926500084546,10.0,128.0,0.25897359503461603,99.0,10.0,15.0,38.0,77.0,0.078125,0.1171875,0.296875,0.6015625,390.625,True
layer1.1.conv2,conv,12,128,32,False,128.0,0,56.0,56.0,800000,0.22152211925595955,31.03627015487226,0.24247086058493952,44.27482737098332,0.34589708883580716,12.984802133249143,0.10144376666600893,8.99303859682596,10,128,0.25646853261092195,105,40,54,81,99,0.3125,0.421875,0.6328125,0.7734375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.3125,0.421875,0.6328125,0.7734375,1.0,50000.0,0.003993477316902542,4.424507967918898,0.03456646849936639,8.332288716036212,0.0650960055940329,2.309399070850619,0.018042180241020462,10.782166507847627,10.0,128.0,0.2955919035561797,105.0,9.0,13.0,31.0,65.0,0.0703125,0.1015625,0.2421875,0.5078125,390.625,True
layer1.1.act2,act,13,128,1,False,,0,56.0,56.0,800000,1.4838550786068643,45.62771626779824,0.35646653334217376,63.154097136794284,0.49339138388120535,21.414399877380898,0.16729999904203827,9.065876828406605,10,128,0.19316681659663748,103,62,78,97,103,0.484375,0.609375,0.7578125,0.8046875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.039795896792720734,6.017210422507133,0.047009456425836975,11.856748539934063,0.09263084796823487,2.8477711345227776,0.0222482119884592,13.813060933439976,10.0,128.0,0.24218689382233904,103.0,12.0,21.0,49.0,84.0,0.09375,0.1640625,0.3828125,0.65625,390.625,True
layer1.1.conv3,conv,14,256,1,False,128.0,0,56.0,56.0,800000,0.7905095937642952,23.23740908149083,0.09077112922457356,31.68362838025094,0.12376417336035524,12.886345360894598,0.050337286565994524,11.208645330295619,10,256,0.7122530261269435,175,26,36,62,91,0.1015625,0.140625,0.2421875,0.35546875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,0.203125,0.28125,0.484375,0.7109375,0.5,50000.0,0.019232845474632703,3.4744252247357466,0.01357197353412401,6.785497723255585,0.026505850481467128,1.9965572882069127,0.007799051907058253,10.26609582245561,10.0,256.0,0.7548823777513822,174.0,8.0,12.0,30.0,61.0,0.03125,0.046875,0.1171875,0.23828125,195.3125,True
layer1.1.act3,act,15,256,1,False,,0,56.0,56.0,800000,6.654542960719884,48.00262889050593,0.1875102691035388,84.2652609062966,0.3291611754152211,17.595962866692542,0.06873422994801774,1.8319571370255792,10,256,0.29839095173967145,255,94,141,215,248,0.3671875,0.55078125,0.83984375,0.96875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.4464309103696217,9.246055786199559,0.03611740541484203,16.671701428655506,0.06512383370568557,4.035892279710653,0.01576520421761974,2.771928167565857,10.0,256.0,0.4919613366494683,255.0,16.0,28.0,77.0,180.0,0.0625,0.109375,0.30078125,0.703125,195.3125,True
layer1.1,block,16,256,1,False,,0,56.0,56.0,800000,6.65152389985248,48.03056491354203,0.18761939419352355,84.29007352814027,0.3292580997192979,17.563738913028764,0.06860835512901861,1.6248835404885618,10,256,0.9717208420054675,255,94,141,215,248,0.3671875,0.55078125,0.83984375,0.96875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.4464309103696217,9.246055786199559,0.03611740541484203,16.671701428655506,0.06512383370568557,4.035892279710653,0.01576520421761974,2.771928167565857,10.0,256.0,0.4919613366494683,255.0,16.0,28.0,77.0,180.0,0.0625,0.109375,0.30078125,0.703125,195.3125,True
layer1.2.conv1,conv,17,128,1,False,128.0,0,56.0,56.0,800000,1.959804048430821,16.524107457163314,0.1290945895090884,26.187398972291387,0.20458905447102646,7.5805526795504115,0.05922306780898759,6.546170862784436,10,128,0.29235095021396096,120,25,34,61,98,0.1953125,0.265625,0.4765625,0.765625,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.1953125,0.265625,0.4765625,0.765625,1.0,50000.0,0.07911880434178556,5.1604655702602775,0.04031613726765842,8.904371949841039,0.06956540585813312,2.809064204862753,0.02194581410049026,6.801024774909876,10.0,128.0,0.3110235156374639,120.0,9.0,14.0,34.0,70.0,0.0703125,0.109375,0.265625,0.546875,390.625,True
layer1.2.act1,act,18,128,1,False,,0,56.0,56.0,800000,1.020621980979727,22.278219464236415,0.174048589564347,38.71418279662741,0.30245455309865166,9.596000812755168,0.07496875634964975,4.0798731955273775,10,128,0.14857992827095312,120,42,64,101,118,0.328125,0.5,0.7890625,0.921875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.03404181936602187,6.306694363065404,0.04927104971144847,11.532150461854904,0.09009492548324144,3.3160264944677533,0.025906456988029323,5.3000643424806295,10.0,128.0,0.1967288206827713,120.0,12.0,21.0,52.0,100.0,0.09375,0.1640625,0.40625,0.78125,390.625,True
layer1.2.conv2,conv,19,128,32,False,128.0,0,56.0,56.0,800000,0.2304779972315833,34.29410455631861,0.2679226918462391,51.54295872762175,0.40267936505954494,14.43936011676644,0.11280750091223782,4.580488428499667,10,128,0.18576073317633746,121,49,67,98,115,0.3828125,0.5234375,0.765625,0.8984375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,0.3828125,0.5234375,0.765625,0.8984375,1.0,50000.0,0.0018209767155607254,5.593464794660787,0.0436989437082874,9.208159735576,0.0719387479341875,3.3174615549581876,0.02591766839811084,5.873280129352769,10.0,128.0,0.29192778832559474,121.0,9.0,14.0,34.0,71.0,0.0703125,0.109375,0.265625,0.5546875,390.625,True
layer1.2.act2,act,20,128,1,False,,0,56.0,56.0,800000,1.2717457716836127,54.46929139264201,0.42554133900501573,78.17539929275844,0.6107453069746753,18.43995219390096,0.14406212651485126,2.9113756316346073,10,128,0.1031124470744974,121,80,97,114,120,0.625,0.7578125,0.890625,0.9375,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.02167715609546703,4.492668147201208,0.035098969900009436,9.387171545209542,0.07333727769694955,2.4439738566644857,0.019093545755191295,3.4991419111598394,10.0,128.0,0.18731814418569137,121.0,12.0,24.0,60.0,105.0,0.09375,0.1875,0.46875,0.8203125,390.625,True
layer1.2.conv3,conv,21,256,1,False,128.0,0,56.0,56.0,800000,0.41320907095888554,24.13649788297236,0.09428319485536078,37.387278924228006,0.14604405829776565,10.482749806276738,0.04094824143076851,10.344826622114134,10,256,0.6406682438270537,185,36,49,78,107,0.140625,0.19140625,0.3046875,0.41796875,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,0.28125,0.3828125,0.609375,0.8359375,0.5,50000.0,0.010950455250022695,3.2069489409571,0.012527144300613672,5.7853670051871955,0.022599089864012482,1.9503861509494822,0.007618695902146415,9.640079192541286,10.0,256.0,0.7191351190476656,183.0,6.0,11.0,29.0,63.0,0.0234375,0.04296875,0.11328125,0.24609375,195.3125,True
layer1.2.act3,act,22,256,1,False,,0,56.0,56.0,800000,8.481883711824228,60.83024673242652,0.23761815129854108,104.23778361471032,0.4071788422449622,21.9476528348149,0.0857330188859957,1.4907793811075178,10,256,0.9463239905006353,256,117,161,222,249,0.45703125,0.62890625,0.8671875,0.97265625,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.45481549040664015,10.521865331725985,0.04110103645205463,18.840243960950705,0.07359470297246369,4.593294558943704,0.017942556870873844,2.384211023088669,10.0,256.0,0.9912444152026109,256.0,18.0,33.0,90.0,199.0,0.0703125,0.12890625,0.3515625,0.77734375,195.3125,True
layer1.2,block,23,256,1,False,,0,56.0,56.0,800000,8.485304637597393,60.736535512969525,0.2372520918475372,104.14406825393502,0.40681276661693366,21.918050699406,0.08561738554455468,1.4909764285688674,10,256,0.9462206494660313,256,117,161,222,249,0.45703125,0.62890625,0.8671875,0.97265625,timm:resnext50_32x4d.tv_in1k,timm/resnext50_32x4d.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.45481549040664015,10.521865331725985,0.04110103645205463,18.840243960950705,0.07359470297246369,4.593294558943704,0.017942556870873844,2.384211023088669,10.0,256.0,0.9912444152026109,256.0,18.0,33.0,90.0,199.0,0.0703125,0.12890625,0.3515625,0.77734375,195.3125,True
