layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,45.55053461321755,4.746789379821046,0.07416858405970385,5.71506990686298,0.08929796729473406,3.3739619671741874,0.05271815573709668,11.808709839828683,10,64,0.9745588231430489,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,1,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,45.55053461321755,4.746789379821046,0.07416858405970385,5.71506990686298,0.08929796729473406,3.3739619671741874,0.05271815573709668,11.808709839828683,10,64,0.9745588231430489,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,2,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,45.55053461321755,4.746789379821046,0.07416858405970385,5.71506990686298,0.08929796729473406,3.3739619671741874,0.05271815573709668,11.808709839828683,10,64,0.9745588231430489,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,5,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,1024,45.55053461321755,4.746789379821046,0.07416858405970385,5.71506990686298,0.08929796729473406,3.3739619671741874,0.05271815573709668,11.808709839828683,10,64,0.9745588231430489,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,10,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,2048,49.2576944556585,4.85298336341881,0.0758278650534189,5.761572039996111,0.09002456312493923,3.4545095844772744,0.05397671225745741,11.926786043635976,10,64,0.976322377026228,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,25,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,4096,48.4652149979281,4.9368646523630195,0.07713851019317218,5.842728083696683,0.09129262630776067,3.4964965976643407,0.054632759338505324,12.257112736396163,10,64,0.9755362944628405,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,50,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,7168,49.539031762010666,5.118791522940193,0.07998111754594052,5.99425653463365,0.09366025835365079,3.6168590435386743,0.056513422555291785,12.5148368218175,10,64,0.9824133710319357,45,5,6,9,12,0.078125,0.09375,0.140625,0.1875,100,timm:vgg16.tv_in1k
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,16384,51.35691079409069,5.15916340696912,0.0806119282338925,6.033291587939465,0.09427018106155415,3.741852638717192,0.05846644747995613,12.771169001316512,10,64,0.9797717774005992,46,5,6,9,12,0.078125,0.09375,0.140625,0.1875,250,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,1024,13.760447565528075,8.554532520379768,0.13366457063093387,13.151083822211765,0.20548568472205883,4.5158512865128495,0.07056017635176327,2.8603491055674874,10,64,0.9904717176592693,64,12,18,36,57,0.1875,0.28125,0.5625,0.890625,1,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,1024,13.760447565528075,8.554532520379768,0.13366457063093387,13.151083822211765,0.20548568472205883,4.5158512865128495,0.07056017635176327,2.8603491055674874,10,64,0.9904717176592693,64,12,18,36,57,0.1875,0.28125,0.5625,0.890625,2,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,1024,13.760447565528075,8.554532520379768,0.13366457063093387,13.151083822211765,0.20548568472205883,4.5158512865128495,0.07056017635176327,2.8603491055674874,10,64,0.9904717176592693,64,12,18,36,57,0.1875,0.28125,0.5625,0.890625,5,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,1024,13.760447565528075,8.554532520379768,0.13366457063093387,13.151083822211765,0.20548568472205883,4.5158512865128495,0.07056017635176327,2.8603491055674874,10,64,0.9904717176592693,64,12,18,36,57,0.1875,0.28125,0.5625,0.890625,10,timm:vgg16.tv_in1k
features.1,act,1,64,1,False,,0,224.0,224.0,2048,15.450680000978256,8.67695290261364,0.13557738910333814,13.356636768532477,0.20869744950831995,4.729678260408931,0.07390122281888954,2.792220743062123,10,64,0.9907736972890215,64,12,18,37,57,0.1875,0.28125,0.578125,0.890625,25,timm:vgg16.tv_in1k
