layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,800000,50.368320506316465,5.115356092111748,0.07992743893924606,6.025671982659755,0.09415112472905868,3.6907380116128676,0.05766778143145106,14.500917802842201,10,64,0.9755499942020491,46,5,6,9,12,0.078125,0.09375,0.140625,0.1875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],12500.0,True,0.18518518518518517,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.421875,50000.0,9.026593965454433,2.7814831630906576,0.043460674423291525,2.890386011858826,0.04516228143529415,2.218150684751041,0.03465860444923501,8.495675608193107,10.0,64.0,0.9175657616030782,38.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,781.25,True
features.1,act,1,64,1,False,,0,224.0,224.0,800000,16.166478264509877,8.601316551645107,0.1343955711194548,13.380607878331844,0.20907199809893506,4.633387440420932,0.07239667875657706,2.689977448877241,10,64,0.9921504156415993,64,12,18,38,58,0.1875,0.28125,0.59375,0.90625,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,2.182715699935649,4.670135667172148,0.07297086979956481,6.536930493657459,0.1021395389633978,2.8104527913246926,0.04391332486444832,3.7151861634307837,10.0,64.0,0.9508482960211108,64.0,6.0,8.0,13.0,34.0,0.09375,0.125,0.203125,0.53125,781.25,True
features.2,conv,2,64,1,False,64.0,0,224.0,224.0,800000,290.63227195463514,9.554637691204686,0.14929121392507322,13.641064237852014,0.21314162871643771,5.461224699813694,0.08533163593458896,4.1625007363695845,10,64,0.9803464051887592,64,12,17,27,46,0.1875,0.265625,0.421875,0.71875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],12500.0,True,0.1875,0.265625,0.421875,0.71875,1.0,50000.0,30.475401167526922,2.935456230493481,0.04586650360146064,3.865295802231777,0.06039524690987152,2.1788265218257323,0.03404416440352707,5.946683813228839,10.0,64.0,0.966223385292244,64.0,4.0,5.0,7.0,16.0,0.0625,0.078125,0.109375,0.25,781.25,True
features.3,act,3,64,1,False,,0,224.0,224.0,800000,80.83230310352867,18.28685398829931,0.2857320935671767,27.294082764842205,0.42647004320065945,9.96048995434469,0.15563265553663577,2.0342762321854555,10,64,0.9805485592403234,64,26,37,55,63,0.40625,0.578125,0.859375,0.984375,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],12500.0,True,,,,,,50000.0,10.357159955513419,4.8542534375740205,0.07584770996209407,6.948574377112302,0.10857147464237972,2.9183515928215558,0.04559924363783681,3.840817925750275,10.0,64.0,0.9629636697518862,64.0,6.0,9.0,19.0,38.0,0.09375,0.140625,0.296875,0.59375,781.25,True
features.5,conv,4,128,1,False,128.0,0,112.0,112.0,800000,1874.6200293349818,10.288269964543945,0.08037710909799957,19.678968432107663,0.15374194087584112,4.110997474457013,0.03211716776919541,3.098703929115549,10,128,0.9655645978876277,128,22,30,58,100,0.171875,0.234375,0.453125,0.78125,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],6250.0,True,0.171875,0.234375,0.453125,0.78125,1.0,50000.0,203.75557057867528,2.2751856327799453,0.017774887756093323,4.038859305931247,0.03155358832758787,1.5425908422601964,0.012051490955157784,6.154286896482876,10.0,128.0,0.9529642944053606,128.0,5.0,7.0,12.0,23.0,0.0390625,0.0546875,0.09375,0.1796875,390.625,True
features.6,act,5,128,1,False,,0,112.0,112.0,800000,291.3892660135693,36.64220098315669,0.28626719518091165,61.70784334767862,0.4820925261537392,12.195424325943321,0.0952767525464322,1.3597862589081133,10,128,0.9691335725699948,128,70,91,117,127,0.546875,0.7109375,0.9140625,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,15.519708390845725,4.799704654536566,0.03749769261356692,9.809740683108148,0.0766385990867824,2.4434466177401686,0.019089426701095067,2.358038360363329,10.0,128.0,0.987430624092329,128.0,11.0,19.0,53.0,105.0,0.0859375,0.1484375,0.4140625,0.8203125,390.625,True
features.7,conv,6,128,1,False,128.0,0,112.0,112.0,800000,2803.2738859664373,24.965578201364245,0.19504357969815816,37.95282132984064,0.29650641663938,11.291764441611846,0.08821690970009255,2.4463871161679727,10,128,0.976361667305941,128,35,50,87,120,0.2734375,0.390625,0.6796875,0.9375,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],6250.0,True,0.2734375,0.390625,0.6796875,0.9375,1.0,50000.0,116.2633798503081,4.463587350714874,0.03487177617745995,7.831004151189258,0.061179719931166075,2.365529186110647,0.01848069676648943,4.112304342358206,10.0,128.0,0.9424440941758899,128.0,8.0,11.0,24.0,55.0,0.0625,0.0859375,0.1875,0.4296875,390.625,True
features.8,act,7,128,1,False,,0,112.0,112.0,800000,599.8296501300445,50.80112805296045,0.3968838129137535,76.93529101783015,0.6010569610767981,17.51748711066627,0.13685536805208023,1.1468060737952028,10,128,0.9821108048566624,128,81,100,121,127,0.6328125,0.78125,0.9453125,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],6250.0,True,,,,,,50000.0,27.84510312866228,7.314961247709631,0.05714813474773149,14.446397906330139,0.11286248364320421,3.2340041971585056,0.025265657790300825,2.5727497007887363,10.0,128.0,0.9880263664159052,128.0,15.0,25.0,59.0,107.0,0.1171875,0.1953125,0.4609375,0.8359375,390.625,True
features.10,conv,8,256,1,False,256.0,0,56.0,56.0,800000,13086.29470965882,24.112627295319275,0.09418995037234092,47.360326776876995,0.18500127647217576,7.442279433594905,0.029071404037480097,2.427659062123467,10,256,0.9607393502353583,256,50,75,144,225,0.1953125,0.29296875,0.5625,0.87890625,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],3125.0,True,0.1953125,0.29296875,0.5625,0.87890625,1.0,50000.0,1204.7150226549177,7.202684737622396,0.028135487256337483,12.096409745952107,0.04725160057012542,3.349065372144908,0.013082286609941048,5.182827378628556,10.0,256.0,0.9497389502481556,256.0,12.0,17.0,30.0,63.0,0.046875,0.06640625,0.1171875,0.24609375,195.3125,True
features.11,act,9,256,1,False,,0,56.0,56.0,800000,2392.910348119083,63.478191645561395,0.2479616861154742,121.95594427791151,0.47639040733559185,15.466284239729704,0.06041517281144416,1.1179116231060433,10,256,0.9837689075570624,256,150,192,239,254,0.5859375,0.75,0.93359375,0.9921875,timm:vgg16.tv_in1k,timm/vgg16.tv_in1k,imagenet_val[50000],3125.0,True,,,,,,50000.0,139.32754689188636,9.270915417230672,0.03621451334855731,21.064742800936337,0.08228415156615757,3.8157154104202236,0.014905138321953998,2.053846293501185,10.0,256.0,0.9930392745480916,256.0,25.0,48.0,131.0,228.0,0.09765625,0.1875,0.51171875,0.890625,195.3125,True
