layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,model
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,159.40343975764455,3.3186410193259746,0.05185376592696835,5.560477022265173,0.08688245347289333,1.9838539221722162,0.03099771753394088,7.568735387675263,10,64,0.5174337562948187,63,6,8,17,28,0.09375,0.125,0.265625,0.4375,1,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,159.40343975764455,3.3186410193259746,0.05185376592696835,5.560477022265173,0.08688245347289333,1.9838539221722162,0.03099771753394088,7.568735387675263,10,64,0.5174337562948187,63,6,8,17,28,0.09375,0.125,0.265625,0.4375,2,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,159.40343975764455,3.3186410193259746,0.05185376592696835,5.560477022265173,0.08688245347289333,1.9838539221722162,0.03099771753394088,7.568735387675263,10,64,0.5174337562948187,63,6,8,17,28,0.09375,0.125,0.265625,0.4375,5,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,1024,159.40343975764455,3.3186410193259746,0.05185376592696835,5.560477022265173,0.08688245347289333,1.9838539221722162,0.03099771753394088,7.568735387675263,10,64,0.5174337562948187,63,6,8,17,28,0.09375,0.125,0.265625,0.4375,10,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,2048,174.04221464203914,3.303052454916483,0.051610194608070044,5.478437606363012,0.08560058759942206,1.9970850680105028,0.031204454187664106,7.536740976306298,10,64,0.5339219116371755,63,6,8,17,28,0.09375,0.125,0.265625,0.4375,25,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,4096,172.76770424467324,3.369192304397312,0.052643629756208,5.635440052543345,0.08805375082098976,2.006051084742525,0.03134454819910195,7.576356525288603,10,64,0.5197889616528513,63,6,9,17,29,0.09375,0.140625,0.265625,0.453125,50,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,7168,177.02721436105787,3.4798435768693965,0.05437255588858432,5.7865174222994495,0.0904143347234289,2.0462565459914144,0.03197275853111585,6.263225032817733,10,64,0.9260966698441404,63,6,9,17,29,0.09375,0.140625,0.265625,0.453125,100,timm:wide_resnet50_2.tv_in1k
conv1,conv,0,64,1,False,64.0,0,112.0,112.0,16384,176.89885144078286,3.5366542691402656,0.05526022295531665,5.9580261569150235,0.09309415870179724,2.0504951470659645,0.032038986672905695,6.24990859921016,10,64,0.9266452314415345,63,6,9,18,29,0.09375,0.140625,0.28125,0.453125,250,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.2282421635509353,7.329040762076504,0.11451626190744538,15.512614823075742,0.24238460661055847,3.0876590834127366,0.04824467317832401,2.85625570260856,10,64,0.8489480021856681,63,19,28,44,56,0.296875,0.4375,0.6875,0.875,1,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.2282421635509353,7.329040762076504,0.11451626190744538,15.512614823075742,0.24238460661055847,3.0876590834127366,0.04824467317832401,2.85625570260856,10,64,0.8489480021856681,63,19,28,44,56,0.296875,0.4375,0.6875,0.875,2,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.2282421635509353,7.329040762076504,0.11451626190744538,15.512614823075742,0.24238460661055847,3.0876590834127366,0.04824467317832401,2.85625570260856,10,64,0.8489480021856681,63,19,28,44,56,0.296875,0.4375,0.6875,0.875,5,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,1024,2.2282421635509353,7.329040762076504,0.11451626190744538,15.512614823075742,0.24238460661055847,3.0876590834127366,0.04824467317832401,2.85625570260856,10,64,0.8489480021856681,63,19,28,44,56,0.296875,0.4375,0.6875,0.875,10,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,2048,2.3430773424275078,7.262356564059173,0.11347432131342458,15.716191403760403,0.2455654906837563,3.0520649585962136,0.04768851497806584,4.340483781030154,10,64,0.20177264764414937,63,20,29,44,57,0.3125,0.453125,0.6875,0.890625,25,timm:wide_resnet50_2.tv_in1k
act1,act,1,64,1,False,,0,112.0,112.0,4096,2.303107316335412,7.153641575569272,0.11177564961826987,15.80602897118871,0.24696920267482358,2.9906419020963995,0.04672877972025624,4.361459371324686,10,64,0.1958237831970976,63,20,29,45,57,0.3125,0.453125,0.703125,0.890625,50,timm:wide_resnet50_2.tv_in1k
