layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27.0,0,32.0,32.0,160000,24.222717949523073,1.4898925160139562,0.023279570562718066,2.2644593084685707,0.03538217669482142,1.22712976296044,0.019173902546256876,12.374483204286035,10,64,0.9176113472311117,42,3,5,8,12,0.046875,0.078125,0.125,0.1875,2500.0,64.0,10000.0,6.602523681725925,1.1774697973610726,0.01839796558376676,1.3926826148381015,0.021760665856845336,1.0876825896866205,0.016995040463853445,7.781841223935153,10.0,64.0,0.9772666864133822,43.0,1.0,2.0,3.0,4.0,0.015625,0.03125,0.046875,0.0625,156.25,2,67.85
features.3,conv,1,64,1,False,64.0,0,32.0,32.0,160000,57.632301558266406,7.055396407664184,0.11024056886975288,13.608830558096688,0.21263797747026075,3.144810104618976,0.0491376578846715,2.483235566134832,10,64,0.9874486632596673,64,15,23,43,60,0.234375,0.359375,0.671875,0.9375,2500.0,64.0,10000.0,8.085187096064303,2.7860609363052955,0.04353220212977024,4.036632299737217,0.06307237968339402,1.8107096862640948,0.02829233884787648,4.266979151611943,10.0,64.0,0.9848111518028263,64.0,4.0,5.0,9.0,20.0,0.0625,0.078125,0.140625,0.3125,156.25,2,67.85
features.7,conv,2,128,1,False,128.0,0,16.0,16.0,160000,88.9810329684226,11.83087404910317,0.09242870350861851,24.64823731373912,0.19256435401358687,4.766774489279468,0.037240425697495846,1.9017223969331711,10,128,0.9941552034270208,128,29,49,96,123,0.2265625,0.3828125,0.75,0.9609375,1250.0,128.0,10000.0,14.16660993909751,3.8597243660680456,0.030154096609906606,5.819687891185836,0.045466311649889346,2.335389464988043,0.018245230195219085,3.6647939384050843,10.0,128.0,0.970000286712967,128.0,5.0,7.0,15.0,45.0,0.0390625,0.0546875,0.1171875,0.3515625,78.125,2,67.85
features.10,conv,3,128,1,False,128.0,0,16.0,16.0,160000,100.00321744141175,18.301712467950605,0.1429821286558641,37.41347816871576,0.2922927981930919,6.470360710671426,0.050549693052120516,1.5197381671144465,10,128,0.9963615256014775,128,48,74,112,126,0.375,0.578125,0.875,0.984375,1250.0,128.0,10000.0,14.974672078570226,4.8629962299279335,0.03799215804631198,7.810751280896075,0.061021494382000586,2.7102376933672128,0.02117373197943135,3.030784969957665,10.0,128.0,0.9764302381093529,128.0,8.0,10.0,26.0,70.0,0.0625,0.078125,0.203125,0.546875,78.125,2,67.85
features.14,conv,4,256,1,False,256.0,0,8.0,8.0,160000,215.8600632689326,20.3321239890043,0.07942235933204805,45.755359600890394,0.1787318734409781,7.028928800178786,0.027456753125698383,1.554752420598116,10,256,0.994939195390807,256,64,114,206,249,0.25,0.4453125,0.8046875,0.97265625,625.0,256.0,10000.0,34.7243272582963,6.253418065347414,0.024427414317763334,10.06464186485407,0.03931500728458621,3.3560130595047672,0.013109426013690497,2.7097462829753307,10.0,256.0,0.9578463289593895,256.0,9.0,13.0,48.0,135.0,0.03515625,0.05078125,0.1875,0.52734375,39.0625,2,67.85
features.17,conv,5,256,1,False,256.0,0,8.0,8.0,160000,257.17988959467016,29.23990963915076,0.11421839702793266,64.01338816822548,0.25005229753213076,9.792978556485702,0.03825382248627227,1.3439281163042773,10,256,0.9955618139783283,256,96,151,226,253,0.375,0.58984375,0.8828125,0.98828125,625.0,256.0,10000.0,38.04931199421866,7.389978773128666,0.028867104582533852,12.684818193649871,0.04955007106894481,3.692619577214925,0.0144242952234958,2.2905974054006433,10.0,256.0,0.969965386974973,256.0,11.0,20.0,77.0,182.0,0.04296875,0.078125,0.30078125,0.7109375,39.0625,2,67.85
features.20,conv,6,256,1,False,256.0,0,8.0,8.0,160000,253.26752400937508,34.40680399741438,0.13440157811489992,75.24746859606644,0.29393542420338453,11.731698567893941,0.04582694753083571,1.2549341909756917,10,256,0.9960338794512646,256,114,166,232,254,0.4453125,0.6484375,0.90625,0.9921875,625.0,256.0,10000.0,35.94442077095646,8.051070084890661,0.031449492519104144,14.425226658735333,0.056348541635684896,3.9062997340482144,0.015258983336125838,2.279468774167357,10.0,256.0,0.962327571103914,256.0,13.0,26.0,92.0,191.0,0.05078125,0.1015625,0.359375,0.74609375,39.0625,2,67.85
features.24,conv,7,512,1,False,512.0,0,4.0,4.0,160000,493.6708622375718,15.566496064005692,0.030403312625011118,50.678321684439496,0.09898109703992089,6.498040283396659,0.012691484928509099,1.3218743645798645,10,512,0.9912395764594297,512,115,227,415,499,0.224609375,0.443359375,0.810546875,0.974609375,312.5,512.0,10000.0,75.14093824952838,8.40444019146653,0.016414922248958068,17.53648230366052,0.034250941999336953,4.069492414073942,0.007948227371238167,2.001363087020613,10.0,512.0,0.9513733089240359,512.0,19.0,54.0,196.0,397.0,0.037109375,0.10546875,0.3828125,0.775390625,19.53125,2,67.85
features.27,conv,8,512,1,False,512.0,0,4.0,4.0,160000,485.9719749378266,20.907431169224605,0.040834826502391806,66.76179124915556,0.13039412353350696,7.978319625278756,0.01558265551812257,1.2032787659435247,10,512,0.9945499353196487,512,156,274,443,504,0.3046875,0.53515625,0.865234375,0.984375,312.5,512.0,10000.0,71.46944327491906,7.739274033566607,0.01511576959680978,17.401124588727637,0.033986571462358665,3.7018810906628086,0.007230236505200798,1.7567798465310938,10.0,512.0,0.9669358184957673,512.0,22.0,64.0,236.0,436.0,0.04296875,0.125,0.4609375,0.8515625,19.53125,2,67.85
features.30,conv,9,512,1,False,512.0,0,4.0,4.0,160000,487.3253586495299,22.31186031510377,0.043577852177937054,70.58563102265335,0.13786256059111981,7.784515439381266,0.015204131717541536,1.1835786764137546,10,512,0.9942487214494277,512,164,283,446,505,0.3203125,0.552734375,0.87109375,0.986328125,312.5,512.0,10000.0,71.40990539562983,6.100129985749282,0.011914316378416567,14.51153417070672,0.02834284017716156,2.9793495831127936,0.005819042154517175,1.7260276798492902,10.0,512.0,0.9609950127840704,512.0,19.0,60.0,233.0,433.0,0.037109375,0.1171875,0.455078125,0.845703125,19.53125,2,67.85
