layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
conv1,conv,0,64,1,False,27.0,0,32.0,32.0,160000,23.681461885905513,3.5731655655412866,0.0558307119615826,4.835566656192329,0.07555572900300514,2.1663748088259887,0.03384960638790607,10.9770656843067,10,64,0.9775632657402837,42,5,6,8,10,0.078125,0.09375,0.125,0.15625,2500.0,64.0,10000.0,5.48218841354667,2.126481449210926,0.033226272643920716,2.4825388389869647,0.038789669359171323,1.6100431298272146,0.02515692390355023,6.374821986696492,10.0,64.0,0.8890555858593477,41.0,3.0,3.0,3.0,5.0,0.046875,0.046875,0.046875,0.078125,156.25,50,85.03
layer1.0.conv1,conv,1,64,1,False,64.0,0,32.0,32.0,160000,0.5145846049789325,5.8417488747710955,0.09127732616829837,7.204284446434781,0.11256694447554345,3.5922784570782857,0.056129350891848215,7.877616579689612,10,64,0.9476553014913899,60,6,8,10,15,0.09375,0.125,0.15625,0.234375,2500.0,64.0,10000.0,0.05204758640652034,2.957234924652157,0.046206795697689956,4.011222359091065,0.0626753493607979,1.9848214628428666,0.03101283535691979,8.68230263794047,10.0,64.0,0.9566720524091835,61.0,4.0,5.0,9.0,13.0,0.0625,0.078125,0.140625,0.203125,156.25,50,85.03
layer1.0.conv2,conv,2,64,1,False,64.0,0,32.0,32.0,160000,1.7048252524942824,9.375866472642162,0.14649791363503378,12.938225583388336,0.20215977474044275,5.325756608227279,0.08321494700355124,5.114685004523543,10,64,0.9801977424137478,64,11,15,23,37,0.171875,0.234375,0.359375,0.578125,2500.0,64.0,10000.0,0.07866324737945958,3.0697979225814374,0.04796559254033496,4.02417397022258,0.06287771828472781,2.4132052296493507,0.037706331713271105,5.468818565569731,10.0,64.0,0.9771048583135122,64.0,3.0,5.0,10.0,20.0,0.046875,0.078125,0.15625,0.3125,156.25,50,85.03
layer1.0.conv3,conv,3,256,1,False,64.0,0,32.0,32.0,160000,0.4528014239245245,5.996405262967247,0.02342345805846581,8.325561351640498,0.0325217240298457,3.5959650131040877,0.014046738332437842,8.62670462206306,10,256,0.9225138237483569,152,8,10,16,31,0.03125,0.0390625,0.0625,0.12109375,625.0,256.0,10000.0,0.011949269184051679,3.3309905200060257,0.013011681718773538,4.839923959506981,0.018905952966824145,2.2720153819728437,0.00887506008583142,8.328988533068129,10.0,256.0,0.9407238874823006,160.0,5.0,7.0,12.0,22.0,0.01953125,0.02734375,0.046875,0.0859375,39.0625,50,85.03
layer1.0.downsample.0,conv,4,256,1,False,64.0,0,32.0,32.0,160000,1.5839775435359307,6.016220067103957,0.02350085963712483,7.3985525449488305,0.02890059587870637,3.82528125500256,0.01494250490235375,7.065946464710997,10,256,0.9705833554383163,151,7,8,9,15,0.02734375,0.03125,0.03515625,0.05859375,625.0,256.0,10000.0,0.31514758399129705,2.7344096671107243,0.010681287762151267,3.524507346267267,0.013767606821356512,1.8607949646391384,0.007268730330621634,6.808329668233836,10.0,256.0,0.9809553408856715,157.0,3.0,4.0,6.0,11.0,0.01171875,0.015625,0.0234375,0.04296875,39.0625,50,85.03
layer1.0,block,5,256,1,False,,0,32.0,32.0,160000,3.63844478167542,13.512225502618668,0.05278213086960417,24.302083834934006,0.09493001498021096,6.851340131215409,0.02676304738756019,3.2250847670483433,10,256,0.27932897874187435,252,26,42,108,205,0.1015625,0.1640625,0.421875,0.80078125,625.0,256.0,10000.0,0.386337337822913,4.500662397683577,0.017580712490951472,7.410403233167051,0.02894688762955879,2.559549526454033,0.009998240337711066,3.8458564803295165,10.0,256.0,0.5346011609705719,252.0,7.0,12.0,27.0,80.0,0.02734375,0.046875,0.10546875,0.3125,39.0625,50,85.03
layer1.1.conv1,conv,6,64,1,False,64.0,0,32.0,32.0,160000,1.2847121832711121,4.927310707849461,0.07698922981014783,6.9348250337703385,0.10835664115266154,2.8857490837895576,0.04508982943421184,4.898444926065022,10,64,0.9786856961630365,64,6,8,14,28,0.09375,0.125,0.21875,0.4375,2500.0,64.0,10000.0,0.05989722107452333,3.9876130007693384,0.06230645313702091,5.636286714097168,0.08806697990776825,2.3632064364262466,0.0369251005691601,5.728691860788892,10.0,64.0,0.9855248609405057,64.0,5.0,7.0,12.0,21.0,0.078125,0.109375,0.1875,0.328125,156.25,50,85.03
layer1.1.conv2,conv,7,64,1,False,64.0,0,32.0,32.0,160000,1.232772159333701,9.23923235491241,0.1443630055455064,12.898012287514984,0.20153144199242162,4.617607679340041,0.07215011998968814,4.11416703911048,10,64,0.98753318916019,64,11,15,25,44,0.171875,0.234375,0.390625,0.6875,2500.0,64.0,10000.0,0.02706977343097733,2.6208334950134753,0.04095052335958555,4.219226001970285,0.0659254062807857,1.7010733074035367,0.02657927042818026,4.977790768212117,10.0,64.0,0.9771619660504164,64.0,5.0,6.0,10.0,22.0,0.078125,0.09375,0.15625,0.34375,156.25,50,85.03
layer1.1.conv3,conv,8,256,1,False,64.0,0,32.0,32.0,160000,0.3304371876463586,6.847007681518491,0.026746123755931606,9.187300456261891,0.03588789240727301,3.9620264678075747,0.015476665889873339,8.82191160295172,10,256,0.9034371995346454,151,8,10,18,35,0.03125,0.0390625,0.0703125,0.13671875,625.0,256.0,10000.0,0.004215188702488874,2.5391925444559047,0.009918720876780878,4.47446620473457,0.017478383612244415,1.6561069717606631,0.00646916785844009,8.68579178825784,10.0,256.0,0.9319542411820583,161.0,6.0,8.0,14.0,24.0,0.0234375,0.03125,0.0546875,0.09375,39.0625,50,85.03
layer1.1,block,9,256,1,False,,0,32.0,32.0,160000,5.184615122228575,16.405365468684547,0.06408345886204901,30.39200502674385,0.11871876963571816,6.737812938878158,0.026319581792492806,2.244151003345743,10,256,0.9791122433089932,255,33,55,133,223,0.12890625,0.21484375,0.51953125,0.87109375,625.0,256.0,10000.0,0.38926881834980276,5.047545123211332,0.019716973137544266,8.507332500645228,0.03323176758064542,2.7352503884300012,0.010684571829804692,3.2295304724273675,10.0,256.0,0.5322725962533319,255.0,8.0,13.0,32.0,98.0,0.03125,0.05078125,0.125,0.3828125,39.0625,50,85.03
