layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,pooled_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,epoch,test_acc
features.0,conv,0,64,1,False,27,0,32.0,32.0,160000,18.66142743640964,2.0095819882284762,0.03139971856606994,3.2309441136236465,0.05048350177536948,1.447805174653278,0.02262195585395747,12.847449907572834,10,64,0.9300741317746029,45,4,5,9,13,0.0625,0.078125,0.140625,0.203125,2500.0,64.0,10000.0,4.614427525783393,1.3499984339782567,0.02109372553091026,1.6570831873669916,0.025891924802609243,1.1733696260251671,0.018333900406643237,8.146894833108364,10.0,64.0,0.9683723047170172,42.0,2.0,2.0,3.0,4.0,0.03125,0.03125,0.046875,0.0625,156.25,3,72.21
features.3,conv,1,64,1,False,64,0,32.0,32.0,160000,64.94079018948526,8.619590931302682,0.1346811083016044,14.564140700950439,0.2275646984523506,3.7795834308960634,0.05905599110775099,2.5037454227098657,10,64,0.9926954469619449,64,14,21,42,60,0.21875,0.328125,0.65625,0.9375,2500.0,64.0,10000.0,8.950894852256274,2.857187790594467,0.044643559228038546,3.875070198999259,0.06054797185936342,1.9144681689442438,0.02991356513975381,4.301287659031786,10.0,64.0,0.9883991982463984,64.0,3.0,4.0,9.0,20.0,0.046875,0.0625,0.140625,0.3125,156.25,3,72.21
features.7,conv,2,128,1,False,128,0,16.0,16.0,160000,84.3038059339703,12.487534535534545,0.09755886355886363,25.662206430388675,0.20048598773741153,4.7685763134821535,0.037254502449079324,1.9678918173771904,10,128,0.9933734404886073,128,30,49,94,123,0.234375,0.3828125,0.734375,0.9609375,1250.0,128.0,10000.0,12.491204490866926,4.105309196840666,0.0320727281003177,6.108324251800635,0.04772128321719246,2.5395143518168095,0.019839955873568824,3.7072454856259953,10.0,128.0,0.9704770192894766,128.0,6.0,8.0,16.0,45.0,0.046875,0.0625,0.125,0.3515625,78.125,3,72.21
features.10,conv,3,128,1,False,128,0,16.0,16.0,160000,104.76841053032646,16.60295025526107,0.12971054886922712,34.554564479199975,0.2699575349937498,5.5952624120807055,0.04371298759438051,1.5882092836002004,10,128,0.9976938426853388,128,44,69,110,126,0.34375,0.5390625,0.859375,0.984375,1250.0,128.0,10000.0,13.818403803834396,5.043976315290672,0.03940606496320837,8.003609663871115,0.06252820049899309,2.7435347881342422,0.021433865532298767,3.0157289031395975,10.0,128.0,0.9780400859752947,128.0,7.0,10.0,25.0,70.0,0.0546875,0.078125,0.1953125,0.546875,78.125,3,72.21
features.14,conv,4,256,1,False,256,0,8.0,8.0,160000,242.45780094494174,20.457003523653757,0.07991017001427249,43.29288118773722,0.16911281713959853,7.2494063613335635,0.028317993598959233,1.6380067811739074,10,256,0.9955978383377703,256,55,102,199,248,0.21484375,0.3984375,0.77734375,0.96875,625.0,256.0,10000.0,34.86669489411641,6.452372245481905,0.02520457908391369,10.212284936017337,0.03989173803131772,3.414846832399416,0.013339245439060218,2.7313635214114282,10.0,256.0,0.9603246957817759,256.0,9.0,13.0,46.0,133.0,0.03515625,0.05078125,0.1796875,0.51953125,39.0625,3,72.21
features.17,conv,5,256,1,False,256,0,8.0,8.0,160000,264.8266006877959,30.00567436201508,0.1172096654766214,62.054252178229184,0.24239942257120775,10.887813049702508,0.04253051972540042,1.416381076996042,10,256,0.9962167581328468,256,87,142,223,252,0.33984375,0.5546875,0.87109375,0.984375,625.0,256.0,10000.0,34.344800241100614,8.073869293807492,0.03153855192893552,13.342902754511018,0.05212071388480866,4.3019346996210555,0.016804432420394748,2.3033195712167265,10.0,256.0,0.9725472712603932,256.0,11.0,21.0,77.0,183.0,0.04296875,0.08203125,0.30078125,0.71484375,39.0625,3,72.21
features.20,conv,6,256,1,False,256,0,8.0,8.0,160000,252.1733148902499,35.96664465529244,0.1404947056847361,74.32228466290488,0.2903214244644722,12.194487642561661,0.04763471735375649,1.325788586235531,10,256,0.9963072467707644,256,106,159,229,253,0.4140625,0.62109375,0.89453125,0.98828125,625.0,256.0,10000.0,30.67971971168228,8.562082050161534,0.03344563300844349,15.29891677093152,0.05976139363645125,4.448253474387846,0.017375990134327522,2.293026187730132,10.0,256.0,0.9665209028679681,256.0,14.0,28.0,94.0,193.0,0.0546875,0.109375,0.3671875,0.75390625,39.0625,3,72.21
features.24,conv,7,512,1,False,512,0,4.0,4.0,160000,500.1326974979681,16.16932956541196,0.031580721807445235,51.28220281724543,0.10016055237743247,7.020347454484465,0.013711616122039971,1.3728694891980584,10,512,0.9928035237745998,512,107,216,409,498,0.208984375,0.421875,0.798828125,0.97265625,312.5,512.0,10000.0,72.34673774723609,8.341372045834175,0.016291742277019874,17.655870672341834,0.034484122406917644,4.330029881376264,0.008457089612063016,2.0151299842725616,10.0,512.0,0.952078177092834,512.0,20.0,54.0,196.0,396.0,0.0390625,0.10546875,0.3828125,0.7734375,19.53125,3,72.21
features.27,conv,8,512,1,False,512,0,4.0,4.0,160000,485.1349230081256,21.1606194549124,0.04132933487287578,66.65154734818711,0.13017880341442795,7.792686354757187,0.01522009053663513,1.2551718653629826,10,512,0.9962401210512141,512,145,263,438,503,0.283203125,0.513671875,0.85546875,0.982421875,312.5,512.0,10000.0,71.15704323001266,7.545515910506191,0.014737335762707405,17.175119682197806,0.03354515562929259,3.606250016023147,0.007043457062545209,1.7752310903997357,10.0,512.0,0.9697638650718272,512.0,20.0,58.0,228.0,432.0,0.0390625,0.11328125,0.4453125,0.84375,19.53125,3,72.21
features.30,conv,9,512,1,False,512,0,4.0,4.0,160000,493.2581153371382,23.31939114411112,0.04554568582834203,71.288442362906,0.13923523899005077,8.545017783413181,0.01668948785822887,1.2414829766514184,10,512,0.9961313915013063,512,153,271,441,504,0.298828125,0.529296875,0.861328125,0.984375,312.5,512.0,10000.0,72.45802086511934,6.980413145408177,0.013633619424625345,15.578785095027857,0.030427314638726284,3.3983299659557775,0.006637363214757378,1.7518806056225835,10.0,512.0,0.965766153620554,512.0,18.0,53.0,223.0,429.0,0.03515625,0.103515625,0.435546875,0.837890625,19.53125,3,72.21
features.34,conv,10,512,1,False,512,0,2.0,2.0,40000,908.239495165387,6.848875015282093,0.013376709014222839,19.71831556326775,0.038512335084507326,3.66198209288267,0.007152308775161465,1.2981961948491574,10,512,0.9805880239972797,512,33,108,360,491,0.064453125,0.2109375,0.703125,0.958984375,78.125,512.0,10000.0,161.58812219453762,6.498576214712119,0.012692531669359608,16.481787269867073,0.03219099076145913,3.0840553294749333,0.006023545565380729,1.358906902865725,10.0,512.0,0.9702674782577453,512.0,25.0,95.0,313.0,474.0,0.048828125,0.185546875,0.611328125,0.92578125,19.53125,3,72.21
