layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,model,weights,source,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok
features.0,conv,0,64,1,False,27.0,0,224.0,224.0,800000,37.12099953360978,4.6661261985964195,0.07290822185306906,5.0862261126713255,0.07947228301048946,3.5853185262894907,0.05602060197327329,23.106881927518106,10,64,0.8884901869783062,33,5,5,6,8,0.078125,0.078125,0.09375,0.125,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,0.18518518518518517,0.18518518518518517,0.2222222222222222,0.2962962962962963,0.421875,50000.0,6.224143142839339,2.8267014859118067,0.04416721071737198,2.9194572388782745,0.04561651935747304,2.2475561754279094,0.035118065241061085,18.21028424210488,10.0,64.0,0.8650341283693312,26.0,3.0,3.0,3.0,3.0,0.046875,0.046875,0.046875,0.046875,781.25,True
features.2,act,1,64,1,False,,0,224.0,224.0,800000,1.2798334099250301,6.323756415539575,0.09880869399280585,9.174171190377407,0.143346424849647,3.17311413569691,0.04957990837026422,29.037385485080957,10,64,0.4262302965588438,43,9,11,15,24,0.140625,0.171875,0.234375,0.375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.10795642848715291,4.615806715985057,0.07212197993726652,6.164098669566851,0.09631404171198205,2.968189443173616,0.04637796004958775,32.23655841181879,10.0,64.0,0.3137085327717657,43.0,5.0,7.0,13.0,24.0,0.078125,0.109375,0.203125,0.375,781.25,True
features.3,conv,2,64,1,False,64.0,0,224.0,224.0,800000,15.968743582163599,9.579736078690825,0.14968337622954414,12.842202826432457,0.20065941916300714,6.020915687399913,0.09407680761562363,6.473164051350709,10,64,0.4388248343745076,63,11,14,24,41,0.171875,0.21875,0.375,0.640625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,0.171875,0.21875,0.375,0.640625,1.0,50000.0,1.6953451473889019,2.8803840137222076,0.045006000214409494,3.5953230808176446,0.0561769231377757,2.1409224964505733,0.03345191400704021,9.997250544588816,10.0,64.0,0.7059870891756015,62.0,3.0,4.0,6.0,13.0,0.046875,0.0625,0.09375,0.203125,781.25,True
features.5,act,3,64,1,False,,0,224.0,224.0,800000,1.9109106344562063,15.809184627520942,0.24701850980501472,24.1799555987478,0.37781180623043437,8.642628065347917,0.1350410635210612,5.538657512401825,10,64,0.16910856977974842,62,25,33,48,60,0.390625,0.515625,0.75,0.9375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],12500.0,True,,,,,,50000.0,0.26968017930585936,3.738993561340364,0.05842177439594319,5.549476911633818,0.0867105767442784,2.590623198167662,0.04047848747136972,5.822246628659135,10.0,64.0,0.23939151821857108,62.0,5.0,7.0,18.0,37.0,0.078125,0.109375,0.28125,0.578125,781.25,True
features.7,conv,4,128,1,False,128.0,0,112.0,112.0,800000,23.545738036463487,11.819443416729523,0.0923394016931994,20.9462296209137,0.1636424189133883,4.766188570705641,0.03723584820863782,8.674522647079874,10,128,0.47822021561738604,118,22,30,51,83,0.171875,0.234375,0.3984375,0.6484375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,0.171875,0.234375,0.3984375,0.6484375,1.0,50000.0,2.6093958840409677,3.1101514080071584,0.024298057875055925,5.10696902015067,0.03989819546992711,1.876919821493541,0.014663436105418289,10.987937707630213,10.0,128.0,0.6174388693000463,109.0,6.0,7.0,12.0,22.0,0.046875,0.0546875,0.09375,0.171875,390.625,True
features.9,act,5,128,1,False,,0,112.0,112.0,800000,1.8798807840276102,37.089796176829,0.28976403263147654,53.78523255227252,0.42019712931462905,16.079566012791584,0.12562160947493425,10.92822825195981,10,128,0.2285166406684136,106,53,67,89,101,0.4140625,0.5234375,0.6953125,0.7890625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.07356886876709728,6.541107227578247,0.051102400215455056,12.56126414707585,0.09813487614903008,3.0373908935002394,0.02372961635547062,11.54836151290154,10.0,128.0,0.2561941877159737,105.0,13.0,22.0,49.0,89.0,0.1015625,0.171875,0.3828125,0.6953125,390.625,True
features.10,conv,6,128,1,False,128.0,0,112.0,112.0,800000,12.34025467877052,26.495067129028204,0.20699271194553284,40.629954520245775,0.3174215196894201,11.279936820885608,0.08812450641316881,4.378529766637947,10,128,0.27546066928235513,125,38,51,82,114,0.296875,0.3984375,0.640625,0.890625,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,0.296875,0.3984375,0.640625,0.890625,1.0,50000.0,0.6250461058796614,3.9386844307783124,0.030770972115455566,6.956365803799826,0.05434660784218614,2.158849607306894,0.01686601255708511,6.432112809114187,10.0,128.0,0.46423653724995384,123.0,7.0,10.0,19.0,43.0,0.0546875,0.078125,0.1484375,0.3359375,390.625,True
features.12,act,7,128,1,False,,0,112.0,112.0,800000,3.046361423962943,50.21578059786665,0.3923107859208332,74.37877795905142,0.5810842028050892,18.334278800620677,0.14323655312984904,3.008904306267356,10,128,0.10194530530330637,123,76,94,115,122,0.59375,0.734375,0.8984375,0.953125,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],6250.0,True,,,,,,50000.0,0.16125257883928817,8.062423614672795,0.06298768448963121,14.344485921474439,0.11206629626151905,3.6185268455805275,0.02826974098109787,4.476443624490523,10.0,128.0,0.21611461571986168,123.0,15.0,22.0,51.0,97.0,0.1171875,0.171875,0.3984375,0.7578125,390.625,True
features.14,conv,8,256,1,False,256.0,0,56.0,56.0,800000,35.400338124955205,31.198419534509,0.12186882630667578,56.28271481042475,0.21985435472822168,9.53273403305677,0.037237242316628005,3.701564393881042,10,256,0.33236811617840634,252,57,80,143,214,0.22265625,0.3125,0.55859375,0.8359375,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,0.22265625,0.3125,0.55859375,0.8359375,1.0,50000.0,3.062777533928771,8.5293694137944,0.03331784927263438,14.270256832109606,0.05574319075042815,3.6582173855617786,0.014289911662350697,6.36606690405145,10.0,256.0,0.5962627026947791,247.0,14.0,19.0,32.0,62.0,0.0546875,0.07421875,0.125,0.2421875,195.3125,True
features.16,act,9,256,1,False,,0,56.0,56.0,800000,3.475915940133416,80.02618486044771,0.3126022846111239,130.0073046920673,0.5078410339533879,25.56269629768924,0.09985428241284859,2.346416745223493,10,256,0.11536811276385872,247,141,180,226,242,0.55078125,0.703125,0.8828125,0.9453125,vgg16_bn,VGG16_BN_Weights.IMAGENET1K_V1,imagenet_val[50000],3125.0,True,,,,,,50000.0,0.17359667031340817,14.05363661963565,0.05489701804545176,27.898515233723842,0.10897857513173376,5.811635885019379,0.02270170267585695,3.2816760021146107,10.0,256.0,0.20224669503803971,247.0,31.0,55.0,133.0,218.0,0.12109375,0.21484375,0.51953125,0.8515625,195.3125,True
