layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
patch_embed.proj,conv,0,768,1,False,768.0,0,14.0,14.0,204800,230.40661753887272,23.364457231121776,0.030422470353023146,36.98676642113425,0.048159852110851886,10.354579141021187,0.01348252492320467,6.781673449066414,10,768,0.8831532995238491,753,33,51,112,166,0.04296875,0.06640625,0.14583333333333334,0.21614583333333334,266.6666666666667,True,0.04296875,0.06640625,0.14583333333333334,0.21614583333333334,1.0,6400.0,18.459010674699346,3.4083857376058013,0.004438002262507554,4.658805875574583,0.006066153483821071,2.576779574077311,0.003355181737079832,6.917104212996924,10.0,768.0,0.8882946990565783,706.0,3.0,7.0,26.0,93.0,0.00390625,0.009114583333333334,0.033854166666666664,0.12109375,8.333333333333334,False,True
blocks.0.attn.qkv,linear,1,2304,1,False,768.0,0,197.0,1.0,204800,1798.8336776043598,11.057091956328877,0.0047990850504899644,30.19731919716241,0.01310647534599063,4.504247391622386,0.001954968485947216,9.519351079951392,10,2304,0.9193661083467276,529,51,72,110,158,0.022135416666666668,0.03125,0.04774305555555555,0.0685763888888889,88.88888888888889,True,0.06640625,0.09375,0.14322916666666666,0.20572916666666666,0.3333333333333333,6400.0,352.66227627615183,2.793620840748585,0.0012125090454637956,3.528053293847945,0.0015312731310103927,2.0533956266105684,0.0008912307407163925,9.273286564826268,10.0,2304.0,0.9385848787992783,392.0,3.0,4.0,10.0,74.0,0.0013020833333333333,0.001736111111111111,0.004340277777777778,0.03211805555555555,2.7777777777777777,False,True
blocks.0.attn.proj,linear,2,768,1,False,768.0,0,197.0,1.0,204800,53.33631069415117,4.1271789218773565,0.005373930887861141,15.757633500629785,0.02051775195394503,2.0728384938430957,0.002699008455524864,4.629619902822652,10,768,0.8118084156408167,765,35,59,123,236,0.045572916666666664,0.07682291666666667,0.16015625,0.3072916666666667,266.6666666666667,True,0.045572916666666664,0.07682291666666667,0.16015625,0.3072916666666667,1.0,6400.0,12.80944678162434,2.6380543062342596,0.003434966544575859,4.70754301630338,0.00612961330247836,1.7086103117154834,0.0022247530100462025,4.239053124042211,10.0,768.0,0.813260936182952,765.0,5.0,7.0,38.0,146.0,0.006510416666666667,0.009114583333333334,0.049479166666666664,0.19010416666666666,8.333333333333334,False,True
blocks.0.mlp.fc1,linear,3,3072,1,False,768.0,0,197.0,1.0,204800,3206.5453872612884,20.69864847870135,0.006737841301660596,54.87974478137514,0.017864500254353887,6.323014814316279,0.002058273051535247,8.315118477547761,10,3072,0.8466319233051248,535,77,109,160,194,0.025065104166666668,0.035481770833333336,0.052083333333333336,0.06315104166666667,66.66666666666667,True,0.10026041666666667,0.14192708333333334,0.20833333333333334,0.2526041666666667,0.25,6400.0,308.3029097328099,3.5284872404229657,0.0011485961069085174,5.638028998462407,0.0018352958979369815,2.285755638440572,0.0007440610802215403,8.491992444795216,10.0,3072.0,0.864092815521413,533.0,5.0,8.0,49.0,149.0,0.0016276041666666667,0.0026041666666666665,0.015950520833333332,0.048502604166666664,2.0833333333333335,False,True
blocks.0.mlp.act,act,4,3072,1,False,,0,197.0,1.0,204800,246.0978348155087,126.96999594043236,0.04133137888685949,362.740550083836,0.11807960614708203,19.052633037984624,0.006202028983718953,2.707887993961004,10,3072,0.687528878017574,3057,489,774,1319,1930,0.1591796875,0.251953125,0.4293619791666667,0.6282552083333334,66.66666666666667,True,,,,,,6400.0,15.641161117679692,8.468512101578785,0.002756677116399344,21.26361993744685,0.00692175128172098,3.8727224136343708,0.0012606518273549385,3.123981674151158,10.0,3072.0,0.6635496737073137,3057.0,30.0,94.0,484.0,1267.0,0.009765625,0.030598958333333332,0.15755208333333334,0.4124348958333333,2.0833333333333335,False,True
blocks.0.mlp.fc2,linear,5,768,1,False,768.0,0,197.0,1.0,204800,116.36284260679076,11.698637841607729,0.015232601356260063,44.71550770053771,0.05822331731840847,3.8483565662155828,0.005010880945593207,2.557044575306148,10,768,0.9355137578349643,768,83,134,280,541,0.10807291666666667,0.17447916666666666,0.3645833333333333,0.7044270833333334,266.6666666666667,True,0.10807291666666667,0.17447916666666666,0.3645833333333333,0.7044270833333334,1.0,6400.0,18.939331999916835,4.5068600908986225,0.005868307410024248,9.831743595557366,0.012801749473381988,2.355313413436698,0.0030668143404123673,3.074552591400356,10.0,768.0,0.9715837422962424,768.0,12.0,20.0,62.0,212.0,0.015625,0.026041666666666668,0.08072916666666667,0.2760416666666667,8.333333333333334,False,True
blocks.1.attn.qkv,linear,6,2304,1,False,768.0,0,197.0,1.0,204800,1701.6680555818905,17.44964712010781,0.007573631562546792,32.4355224483135,0.014077917729302733,6.694558624543154,0.0029056244030135217,10.723087897973416,10,2304,0.8473294312125914,698,35,52,100,194,0.015190972222222222,0.022569444444444444,0.043402777777777776,0.0842013888888889,88.88888888888889,True,0.045572916666666664,0.06770833333333333,0.13020833333333334,0.2526041666666667,0.3333333333333333,6400.0,235.23105601127406,6.013603573216646,0.002610070995319725,9.557555392807208,0.004148244528128129,3.64518585894195,0.0015821119179435547,11.091116168909588,10.0,2304.0,0.8620868460512919,696.0,9.0,15.0,43.0,101.0,0.00390625,0.006510416666666667,0.018663194444444444,0.04383680555555555,2.7777777777777777,False,True
blocks.1.attn.proj,linear,7,768,1,False,768.0,0,197.0,1.0,204800,40.67252336994474,19.61199840170644,0.025536456252221926,42.22836805679887,0.05498485424062353,7.384888519058717,0.009615740259191038,4.338202926207271,10,768,0.7690077970272503,764,50,76,153,314,0.06510416666666667,0.09895833333333333,0.19921875,0.4088541666666667,266.6666666666667,True,0.06510416666666667,0.09895833333333333,0.19921875,0.4088541666666667,1.0,6400.0,11.906783838827769,8.481087193917672,0.011043082283746968,14.731212884551809,0.01918126677676017,4.606077811568111,0.005997497150479311,4.235444254165605,10.0,768.0,0.7900798574293505,764.0,15.0,26.0,72.0,199.0,0.01953125,0.033854166666666664,0.09375,0.2591145833333333,8.333333333333334,False,True
blocks.1.mlp.fc1,linear,8,3072,1,False,768.0,0,197.0,1.0,204800,2428.258858769476,25.109698212832786,0.008173729886989839,57.289441348832966,0.018648906689073232,7.6625402409033105,0.0024943164846690465,9.706664841019068,10,3072,0.8328779775226325,736,72,107,195,319,0.0234375,0.034830729166666664,0.0634765625,0.10384114583333333,66.66666666666667,True,0.09375,0.13932291666666666,0.25390625,0.4153645833333333,0.25,6400.0,401.0268310691998,6.686591144568309,0.0021766247215391633,12.474103163929398,0.004060580457008267,3.2270061494221434,0.0010504577309316872,10.036770892479169,10.0,3072.0,0.8489737612828194,723.0,12.0,21.0,65.0,178.0,0.00390625,0.0068359375,0.021158854166666668,0.057942708333333336,2.0833333333333335,False,True
blocks.1.mlp.act,act,9,3072,1,False,,0,197.0,1.0,204800,93.32436996434744,37.03777748611029,0.012056568192093194,256.3768464724815,0.08345600471109423,8.568747551910052,0.00278930584372072,2.6551208151652745,10,3072,0.32795522167479274,2995,655,1062,1789,2338,0.21321614583333334,0.345703125,0.5823567708333334,0.7610677083333334,66.66666666666667,True,,,,,,6400.0,11.15499588057745,8.73150939552654,0.002842288214689629,25.699852501614274,0.00836583740286923,4.001994431021257,0.0013027325621813987,3.164728375954016,10.0,3072.0,0.4087250365157714,2994.0,43.0,113.0,581.0,1625.0,0.013997395833333334,0.036783854166666664,0.18912760416666666,0.5289713541666666,2.0833333333333335,False,True
