layer,kind,depth_index,C,groups,is_depthwise,r_max,call_index,H,W,n_samples,total_variance,participation_ratio,participation_ratio_norm,effective_rank,effective_rank_norm,stable_rank,stable_rank_norm,powerlaw_alpha,powerlaw_fit_lo,powerlaw_fit_hi,powerlaw_r2,nonzero_eigs,k_star_0.9,k_star_0.95,k_star_0.99,k_star_0.999,k_star_ratio_0.9,k_star_ratio_0.95,k_star_ratio_0.99,k_star_ratio_0.999,n_over_C,n_over_C_ok,k_star_rmax_0.9,k_star_rmax_0.95,k_star_rmax_0.99,k_star_rmax_0.999,r_max_over_C,pooled_n_samples,pooled_total_variance,pooled_participation_ratio,pooled_participation_ratio_norm,pooled_effective_rank,pooled_effective_rank_norm,pooled_stable_rank,pooled_stable_rank_norm,pooled_powerlaw_alpha,pooled_powerlaw_fit_lo,pooled_powerlaw_fit_hi,pooled_powerlaw_r2,pooled_nonzero_eigs,pooled_k_star_0.9,pooled_k_star_0.95,pooled_k_star_0.99,pooled_k_star_0.999,pooled_k_star_ratio_0.9,pooled_k_star_ratio_0.95,pooled_k_star_ratio_0.99,pooled_k_star_ratio_0.999,pooled_n_over_C,pooled_n_over_C_ok,ok
patch_embed.proj,conv,0,768,1,False,768.0,0,14.0,14.0,204800,358.93489424691796,2.008494703964082,0.002615227479119898,4.763758794124047,0.006202810929849019,1.431300776138765,0.0018636728855973503,4.1074730084259805,10,768,0.8141060182490016,758,8,21,100,254,0.010416666666666666,0.02734375,0.13020833333333334,0.3307291666666667,266.6666666666667,True,0.010416666666666666,0.02734375,0.13020833333333334,0.3307291666666667,1.0,6400.0,96.85638101135922,1.469617299957167,0.0019135641926525612,1.8663601594560448,0.0024301564576250582,1.232621950537627,0.0016049764980958685,4.062056926656004,10.0,768.0,0.840978681724077,732.0,2.0,2.0,3.0,21.0,0.0026041666666666665,0.0026041666666666665,0.00390625,0.02734375,8.333333333333334,False,True
blocks.0.attn.qkv,linear,1,2304,1,False,768.0,0,197.0,1.0,204800,698.7426896627427,2.951860577462733,0.001281189486745978,8.483298344410764,0.0036819871286505055,1.7651075836029846,0.0007661057220499065,5.9046400064554625,10,2304,0.8325647321838617,1521,17,43,150,349,0.007378472222222222,0.018663194444444444,0.06510416666666667,0.15147569444444445,88.88888888888889,True,0.022135416666666668,0.055989583333333336,0.1953125,0.4544270833333333,0.3333333333333333,6400.0,164.17191258328538,1.8585253914026727,0.0008066516455740766,2.3619507705889733,0.0010251522441792418,1.4376779061140368,0.000623992146750884,4.9193378209214655,10.0,2304.0,0.9183063362517446,1518.0,2.0,3.0,4.0,45.0,0.0008680555555555555,0.0013020833333333333,0.001736111111111111,0.01953125,2.7777777777777777,False,True
blocks.0.attn.proj,linear,2,768,1,False,768.0,0,197.0,1.0,204800,17.00446880724962,2.2984214916857018,0.002992736317299091,3.3883157723108392,0.004411869495196405,1.633926343223468,0.0021275082594055575,3.1989272776650366,10,768,0.8487156772425108,762,3,4,16,111,0.00390625,0.005208333333333333,0.020833333333333332,0.14453125,266.6666666666667,True,0.00390625,0.005208333333333333,0.020833333333333332,0.14453125,1.0,6400.0,15.803384835730172,2.0088993653605893,0.002615754381979934,2.5720505326436025,0.0033490241310463573,1.5239048039499308,0.001984251046809806,3.4756956245071673,10.0,768.0,0.8366561113424473,764.0,2.0,3.0,6.0,64.0,0.0026041666666666665,0.00390625,0.0078125,0.08333333333333333,8.333333333333334,False,True
blocks.0.mlp.fc1,linear,3,3072,1,False,768.0,0,197.0,1.0,204800,953.2577700758659,3.2742687731170057,0.0010658426995823586,9.486654865507932,0.003088103797365863,1.8699521750121577,0.0006087083903034367,5.894720377661598,10,3072,0.8524308936255107,1898,17,43,155,375,0.005533854166666667,0.013997395833333334,0.050455729166666664,0.1220703125,66.66666666666667,True,0.022135416666666668,0.055989583333333336,0.20182291666666666,0.48828125,0.25,6400.0,260.82614335621025,2.021491826668693,0.0006580377039937152,2.7201038805426583,0.0008854504819474799,1.5192819431249789,0.0004945579241943291,5.080443814603195,10.0,3072.0,0.895682989857704,1893.0,3.0,3.0,8.0,69.0,0.0009765625,0.0009765625,0.0026041666666666665,0.0224609375,2.0833333333333335,False,True
blocks.0.mlp.act,act,4,3072,1,False,,0,197.0,1.0,204800,279.578528810949,4.454863473236954,0.001450150870194321,20.198239079255483,0.0065749476169451445,2.1886697050674626,0.0007124575862849813,1.677321029418942,10,3072,0.991901061783147,3072,62,181,975,2502,0.020182291666666668,0.058919270833333336,0.3173828125,0.814453125,66.66666666666667,True,,,,,,6400.0,70.96917601161122,2.3653884885787777,0.0007699832319592375,3.8855094021981897,0.0012648142585280566,1.6483998246955727,0.0005365884846014234,2.227868821101329,10.0,3072.0,0.9656690125167005,3072.0,3.0,7.0,22.0,300.0,0.0009765625,0.0022786458333333335,0.007161458333333333,0.09765625,2.0833333333333335,False,True
blocks.0.mlp.fc2,linear,5,768,1,False,768.0,0,197.0,1.0,204800,86.18016260240942,4.614520214756001,0.006008489862963543,18.63398905561045,0.024263006582826107,2.242265574742111,0.00291961663377879,1.6666379571104415,10,768,0.9782342998883472,768,53,128,405,687,0.06901041666666667,0.16666666666666666,0.52734375,0.89453125,266.6666666666667,True,0.06901041666666667,0.16666666666666666,0.52734375,0.89453125,1.0,6400.0,22.386003114383143,2.377407461819264,0.003095582632577167,3.838776781229528,0.004998407267225948,1.6653804318345171,0.002168464103951194,2.0821988615102587,10.0,768.0,0.9849434610572394,768.0,3.0,7.0,21.0,200.0,0.00390625,0.009114583333333334,0.02734375,0.2604166666666667,8.333333333333334,False,True
blocks.1.attn.qkv,linear,6,2304,1,False,768.0,0,197.0,1.0,204800,661.7347106620446,3.742533959402891,0.0016243636976575047,13.198603321560865,0.005728560469427459,2.0019624101147455,0.0008689072960567472,6.1034810618138495,10,2304,0.7161532274278584,1516,33,81,287,605,0.014322916666666666,0.03515625,0.12456597222222222,0.2625868055555556,88.88888888888889,True,0.04296875,0.10546875,0.3736979166666667,0.7877604166666666,0.3333333333333333,6400.0,176.47876315090812,2.1270030760777408,0.0009231784184365195,3.2321415860841247,0.0014028392300712348,1.5511424387926538,0.0006732389057259782,5.483003098298654,10.0,2304.0,0.7822904286658752,1520.0,3.0,4.0,18.0,139.0,0.0013020833333333333,0.001736111111111111,0.0078125,0.06032986111111111,2.7777777777777777,False,True
blocks.1.attn.proj,linear,7,768,1,False,768.0,0,197.0,1.0,204800,17.900803402128613,2.321429624802823,0.003022694823962009,4.069336989931135,0.005298615872306165,1.6152835441554856,0.002103233781452455,3.1125235932050046,10,768,0.8277190172442506,765,4,9,36,200,0.005208333333333333,0.01171875,0.046875,0.2604166666666667,266.6666666666667,True,0.005208333333333333,0.01171875,0.046875,0.2604166666666667,1.0,6400.0,17.084815182178545,2.137599222935773,0.0027833323215309545,3.3366792957456193,0.004344634499668775,1.549623085456937,0.0020177383925220533,3.309570444655087,10.0,768.0,0.8242796842860433,766.0,3.0,5.0,21.0,137.0,0.00390625,0.006510416666666667,0.02734375,0.17838541666666666,8.333333333333334,False,True
blocks.1.mlp.fc1,linear,8,3072,1,False,768.0,0,197.0,1.0,204800,902.8782898575693,3.708098774924418,0.001207063403295709,12.926769521674567,0.00420793278700344,1.9916074317170782,0.0006483097108454031,6.205652016200888,10,3072,0.776519338311362,1894,31,80,293,618,0.010091145833333334,0.026041666666666668,0.09537760416666667,0.201171875,66.66666666666667,True,0.040364583333333336,0.10416666666666667,0.3815104166666667,0.8046875,0.25,6400.0,259.9273594972185,2.189327949065629,0.0007126718584198012,3.387791427646513,0.001102796688687016,1.5777783007876003,0.0005135997072876303,5.5716662816882785,10.0,3072.0,0.8355013575416225,1893.0,3.0,5.0,20.0,152.0,0.0009765625,0.0016276041666666667,0.006510416666666667,0.049479166666666664,2.0833333333333335,False,True
blocks.1.mlp.act,act,9,3072,1,False,,0,197.0,1.0,204800,267.0263135977298,4.972103076139466,0.001618523136764149,25.363099904462125,0.008256217416817098,2.315307429058125,0.0007536808037298583,1.5900778629410208,10,3072,0.9938531549035113,3072,88,257,1245,2672,0.028645833333333332,0.08365885416666667,0.4052734375,0.8697916666666666,66.66666666666667,True,,,,,,6400.0,72.05555475988118,2.5618759283079666,0.0008339439870794162,4.69296586978795,0.001527658160738265,1.7121170876330178,0.0005573297811305397,2.2220557214344208,10.0,3072.0,0.9718065316401187,3072.0,5.0,9.0,41.0,453.0,0.0016276041666666667,0.0029296875,0.013346354166666666,0.1474609375,2.0833333333333335,False,True
blocks.1.mlp.fc2,linear,10,768,1,False,768.0,0,197.0,1.0,204800,81.55397790959874,5.0353634063085115,0.006556462768630874,22.63076004775691,0.029467135478850146,2.3378782126521367,0.00304411225605747,1.5877624529859564,10,768,0.9771429922840997,768,72,167,459,706,0.09375,0.21744791666666666,0.59765625,0.9192708333333334,266.6666666666667,True,0.09375,0.21744791666666666,0.59765625,0.9192708333333334,1.0,6400.0,22.199101162568077,2.6352187995287037,0.0034312744785529995,4.710255475361851,0.006133145150210744,1.7585368272751292,0.0022897614938478246,2.11391781053986,10.0,768.0,0.9873636251445216,768.0,5.0,9.0,38.0,275.0,0.006510416666666667,0.01171875,0.049479166666666664,0.3580729166666667,8.333333333333334,False,True
blocks.2.attn.qkv,linear,11,2304,1,False,768.0,0,197.0,1.0,204800,655.6970534473038,3.986848468300001,0.0017304029810329866,14.763922821934319,0.00640795261368677,2.0698446533158688,0.0008983700752239013,6.1564596889692496,10,2304,0.7060099660230994,1518,38,97,328,634,0.016493055555555556,0.04210069444444445,0.1423611111111111,0.2751736111111111,88.88888888888889,True,0.049479166666666664,0.12630208333333334,0.4270833333333333,0.8255208333333334,0.3333333333333333,6400.0,190.50254579143024,2.250199759521045,0.0009766492011810091,3.5959873212013487,0.0015607583859380853,1.6046600660527708,0.0006964670425576262,5.651019485676474,10.0,2304.0,0.7727947351496276,1520.0,3.0,6.0,23.0,184.0,0.0013020833333333333,0.0026041666666666665,0.009982638888888888,0.0798611111111111,2.7777777777777777,False,True
blocks.2.attn.proj,linear,12,768,1,False,768.0,0,197.0,1.0,204800,20.29283456624937,2.330687688624203,0.0030347495945627647,4.091716452008801,0.00532775579688646,1.626346457251162,0.0021176386162124502,3.1132035906059308,10,768,0.8218379479726268,766,4,9,39,212,0.005208333333333333,0.01171875,0.05078125,0.2760416666666667,266.6666666666667,True,0.005208333333333333,0.01171875,0.05078125,0.2760416666666667,1.0,6400.0,19.77057940644743,2.2195029965188704,0.0028899778600506125,3.5749941941057033,0.004654940356908468,1.5870213187252273,0.0020664340087568063,3.3438225216126307,10.0,768.0,0.8171940711326957,767.0,3.0,6.0,24.0,156.0,0.00390625,0.0078125,0.03125,0.203125,8.333333333333334,False,True
blocks.2.mlp.fc1,linear,13,3072,1,False,768.0,0,197.0,1.0,204800,850.4264890298266,4.2932425956219324,0.0013975399074290145,15.6925205654665,0.005108242371571126,2.1648575496545193,0.0007047062336114972,6.292818425450353,10,3072,0.7673450297595785,1894,39,99,339,649,0.0126953125,0.0322265625,0.1103515625,0.21126302083333334,66.66666666666667,True,0.05078125,0.12890625,0.44140625,0.8450520833333334,0.25,6400.0,264.65168902665107,2.3597232458091106,0.0007681390774118198,3.7961898301809747,0.001235738877012036,1.6583359267928266,0.0005398228928362066,5.714341526432778,10.0,3072.0,0.828294685425973,1895.0,3.0,6.0,25.0,190.0,0.0009765625,0.001953125,0.008138020833333334,0.061848958333333336,2.0833333333333335,False,True
blocks.2.mlp.act,act,14,3072,1,False,,0,197.0,1.0,204800,258.26207489849435,5.686314158447178,0.0018510137234528576,29.293495050364974,0.009535642920040681,2.503239336599362,0.0008148565548826048,1.5819959818491538,10,3072,0.9942947001207914,3072,101,286,1312,2705,0.032877604166666664,0.09309895833333333,0.4270833333333333,0.8805338541666666,66.66666666666667,True,,,,,,6400.0,75.53338317876754,2.762166195555812,0.0008991426417824909,5.169115881482943,0.0016826549093368955,1.802217538063468,0.0005866593548383684,2.2463578087157168,10.0,3072.0,0.9735683310290792,3072.0,6.0,10.0,51.0,492.0,0.001953125,0.0032552083333333335,0.0166015625,0.16015625,2.0833333333333335,False,True
blocks.2.mlp.fc2,linear,15,768,1,False,768.0,0,197.0,1.0,204800,78.51557775835559,5.785547997029754,0.007533265621132493,25.915562820157913,0.03374422242208062,2.539791672013495,0.003307020406267572,1.5736115431489308,10,768,0.9761702286704423,768,81,181,474,711,0.10546875,0.23567708333333334,0.6171875,0.92578125,266.6666666666667,True,0.10546875,0.23567708333333334,0.6171875,0.92578125,1.0,6400.0,23.052547058530998,2.815235522659086,0.003665671253462352,5.17602999285865,0.006739622386534701,1.8397480135275,0.0023955052259472657,2.1358713973561287,10.0,768.0,0.9870307337109469,768.0,6.0,10.0,47.0,297.0,0.0078125,0.013020833333333334,0.061197916666666664,0.38671875,8.333333333333334,False,True
blocks.3.attn.qkv,linear,16,2304,1,False,768.0,0,197.0,1.0,204800,637.7170905462604,4.25489668597862,0.0018467433532893317,16.393874359060195,0.007115396857230987,2.141052572323986,0.0009292762900711746,6.18461136750673,10,2304,0.702742955276576,1516,44,108,347,645,0.019097222222222224,0.046875,0.1506076388888889,0.2799479166666667,88.88888888888889,True,0.057291666666666664,0.140625,0.4518229166666667,0.83984375,0.3333333333333333,6400.0,197.91292804648486,2.2889054712101795,0.0009934485552127515,3.8366000794186266,0.0016651910066921123,1.6045610393881862,0.0006964240622344558,5.719694730313603,10.0,2304.0,0.773025056589005,1520.0,3.0,7.0,28.0,204.0,0.0013020833333333333,0.0030381944444444445,0.012152777777777778,0.08854166666666667,2.7777777777777777,False,True
blocks.3.attn.proj,linear,17,768,1,False,768.0,0,197.0,1.0,204800,20.23328471738398,2.524173422877127,0.003286684144371259,4.697954489111092,0.006117128241030068,1.6935507145349868,0.002205144159550764,3.117661756375675,10,768,0.8285848222651497,765,5,11,47,230,0.006510416666666667,0.014322916666666666,0.061197916666666664,0.2994791666666667,266.6666666666667,True,0.006510416666666667,0.014322916666666666,0.061197916666666664,0.2994791666666667,1.0,6400.0,19.62771201292021,2.3802304054811727,0.003099258340470277,4.062328957206453,0.005289490829695902,1.6440504698508733,0.002140690715951658,3.3829454511573824,10.0,768.0,0.8129296427102715,767.0,4.0,8.0,31.0,173.0,0.005208333333333333,0.010416666666666666,0.040364583333333336,0.22526041666666666,8.333333333333334,False,True
